proj_norm,edge_abs,edge_val,is_over,is_under,market_2B,market_3B,market_BB,market_H,market_HR,market_R,market_RBI,market_SB,home_rest_days,away_rest_days,home_form_last_10,away_form_last_10,h2h_home_win_rate,market_implied_prob,result_binary
0.2344546381243629,9.77,-9.77,0,1,False,False,False,False,True,False,False,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.24464831804281345,9.76,-9.76,0,1,False,False,True,False,False,False,False,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.254841997961264,9.75,-9.75,0,1,True,False,False,False,False,False,False,False,1.0,1.0,0.5,0.5,0.5,0.5,1
0.2650356778797146,9.74,-9.74,0,1,False,False,False,False,False,True,False,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.27522935779816515,9.73,-9.73,0,1,False,False,False,False,False,False,True,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.29561671763506625,9.71,-9.71,0,1,False,False,True,False,False,False,False,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.3058103975535168,9.7,-9.7,0,1,False,False,False,False,False,True,False,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.3160040774719674,9.69,-9.69,0,1,False,False,False,False,False,False,True,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.3160040774719674,9.69,-9.69,0,1,False,False,True,False,False,False,False,False,1.0,1.0,0.5,0.5,0.5,0.5,1
0.3160040774719674,9.69,-9.69,0,1,False,False,True,False,False,False,False,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.3363914373088685,9.67,-9.67,0,1,False,False,False,False,False,False,False,True,1.0,1.0,0.5,0.5,0.5,0.5,0
0.3465851172273191,9.66,-9.66,0,1,False,False,False,False,False,True,False,False,1.0,1.0,0.5,0.5,0.5,0.5,1
0.3567787971457696,9.65,-9.65,0,1,False,False,False,False,False,True,False,False,1.0,1.0,0.5,0.5,0.5,0.5,1
0.3669724770642202,9.64,-9.64,0,1,False,False,False,True,False,False,False,False,1.0,1.0,0.5,0.5,0.5,0.5,1
0.37716615698267075,9.63,-9.63,0,1,False,False,True,False,False,False,False,False,1.0,1.0,0.5,0.5,0.5,0.5,1
0.3873598369011213,9.62,-9.62,0,1,False,False,False,False,False,False,True,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.40774719673802245,9.6,-9.6,0,1,False,False,False,False,False,True,False,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.41794087665647295,9.59,-9.59,0,1,False,False,False,False,False,True,False,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.42813455657492355,9.58,-9.58,0,1,False,False,False,False,False,False,True,False,1.0,1.0,0.5,0.5,0.5,0.5,1
0.42813455657492355,9.58,-9.58,0,1,False,False,False,False,False,True,False,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.4383282364933741,9.57,-9.57,0,1,False,False,False,False,False,False,True,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.4485219164118247,9.56,-9.56,0,1,False,False,False,False,False,True,False,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.45871559633027525,9.55,-9.55,0,1,False,False,False,False,False,False,True,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.4892966360856269,9.52,-9.52,0,1,False,False,False,False,False,False,True,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.4892966360856269,9.52,-9.52,0,1,False,False,False,False,False,True,False,False,1.0,1.0,0.5,0.5,0.5,0.5,1
0.49949031600407745,9.51,-9.51,0,1,False,False,False,False,False,True,False,False,1.0,1.0,0.5,0.5,0.5,0.5,1
0.5198776758409787,9.49,-9.49,0,1,False,False,False,True,False,False,False,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.5300713557594292,9.48,-9.48,0,1,False,False,False,True,False,False,False,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.03058103975535168,9.47,-9.47,0,1,False,False,False,False,True,False,False,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.03058103975535168,9.47,-9.47,0,1,False,True,False,False,False,False,False,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.040774719673802244,9.46,-9.46,0,1,False,False,True,False,False,False,False,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.040774719673802244,9.46,-9.46,0,1,True,False,False,False,False,False,False,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.040774719673802244,9.46,-9.46,0,1,False,False,False,False,False,False,False,True,1.0,1.0,0.5,0.5,0.5,0.5,0
0.5606523955147809,9.45,-9.45,0,1,False,False,False,False,False,True,False,False,1.0,1.0,0.5,0.5,0.5,0.5,1
0.05096839959225281,9.45,-9.45,0,1,False,False,False,False,True,False,False,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.06116207951070336,9.44,-9.44,0,1,False,False,False,False,True,False,False,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.07135575942915394,9.43,-9.43,0,1,False,False,False,False,True,False,False,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.07135575942915394,9.43,-9.43,0,1,False,False,False,False,True,False,False,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.5912334352701325,9.42,-9.42,0,1,False,False,False,False,False,False,True,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.08154943934760449,9.42,-9.42,0,1,False,False,False,False,True,False,False,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.08154943934760449,9.42,-9.42,0,1,False,False,True,False,False,False,False,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.08154943934760449,9.42,-9.42,0,1,False,False,True,False,False,False,False,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.09174311926605505,9.41,-9.41,0,1,False,False,False,False,False,False,False,True,1.0,1.0,0.5,0.5,0.5,0.5,0
0.10193679918450561,9.4,-9.4,0,1,False,False,False,False,True,False,False,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.10193679918450561,9.4,-9.4,0,1,True,False,False,False,False,False,False,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.6218144750254841,9.39,-9.39,0,1,False,False,False,True,False,False,False,False,1.0,1.0,0.5,0.5,0.5,0.5,1
0.11213047910295618,9.39,-9.39,0,1,True,False,False,False,False,False,False,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.11213047910295618,9.39,-9.39,0,1,False,False,False,False,True,False,False,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.12232415902140673,9.38,-9.38,0,1,False,False,False,False,False,True,False,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.12232415902140673,9.38,-9.38,0,1,False,False,False,False,True,False,False,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.6422018348623854,9.37,-9.37,0,1,False,False,False,False,False,False,True,False,1.0,1.0,0.5,0.5,0.5,0.5,0
0.1325178389398573,9.37,-9.37,0,1,True,False,False,False,False,False,False,False,1.0,1.0,0.5,0.5,0.5,0.5,0
