sport,player,team,projection,edge,timestamp
wnba,,LV,27.0,0,2026-07-13T16:38:18.554803
wnba,,IND,21.0,0,2026-07-13T16:38:18.554808
wnba,,NY,23.2,0,2026-07-13T16:38:18.554810
wnba,,NY,20.3,0,2026-07-13T16:38:18.554812
wnba,,LA,13.9,0,2026-07-13T16:38:18.554814
