date,matchup,home_team,away_team,h2h_home_win_prob,h2h_draw_prob,h2h_away_win_prob,h2h_tc_signal,h2h_dk_home,h2h_dk_draw,h2h_dk_away,totals_tc_expected,totals_tc_over_prob,totals_tc_signal,totals_bm_over,totals_bm_under,totals_bm_line,btts_tc_prob,btts_tc_signal,btts_dk_yes,btts_dk_no
2026-07-08,Morocco@France,France,Morocco,0.64,0.179,0.182,HOME,,,,3.25,0.661,OVER,,,2.5,0.634,YES,,
2026-07-08,Belgium@Spain,Spain,Belgium,0.593,0.227,0.18,HOME,,,,3.21,0.654,OVER,,,2.5,0.633,YES,,
2026-07-08,England@Norway,Norway,England,0.31,0.084,0.606,AWAY,,,,2.76,0.562,OVER,,,2.5,0.554,YES,,
2026-07-08,Switzerland@Argentina,Argentina,Switzerland,0.679,0.145,0.176,HOME,,,,3.13,0.639,OVER,,,2.5,0.61,YES,,
