matchup,status,home,away,book,player,stat,line,over_price,fetched_at
SEN @ FRA,Full Time,Senegal,France,none,,,,,2026-06-16T23:02:02.587219+00:00
NOR @ IRQ,Halftime,Norway,Iraq,fanduel,Martin Odegaard,assists,0.5,340,2026-06-16T23:02:02.587219+00:00
NOR @ IRQ,Halftime,Norway,Iraq,fanduel,Martin Odegaard,shots,2.0,-270,2026-06-16T23:02:02.587219+00:00
NOR @ IRQ,Halftime,Norway,Iraq,fanduel,Martin Odegaard,shots_on_target,2.0,850,2026-06-16T23:02:02.587219+00:00
NOR @ IRQ,Halftime,Norway,Iraq,fanduel,Antonio Nusa,assists,0.5,380,2026-06-16T23:02:02.587219+00:00
NOR @ IRQ,Halftime,Norway,Iraq,fanduel,Antonio Nusa,shots,2.0,-110,2026-06-16T23:02:02.587219+00:00
NOR @ IRQ,Halftime,Norway,Iraq,fanduel,Antonio Nusa,shots_on_target,2.0,550,2026-06-16T23:02:02.587219+00:00
NOR @ IRQ,Halftime,Norway,Iraq,fanduel,Julian Ryerson,assists,0.5,400,2026-06-16T23:02:02.587219+00:00
NOR @ IRQ,Halftime,Norway,Iraq,fanduel,Julian Ryerson,shots,2.0,1100,2026-06-16T23:02:02.587219+00:00
NOR @ IRQ,Halftime,Norway,Iraq,fanduel,Julian Ryerson,shots_on_target,1.0,550,2026-06-16T23:02:02.587219+00:00
NOR @ IRQ,Halftime,Norway,Iraq,fanduel,Alexander Sorloth,assists,0.5,410,2026-06-16T23:02:02.587219+00:00
NOR @ IRQ,Halftime,Norway,Iraq,fanduel,Alexander Sorloth,shots,6.0,450,2026-06-16T23:02:02.587219+00:00
NOR @ IRQ,Halftime,Norway,Iraq,fanduel,Alexander Sorloth,shots_on_target,2.0,300,2026-06-16T23:02:02.587219+00:00
NOR @ IRQ,Halftime,Norway,Iraq,fanduel,Fredrik Aursnes,assists,0.5,490,2026-06-16T23:02:02.587219+00:00
NOR @ IRQ,Halftime,Norway,Iraq,fanduel,Fredrik Aursnes,shots,2.0,340,2026-06-16T23:02:02.587219+00:00
NOR @ IRQ,Halftime,Norway,Iraq,fanduel,Fredrik Aursnes,shots_on_target,2.0,2000,2026-06-16T23:02:02.587219+00:00
