matchup,status,home,away,book,player,stat,line,over_price,fetched_at
TUR @ AUS,Full Time,Türkiye,Australia,none,,,,,2026-06-14T23:02:18.498003+00:00
CUW @ GER,Full Time,Curaçao,Germany,none,,,,,2026-06-14T23:02:18.498003+00:00
JPN @ NED,Full Time,Japan,Netherlands,none,,,,,2026-06-14T23:02:18.498003+00:00
ECU @ CIV,Scheduled,Ecuador,Ivory Coast,betmgm,Enner Valencia,goals,1.5,1300,2026-06-14T23:02:18.498003+00:00
ECU @ CIV,Scheduled,Ecuador,Ivory Coast,betmgm,Sepe Elye Wahi,goals,1.5,2200,2026-06-14T23:02:18.498003+00:00
ECU @ CIV,Scheduled,Ecuador,Ivory Coast,betmgm,Yan Diomande,goals,1.5,2500,2026-06-14T23:02:18.498003+00:00
ECU @ CIV,Scheduled,Ecuador,Ivory Coast,betmgm,Nicolas Pepe,goals,1.5,2500,2026-06-14T23:02:18.498003+00:00
ECU @ CIV,Scheduled,Ecuador,Ivory Coast,betmgm,John Yeboah,goals,1.5,2500,2026-06-14T23:02:18.498003+00:00
ECU @ CIV,Scheduled,Ecuador,Ivory Coast,betmgm,Gonzalo Plata,goals,1.5,2800,2026-06-14T23:02:18.498003+00:00
ECU @ CIV,Scheduled,Ecuador,Ivory Coast,betmgm,Alan Steve Minda Garcia,goals,1.5,3300,2026-06-14T23:02:18.498003+00:00
ECU @ CIV,Scheduled,Ecuador,Ivory Coast,betmgm,Bazoumana Toure,goals,1.5,4000,2026-06-14T23:02:18.498003+00:00
ECU @ CIV,Scheduled,Ecuador,Ivory Coast,betmgm,Franck Kessie,goals,1.5,4000,2026-06-14T23:02:18.498003+00:00
ECU @ CIV,Scheduled,Ecuador,Ivory Coast,betmgm,Pedro Vite,goals,1.5,4500,2026-06-14T23:02:18.498003+00:00
ECU @ CIV,Scheduled,Ecuador,Ivory Coast,betmgm,Seko Fofana,goals,1.5,5000,2026-06-14T23:02:18.498003+00:00
ECU @ CIV,Scheduled,Ecuador,Ivory Coast,betmgm,Moises Caicedo,goals,1.5,6600,2026-06-14T23:02:18.498003+00:00
ECU @ CIV,Scheduled,Ecuador,Ivory Coast,betmgm,Alan Steven Franco Palma,goals,1.5,6600,2026-06-14T23:02:18.498003+00:00
TUN @ SWE,Scheduled,Tunisia,Sweden,fanduel,Alexander Isak,assists,0.5,310,2026-06-14T23:02:18.498003+00:00
TUN @ SWE,Scheduled,Tunisia,Sweden,fanduel,Alexander Isak,shots,1.0,-4000,2026-06-14T23:02:18.498003+00:00
TUN @ SWE,Scheduled,Tunisia,Sweden,fanduel,Alexander Isak,shots_on_target,3.0,550,2026-06-14T23:02:18.498003+00:00
TUN @ SWE,Scheduled,Tunisia,Sweden,fanduel,Benjamin Nygren,assists,0.5,310,2026-06-14T23:02:18.498003+00:00
TUN @ SWE,Scheduled,Tunisia,Sweden,fanduel,Benjamin Nygren,shots,1.0,-2000,2026-06-14T23:02:18.498003+00:00
TUN @ SWE,Scheduled,Tunisia,Sweden,fanduel,Benjamin Nygren,shots_on_target,3.0,1100,2026-06-14T23:02:18.498003+00:00
TUN @ SWE,Scheduled,Tunisia,Sweden,fanduel,Alexander Bernhardsson,assists,0.5,330,2026-06-14T23:02:18.498003+00:00
TUN @ SWE,Scheduled,Tunisia,Sweden,fanduel,Alexander Bernhardsson,shots,1.0,-1250,2026-06-14T23:02:18.498003+00:00
TUN @ SWE,Scheduled,Tunisia,Sweden,fanduel,Alexander Bernhardsson,shots_on_target,3.0,950,2026-06-14T23:02:18.498003+00:00
TUN @ SWE,Scheduled,Tunisia,Sweden,fanduel,Anthony Elanga,assists,0.5,380,2026-06-14T23:02:18.498003+00:00
TUN @ SWE,Scheduled,Tunisia,Sweden,fanduel,Anthony Elanga,shots,1.0,-700,2026-06-14T23:02:18.498003+00:00
TUN @ SWE,Scheduled,Tunisia,Sweden,fanduel,Anthony Elanga,shots_on_target,3.0,2000,2026-06-14T23:02:18.498003+00:00
TUN @ SWE,Scheduled,Tunisia,Sweden,fanduel,Yasin Ayari,assists,0.5,380,2026-06-14T23:02:18.498003+00:00
TUN @ SWE,Scheduled,Tunisia,Sweden,fanduel,Yasin Ayari,shots,1.0,-600,2026-06-14T23:02:18.498003+00:00
TUN @ SWE,Scheduled,Tunisia,Sweden,fanduel,Yasin Ayari,shots_on_target,1.0,130,2026-06-14T23:02:18.498003+00:00
TUN @ SWE,Scheduled,Tunisia,Sweden,fanduel,Viktor Gyokeres,assists,0.5,400,2026-06-14T23:02:18.498003+00:00
TUN @ SWE,Scheduled,Tunisia,Sweden,fanduel,Viktor Gyokeres,shots,1.0,-5000,2026-06-14T23:02:18.498003+00:00
TUN @ SWE,Scheduled,Tunisia,Sweden,fanduel,Viktor Gyokeres,shots_on_target,3.0,550,2026-06-14T23:02:18.498003+00:00
TUN @ SWE,Scheduled,Tunisia,Sweden,fanduel,Daniel Svensson,assists,0.5,450,2026-06-14T23:02:18.498003+00:00
TUN @ SWE,Scheduled,Tunisia,Sweden,fanduel,Daniel Svensson,shots,1.0,-115,2026-06-14T23:02:18.498003+00:00
TUN @ SWE,Scheduled,Tunisia,Sweden,fanduel,Daniel Svensson,shots_on_target,1.0,380,2026-06-14T23:02:18.498003+00:00
TUN @ SWE,Scheduled,Tunisia,Sweden,fanduel,Hannibal Mejbri,assists,0.5,490,2026-06-14T23:02:18.498003+00:00
TUN @ SWE,Scheduled,Tunisia,Sweden,fanduel,Hannibal Mejbri,shots,1.0,-330,2026-06-14T23:02:18.498003+00:00
TUN @ SWE,Scheduled,Tunisia,Sweden,fanduel,Hannibal Mejbri,shots_on_target,1.0,180,2026-06-14T23:02:18.498003+00:00
TUN @ SWE,Scheduled,Tunisia,Sweden,fanduel,Ismael Gharbi,assists,0.5,550,2026-06-14T23:02:18.498003+00:00
TUN @ SWE,Scheduled,Tunisia,Sweden,fanduel,Ismael Gharbi,shots,1.0,-650,2026-06-14T23:02:18.498003+00:00
TUN @ SWE,Scheduled,Tunisia,Sweden,fanduel,Ismael Gharbi,shots_on_target,3.0,3000,2026-06-14T23:02:18.498003+00:00
TUN @ SWE,Scheduled,Tunisia,Sweden,fanduel,Jesper Karlstrom,assists,0.5,550,2026-06-14T23:02:18.498003+00:00
TUN @ SWE,Scheduled,Tunisia,Sweden,fanduel,Jesper Karlstrom,shots,1.0,-155,2026-06-14T23:02:18.498003+00:00
TUN @ SWE,Scheduled,Tunisia,Sweden,fanduel,Jesper Karlstrom,shots_on_target,1.0,300,2026-06-14T23:02:18.498003+00:00
