date,league,matchup,team,player,role,status,stat,direction,market_line,tc_projection,tc_target,edge,threshold,raw_average,source,actual,result
2026-06-18,WNBA,ATL@IND,ATL,Rhyne Howard,START,ACTIVE,PTS,OVER,,10.1,8,2.1,1.5,17.3,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,ATL,Rhyne Howard,START,ACTIVE,REB,OVER,,3,2,1,1,4.5,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,ATL,Rhyne Howard,START,ACTIVE,AST,OVER,,2.2,1,1.2,1,3.5,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,ATL,Rhyne Howard,START,ACTIVE,3PM,OVER,,1.6,1,0.6,0.5,2.8,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,ATL,Rhyne Howard,START,ACTIVE,STL,OVER,,0.9,0,0.9,0.5,1.7,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,ATL,Angel Reese,START,ACTIVE,PTS,OVER,,8.9,7,1.9,1.5,14.2,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,ATL,Angel Reese,START,ACTIVE,REB,OVER,,6.4,5,1.4,1,12.8,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,ATL,Angel Reese,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.5,1.4,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,ATL,Allisha Gray,START,ACTIVE,PTS,OVER,,8.9,7,1.9,1.5,14.1,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,ATL,Allisha Gray,START,ACTIVE,REB,OVER,,3,2,1,1,4.5,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,ATL,Allisha Gray,START,ACTIVE,3PM,OVER,,0.9,0,0.9,0.5,1.4,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,ATL,Allisha Gray,START,ACTIVE,STL,OVER,,0.7,0,0.7,0.5,1.2,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,ATL,Jordin Canada,START,ACTIVE,3PM,OVER,,0.5,0,0.5,0.5,0.5,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,ATL,Jordin Canada,START,ACTIVE,STL,OVER,,0.9,0,0.9,0.5,1.6,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,ATL,Naz Hillmon,START,ACTIVE,REB,OVER,,3.2,2,1.2,1,4.9,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,ATL,Naz Hillmon,START,ACTIVE,3PM,OVER,,0.5,0,0.5,0.5,0.4,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,ATL,Amy Okonkwo,BENCH,ACTIVE,PTS,OVER,,7.6,6,1.6,1.5,11,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,ATL,Amy Okonkwo,BENCH,ACTIVE,AST,OVER,,1.1,0,1.1,1,0.8,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,ATL,Amy Okonkwo,BENCH,ACTIVE,3PM,OVER,,0.9,0,0.9,0.5,1.3,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,ATL,Amy Okonkwo,BENCH,ACTIVE,STL,OVER,,0.8,0,0.8,0.5,1.4,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,ATL,Te-Hina Paopao,BENCH,ACTIVE,PTS,OVER,,5.5,4,1.5,1.5,5.6,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,ATL,Te-Hina Paopao,BENCH,ACTIVE,3PM,OVER,,0.8,0,0.8,0.5,1.2,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,ATL,Isobel Borlase,BENCH,ACTIVE,AST,OVER,,1,0,1,1,0.7,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,ATL,Isobel Borlase,BENCH,ACTIVE,3PM,OVER,,0.5,0,0.5,0.5,0.5,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,ATL,Sika Kone,BENCH,ACTIVE,REB,OVER,,2,1,1,1,1.9,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,IND,Caitlin Clark,START,Q,3PM,OVER,,0.9,0,0.9,0.5,2.8,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,IND,Aliyah Boston,START,ACTIVE,AST,OVER,,2,1,1,1,3,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,IND,Aliyah Boston,START,ACTIVE,STL,OVER,,0.7,0,0.7,0.5,1.1,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,IND,Aliyah Boston,START,ACTIVE,BLK,OVER,,0.6,0,0.6,0.5,1.1,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,IND,Kelsey Mitchell,START,ACTIVE,PTS,OVER,,10.2,8,2.2,1.5,17.5,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,IND,Kelsey Mitchell,START,ACTIVE,REB,OVER,,2,1,1,1,2,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,IND,Kelsey Mitchell,START,ACTIVE,STL,OVER,,0.6,0,0.6,0.5,0.8,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,IND,Sophie Cunningham,START,ACTIVE,PTS,OVER,,6.5,5,1.5,1.5,8,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,IND,Sophie Cunningham,START,ACTIVE,3PM,OVER,,1,0,1,0.5,1.5,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,IND,Sophie Cunningham,START,ACTIVE,STL,OVER,,0.5,0,0.5,0.5,0.7,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,IND,Lexie Hull,START,ACTIVE,PTS,OVER,,5.5,4,1.5,1.5,5.6,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,IND,Lexie Hull,START,ACTIVE,3PM,OVER,,0.7,0,0.7,0.5,0.8,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,IND,Lexie Hull,START,ACTIVE,STL,OVER,,0.6,0,0.6,0.5,0.9,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,IND,Monique Billings,BENCH,ACTIVE,AST,OVER,,1.1,0,1.1,1,0.9,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,IND,Monique Billings,BENCH,ACTIVE,STL,OVER,,0.5,0,0.5,0.5,0.7,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,IND,Myisha Hines-Allen,BENCH,ACTIVE,REB,OVER,,3.2,2,1.2,1,4.9,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,IND,Myisha Hines-Allen,BENCH,ACTIVE,3PM,OVER,,0.5,0,0.5,0.5,0.5,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,IND,Myisha Hines-Allen,BENCH,ACTIVE,STL,OVER,,0.6,0,0.6,0.5,0.8,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,IND,Damiris Dantas,BENCH,ACTIVE,3PM,OVER,,0.7,0,0.7,0.5,0.8,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,IND,Tyasha Harris,BENCH,ACTIVE,3PM,OVER,,0.7,0,0.7,0.5,0.9,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,IND,Tyasha Harris,BENCH,ACTIVE,STL,OVER,,0.5,0,0.5,0.5,0.6,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,IND,Raven Johnson,BENCH,ACTIVE,3PM,OVER,,0.6,0,0.6,0.5,0.6,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,IND,Makayla Timpson,BENCH,ACTIVE,REB,OVER,,2.2,1,1.2,1,2.4,live_roster_api,,PENDING
2026-06-18,WNBA,ATL@IND,IND,Grace VanSlooten,BENCH,ACTIVE,STL,OVER,,0.5,0,0.5,0.5,0.6,live_roster_api,,PENDING
