sport,game,player,combo_type,dk_line,side,tc_proj,tc_pick,actual,gap,correct,ceiling_rec
WNBA,IND@WSH,Aliyah Boston,PR,20.5,Over,16.44,Under,24.0,7.56,False,PASS
WNBA,IND@WSH,Aliyah Boston,PR,20.5,Under,16.44,Under,24.0,7.56,False,PASS
WNBA,IND@WSH,Sonia Citron,PR,18.5,Over,13.67,Under,12.0,-1.67,False,PASS
WNBA,IND@WSH,Sonia Citron,PR,18.5,Under,13.67,Under,12.0,-1.67,True,PASS
WNBA,IND@WSH,Caitlin Clark,PRA,31.5,Over,23.27,Under,27.0,3.73,False,PASS
WNBA,IND@WSH,Caitlin Clark,PRA,31.5,Under,23.27,Under,27.0,3.73,True,PASS
WNBA,IND@WSH,Shakira Austin,PRA,24.5,Over,13.74,Under,23.0,9.26,False,PASS
WNBA,IND@WSH,Shakira Austin,PRA,24.5,Under,13.74,Under,23.0,9.26,True,PASS
WNBA,IND@WSH,Aliyah Boston,PRA,23.5,Over,18.62,Under,27.0,8.38,False,PASS
WNBA,IND@WSH,Aliyah Boston,PRA,23.5,Under,18.62,Under,27.0,8.38,False,PASS
WNBA,IND@WSH,Sonia Citron,PRA,22.5,Over,15.48,Under,17.0,1.52,False,PASS
WNBA,IND@WSH,Sonia Citron,PRA,22.5,Under,15.48,Under,17.0,1.52,True,PASS
