player,stat,line,direction,tc_proj,n_hist,edge,exp_hr,odds
Marcus Rashford,shots,1.0,Over,5.0,2,4.0,0.661,-2000
Harry Kane,shots,1.0,Over,3.0,11,2.0,0.661,-5000
Marcus Rashford,shots_on_target,1.0,Over,2.5,2,1.5,0.492,-160
Ivan Perisic,shots,1.0,Over,2.0,17,1.0,0.661,-650
Harry Kane,shots_on_target,1.0,Over,2.0,11,1.0,0.492,-390
Bukayo Saka,shots,1.0,Over,1.33,4,0.333,0.661,-1250
Bukayo Saka,shots_on_target,1.0,Over,0.67,4,-0.333,0.492,-140
Jude Bellingham,assists,0.5,Over,0.33,5,-0.333,0.105,500
Ivan Perisic,assists,0.5,Over,0.33,17,-0.333,0.105,550
Harry Kane,assists,0.5,Over,0.33,11,-0.333,0.105,650
Luka Modric,shots,1.0,Over,0.67,17,-0.333,0.661,-270
Jordan Ayew,assists,0.5,Over,0.33,3,-0.333,0.105,310
Jordan Ayew,shots_on_target,1.0,Over,0.67,3,-0.333,0.492,-165
Fidel Escobar,shots,1.0,Over,0.67,3,-0.333,0.661,185
Fidel Escobar,shots_on_target,1.0,Over,0.67,3,-0.333,0.492,550
Jude Bellingham,shots_on_target,1.0,Over,0.33,5,-0.667,0.492,-115
Andrej Kramaric,shots_on_target,1.0,Over,0.33,10,-0.667,0.492,-110
Luka Modric,shots_on_target,1.0,Over,0.33,17,-0.667,0.492,185
Mateo Kovacic,shots,1.0,Over,0.33,9,-0.667,0.661,-180
Josko Gvardiol,shots,1.0,Over,0.33,7,-0.667,0.661,-120
Josko Gvardiol,shots_on_target,1.0,Over,0.33,7,-0.667,0.492,410
John Stones,shots_on_target,1.0,Over,0.33,12,-0.667,0.492,500
Alidu Seidu,shots,2.0,Over,0.5,2,-0.75,0.661,700
Jordan Ayew,shots,5.0,Over,0.67,3,-0.867,0.661,650
Johan Mojica,shots,3.0,Over,0.33,4,-0.889,0.661,1100
Marcus Rashford,assists,0.5,Over,0.0,2,-1.0,0.105,260
Bukayo Saka,assists,0.5,Over,0.0,4,-1.0,0.105,390
Declan Rice,assists,0.5,Over,0.0,5,-1.0,0.105,480
Declan Rice,shots,1.0,Over,0.0,5,-1.0,0.661,-350
Declan Rice,shots_on_target,1.0,Over,0.0,5,-1.0,0.492,170
Ivan Perisic,shots_on_target,1.0,Over,0.0,17,-1.0,0.492,110
Andrej Kramaric,assists,0.5,Over,0.0,10,-1.0,0.105,650
Luka Modric,assists,0.5,Over,0.0,17,-1.0,0.105,700
Josip Stanisic,assists,0.5,Over,0.0,1,-1.0,0.105,1000
Josip Stanisic,shots_on_target,1.0,Over,0.0,1,-1.0,0.492,800
Mateo Kovacic,assists,0.5,Over,0.0,9,-1.0,0.105,1200
Mateo Kovacic,shots_on_target,1.0,Over,0.0,9,-1.0,0.492,340
Josko Gvardiol,assists,0.5,Over,0.0,7,-1.0,0.105,1300
John Stones,assists,0.5,Over,0.0,12,-1.0,0.105,1300
Gideon Mensah,assists,0.5,Over,0.0,1,-1.0,0.105,500
Gideon Mensah,shots,2.0,Over,0.0,1,-1.0,0.661,900
Gideon Mensah,shots_on_target,1.0,Over,0.0,1,-1.0,0.492,550
Alidu Seidu,assists,0.5,Over,0.0,2,-1.0,0.105,800
Alidu Seidu,shots_on_target,1.0,Over,0.0,2,-1.0,0.492,600
Fidel Escobar,assists,0.5,Over,0.0,3,-1.0,0.105,1600
Jefferson Lerma,assists,0.5,Over,0.0,2,-1.0,0.105,310
Jefferson Lerma,shots,3.0,Over,0.0,2,-1.0,0.661,270
Jefferson Lerma,shots_on_target,2.0,Over,0.0,2,-1.0,0.492,900
Johan Mojica,assists,0.5,Over,0.0,4,-1.0,0.105,380
Johan Mojica,shots_on_target,1.0,Over,0.0,4,-1.0,0.492,370
