date,matchup,player,category,direction,line,proj,actual,edge,result
2026-06-18,WSH@CON,Cotie McMahon,starters,OVER,5.0,5.9,4.0,0.9,MISS
2026-06-18,WSH@CON,Lauren Betts,bench,OVER,5.0,5.9,5.0,0.9,MISS
2026-06-18,WSH@CON,Angela Dugalic,bench,OVER,4.0,5.4,2.0,1.4,MISS
2026-06-18,WSH@CON,Lucy Olsen,bench,OVER,4.0,4.8,0.0,0.8,MISS
2026-06-18,WSH@CON,Brittney Griner,starters,OVER,8.0,9.9,10.0,1.9,HIT
2026-06-18,WSH@CON,Leila Lacan,starters,OVER,6.0,7.4,12.0,1.4,HIT
2026-06-18,WSH@CON,Aaliyah Edwards,starters,OVER,5.0,6.0,6.0,1.0,HIT
2026-06-18,WSH@CON,Charlisse Leger-Walker,bench,OVER,5.0,5.7,10.0,0.7,HIT
2026-06-18,WSH@CON,Diamond Miller,bench,OVER,5.0,6.0,4.0,1.0,MISS
2026-06-18,WSH@CON,Olivia Nelson-Ododa,bench,OVER,4.0,5.4,12.0,1.4,HIT
2026-06-18,WSH@CON,Kennedy Burke,bench,OVER,4.0,5.4,11.0,1.4,HIT
2026-06-18,WSH@CON,Nell Angloma,bench,OVER,4.0,5.2,0.0,1.2,MISS
2026-06-18,WSH@CON,Raegan Beers,bench,OVER,4.0,4.8,3.0,0.8,MISS
2026-06-18,DAL@GS,Arike Ogunbowale,starters,OVER,9.0,11.0,21.0,2.0,HIT
2026-06-18,DAL@GS,Paige Bueckers,starters,OVER,9.0,10.9,15.0,1.9,HIT
2026-06-18,DAL@GS,Azzi Fudd,starters,OVER,7.0,8.4,10.0,1.4,HIT
2026-06-18,DAL@GS,Jessica Shepard,starters,OVER,5.0,6.3,14.0,1.3,HIT
2026-06-18,DAL@GS,Sug Sutton,bench,OVER,5.0,5.7,9.0,0.7,HIT
2026-06-18,DAL@GS,Alanna Smith,bench,OVER,5.0,6.1,5.0,1.1,MISS
2026-06-18,DAL@GS,Maddy Siegrist,bench,OVER,5.0,6.3,1.0,1.3,MISS
2026-06-18,DAL@GS,Aziaha James,bench,OVER,5.0,6.3,2.0,1.3,MISS
2026-06-18,DAL@GS,Awak Kuier,bench,OVER,3.0,4.5,3.0,1.5,MISS
2026-06-18,DAL@GS,Tiffany Hayes,starters,OVER,7.0,8.4,10.0,1.4,HIT
2026-06-18,DAL@GS,Janelle Salaun,starters,OVER,7.0,8.0,12.0,1.0,HIT
2026-06-18,DAL@GS,Gabby Williams,starters,OVER,5.0,6.8,25.0,1.8,HIT
2026-06-18,DAL@GS,Kayla Thornton,starters,OVER,5.0,6.3,8.0,1.3,HIT
2026-06-18,DAL@GS,Veronica Burton,starters,OVER,5.0,5.7,11.0,0.7,HIT
2026-06-18,DAL@GS,Kiah Stokes,bench,OVER,4.0,4.6,2.0,0.6,MISS
2026-06-18,DAL@GS,Kaila Charles,bench,OVER,4.0,5.4,6.0,1.4,HIT
2026-06-18,DAL@GS,Cecilia Zandalasini,bench,OVER,5.0,5.7,2.0,0.7,MISS
2026-06-18,DAL@GS,Kaitlyn Chen,bench,OVER,4.0,4.6,15.0,0.6,HIT
2026-06-18,DAL@GS,Laeticia Amihere,bench,OVER,4.0,4.7,0.0,0.7,MISS
2026-06-18,LV@PHX,A'ja Wilson,starters,OVER,10.0,11.8,33.0,1.8,HIT
2026-06-18,LV@PHX,Jewell Loyd,starters,OVER,8.0,9.6,0.0,1.6,MISS
2026-06-18,LV@PHX,Jackie Young,starters,OVER,7.0,8.9,20.0,1.9,HIT
2026-06-18,LV@PHX,Chelsea Gray,starters,OVER,7.0,8.0,5.0,1.0,MISS
2026-06-18,LV@PHX,NaLyssa Smith,starters,OVER,6.0,7.8,21.0,1.8,HIT
2026-06-18,LV@PHX,Brianna Turner,bench,OVER,4.0,4.9,2.0,0.9,MISS
2026-06-18,LV@PHX,Cheyenne Parker-Tyus,bench,OVER,5.0,6.8,2.0,1.8,MISS
2026-06-18,LV@PHX,Stephanie Talbot,bench,OVER,4.0,5.0,3.0,1.0,MISS
2026-06-18,LV@PHX,Kierstan Bell,bench,OVER,3.0,4.5,0.0,1.5,MISS
2026-06-18,LV@PHX,Alyssa Thomas,starters,OVER,7.0,8.3,10.0,1.3,HIT
2026-06-18,LV@PHX,DeWanna Bonner,starters,OVER,7.0,9.0,10.0,2.0,HIT
2026-06-18,LV@PHX,Kahleah Copper,starters,OVER,7.0,8.5,26.0,1.5,HIT
2026-06-18,LV@PHX,Monique Akoa Makani,starters,OVER,5.0,6.5,4.0,1.5,MISS
2026-06-18,LV@PHX,Jovana Nogic,starters,OVER,6.0,7.4,12.0,1.4,HIT
2026-06-18,LV@PHX,Noemie Brochant,bench,OVER,4.0,5.5,4.0,1.5,MISS
