sport,game,player,combo_type,dk_line,side,tc_proj,tc_pick,actual,gap,correct,proj_file
WNBA,NY@CON,Pauline Astier,PA,13.5,Under,9.33,Under,10.0,0.67,True,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_NY_at_CON.json
WNBA,NY@CON,Saniya Rivers,PA,11.5,Over,6.84,Under,15.0,8.16,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_NY_at_CON.json
WNBA,NY@CON,Saniya Rivers,PA,11.5,Under,6.84,Under,15.0,8.16,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_NY_at_CON.json
WNBA,NY@CON,Breanna Stewart,PR,27.5,Over,17.55,Under,37.0,19.45,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_NY_at_CON.json
WNBA,NY@CON,Breanna Stewart,PR,27.5,Under,17.55,Under,37.0,19.45,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_NY_at_CON.json
WNBA,NY@CON,Satou Sabally,PR,17.5,Over,13.49,Under,11.0,-2.49,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_NY_at_CON.json
WNBA,NY@CON,Satou Sabally,PR,17.5,Under,13.49,Under,11.0,-2.49,True,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_NY_at_CON.json
WNBA,NY@CON,Diamond Miller,PR,12.5,Over,5.49,Under,12.0,6.51,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_NY_at_CON.json
WNBA,NY@CON,Diamond Miller,PR,12.5,Under,5.49,Under,12.0,6.51,True,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_NY_at_CON.json
WNBA,NY@CON,Breanna Stewart,PRA,30.5,Over,19.51,Under,40.0,20.49,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_NY_at_CON.json
WNBA,NY@CON,Breanna Stewart,PRA,30.5,Under,19.51,Under,40.0,20.49,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_NY_at_CON.json
WNBA,IND@WSH,Caitlin Clark,PA,26.5,Over,16.42,Under,24.0,7.58,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_IND_at_WSH.json
WNBA,IND@WSH,Caitlin Clark,PA,26.5,Under,16.42,Under,24.0,7.58,True,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_IND_at_WSH.json
WNBA,IND@WSH,Kelsey Mitchell,PA,21.5,Over,12.37,Under,18.0,5.63,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_IND_at_WSH.json
WNBA,IND@WSH,Kelsey Mitchell,PA,21.5,Under,12.37,Under,18.0,5.63,True,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_IND_at_WSH.json
WNBA,IND@WSH,Sonia Citron,PA,19.5,Over,10.8,Under,17.0,6.2,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_IND_at_WSH.json
WNBA,IND@WSH,Sonia Citron,PA,19.5,Under,10.8,Under,17.0,6.2,True,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_IND_at_WSH.json
WNBA,IND@WSH,Shakira Austin,PA,17.5,Over,7.53,Under,14.0,6.47,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_IND_at_WSH.json
WNBA,IND@WSH,Shakira Austin,PA,17.5,Under,7.53,Under,14.0,6.47,True,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_IND_at_WSH.json
WNBA,IND@WSH,Aliyah Boston,PA,16.5,Over,10.67,Under,17.0,6.33,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_IND_at_WSH.json
WNBA,IND@WSH,Aliyah Boston,PA,16.5,Under,10.67,Under,17.0,6.33,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_IND_at_WSH.json
WNBA,IND@WSH,Caitlin Clark,PR,23.5,Over,14.53,Under,22.0,7.47,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_IND_at_WSH.json
WNBA,IND@WSH,Caitlin Clark,PR,23.5,Under,14.53,Under,22.0,7.47,True,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_IND_at_WSH.json
WNBA,IND@WSH,Shakira Austin,PR,22.5,Over,10.8,Under,19.0,8.2,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_IND_at_WSH.json
WNBA,IND@WSH,Shakira Austin,PR,22.5,Under,10.8,Under,19.0,8.2,True,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_IND_at_WSH.json
WNBA,IND@WSH,Aliyah Boston,PR,20.5,Over,13.94,Under,24.0,10.06,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_IND_at_WSH.json
WNBA,IND@WSH,Aliyah Boston,PR,20.5,Under,13.94,Under,24.0,10.06,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_IND_at_WSH.json
WNBA,IND@WSH,Sonia Citron,PR,18.5,Over,11.6,Under,12.0,0.4,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_IND_at_WSH.json
WNBA,IND@WSH,Sonia Citron,PR,18.5,Under,11.6,Under,12.0,0.4,True,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_IND_at_WSH.json
WNBA,IND@WSH,Caitlin Clark,PRA,31.5,Over,19.76,Under,27.0,7.24,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_IND_at_WSH.json
WNBA,IND@WSH,Caitlin Clark,PRA,31.5,Under,19.76,Under,27.0,7.24,True,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_IND_at_WSH.json
WNBA,IND@WSH,Shakira Austin,PRA,24.5,Over,11.67,Under,23.0,11.33,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_IND_at_WSH.json
WNBA,IND@WSH,Shakira Austin,PRA,24.5,Under,11.67,Under,23.0,11.33,True,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_IND_at_WSH.json
WNBA,IND@WSH,Aliyah Boston,PRA,23.5,Over,15.83,Under,27.0,11.17,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_IND_at_WSH.json
WNBA,IND@WSH,Aliyah Boston,PRA,23.5,Under,15.83,Under,27.0,11.17,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_IND_at_WSH.json
WNBA,IND@WSH,Sonia Citron,PRA,22.5,Over,13.13,Under,17.0,3.87,False,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_IND_at_WSH.json
WNBA,IND@WSH,Sonia Citron,PRA,22.5,Under,13.13,Under,17.0,3.87,True,/home/workspace/Daily_Log/2026-06-08/proj_WNBA_IND_at_WSH.json
