2026-06-13,WNBA,DAL@POR,DAL,Azzi Fudd,START,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,1.6,live_roster_api,PENDING
2026-06-13,WNBA,DAL@POR,POR,Bridget Carleton,START,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,1.3,live_roster_api,PENDING
2026-06-13,WNBA,LA@PHX,LA,Nneka Ogwumike,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.5,live_roster_api,PENDING
2026-06-13,WNBA,LA@PHX,LA,Kelsey Plum,START,ACTIVE,3PM,OVER,,1,0,1,0.8,2.1,live_roster_api,PENDING
2026-06-13,WNBA,LA@PHX,LA,Ariel Atkins,START,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,1.7,live_roster_api,PENDING
2026-06-13,WNBA,LA@PHX,LA,Ariel Atkins,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.5,live_roster_api,PENDING
2026-06-13,WNBA,LA@PHX,PHX,Alyssa Thomas,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.6,live_roster_api,PENDING
2026-06-13,WNBA,LA@PHX,PHX,DeWanna Bonner,START,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,1.2,live_roster_api,PENDING
2026-06-13,WNBA,LA@PHX,PHX,Monique Akoa Makani,START,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,1.2,live_roster_api,PENDING
2026-06-13,WNBA,LA@PHX,PHX,Jovana Nogic,START,ACTIVE,3PM,OVER,,1,0,1,0.8,2,live_roster_api,PENDING
