player,team,pos,stat,market_line,tc_projection,edge,direction,signal,status,source
Danley Jean Jacques,,F,shots,0.5,0.45,-0.05,UNDER,PASS,ACTIVE,wc-cache-props
Danley Jean Jacques,,F,shots_on_target,0.5,0.45,-0.05,UNDER,PASS,ACTIVE,wc-cache-props
Danley Jean Jacques,,F,assists,0.5,0.45,-0.05,UNDER,PASS,ACTIVE,wc-cache-props
Bruno Guimaraes,,F,shots_on_target,0.5,0.45,-0.05,UNDER,PASS,ACTIVE,wc-cache-props
Roger Ibanez da Silva,,F,shots,0.5,0.45,-0.05,UNDER,PASS,ACTIVE,wc-cache-props
Roger Ibanez da Silva,,F,shots_on_target,0.5,0.45,-0.05,UNDER,PASS,ACTIVE,wc-cache-props
Ricardo Ade,,F,shots_on_target,0.5,0.45,-0.05,UNDER,PASS,ACTIVE,wc-cache-props
Ricardo Ade,,F,assists,0.5,0.45,-0.05,UNDER,PASS,ACTIVE,wc-cache-props
Wilguens Paugain,,F,shots_on_target,0.5,0.45,-0.05,UNDER,PASS,ACTIVE,wc-cache-props
Hannes Delcroix,,F,shots_on_target,0.5,0.45,-0.05,UNDER,PASS,ACTIVE,wc-cache-props
Hannes Delcroix,,F,assists,0.5,0.45,-0.05,UNDER,PASS,ACTIVE,wc-cache-props
Hannes Delcroix,,F,shots,0.5,0.45,-0.05,UNDER,PASS,ACTIVE,wc-cache-props
Martin Experience,,F,shots_on_target,0.5,0.45,-0.05,UNDER,PASS,ACTIVE,wc-cache-props
Martin Experience,,F,assists,0.5,0.45,-0.05,UNDER,PASS,ACTIVE,wc-cache-props
Duke Lacroix,,F,shots_on_target,0.5,0.45,-0.05,UNDER,PASS,ACTIVE,wc-cache-props
Carlens Arcus,,F,shots_on_target,0.5,0.45,-0.05,UNDER,PASS,ACTIVE,wc-cache-props
Carlens Arcus,,F,assists,0.5,0.45,-0.05,UNDER,PASS,ACTIVE,wc-cache-props
Carlens Arcus,,F,shots,0.5,0.45,-0.05,UNDER,PASS,ACTIVE,wc-cache-props
Jean-Kevin Duverne,,F,shots_on_target,0.5,0.45,-0.05,UNDER,PASS,ACTIVE,wc-cache-props
Josue Duverger,,F,fouls,0.5,0.45,-0.05,UNDER,PASS,ACTIVE,wc-cache-props
