actual,date,direction,edge,league,market_line,matched_date,matched_player,matchup,picks_date,player,raw_average,result,role,source,stat,status,tc_projection,tc_target,team,threshold,threshold_used
NO_ACTUAL,2026-06-03,OVER,0.8,WNBA,,,,CHI@WSH,2026-06-03,Angela Dugalic,0.9,NO_ACTUAL,BENCH,live_roster_api,STL,ACTIVE,0.8,0,WSH,0.8,
NO_ACTUAL,2026-06-03,OVER,0.9,WNBA,,,,CHI@WSH,2026-06-03,Rori Harmon,1,NO_ACTUAL,BENCH,live_roster_api,STL,ACTIVE,0.9,0,WSH,0.8,
NO_ACTUAL,2026-06-03,OVER,0.9,WNBA,,,,POR@GS,2026-06-03,Luisa Geiselsoder,1,NO_ACTUAL,START,live_roster_api,3PM,ACTIVE,0.9,0,POR,0.8,
NO_ACTUAL,2026-06-03,OVER,1.1,WNBA,,,,POR@GS,2026-06-03,Bridget Carleton,1.3,NO_ACTUAL,START,live_roster_api,3PM,ACTIVE,1.1,0,POR,0.8,
NO_ACTUAL,2026-06-03,OVER,0.8,WNBA,,,,POR@GS,2026-06-03,Nyadiew Puoch,0.9,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,0.8,0,POR,0.8,
NO_ACTUAL,2026-06-03,OVER,0.9,WNBA,,,,POR@GS,2026-06-03,Karlie Samuelson,1.1,NO_ACTUAL,START,live_roster_api,3PM,ACTIVE,0.9,0,POR,0.8,
NO_ACTUAL,2026-06-03,OVER,0.9,WNBA,,,,POR@GS,2026-06-03,Teja Oblak,1,NO_ACTUAL,BENCH,live_roster_api,3PM,ACTIVE,0.9,0,POR,0.8,
NO_ACTUAL,2026-06-03,OVER,0.8,WNBA,,,,POR@GS,2026-06-03,Emily Engstler,0.9,NO_ACTUAL,BENCH,live_roster_api,BLK,ACTIVE,0.8,0,POR,0.8,
NO_ACTUAL,2026-06-03,OVER,1,WNBA,,,,POR@GS,2026-06-03,Tiffany Hayes,1.2,NO_ACTUAL,START,live_roster_api,3PM,ACTIVE,1,0,GS,0.8,
NO_ACTUAL,2026-06-03,OVER,0.9,WNBA,,,,POR@GS,2026-06-03,Tiffany Hayes,1,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,0.9,0,GS,0.8,
NO_ACTUAL,2026-06-03,OVER,0.8,WNBA,,,,POR@GS,2026-06-03,Kayla Thornton,0.9,NO_ACTUAL,START,live_roster_api,3PM,ACTIVE,0.8,0,GS,0.8,
NO_ACTUAL,2026-06-03,OVER,0.8,WNBA,,,,POR@GS,2026-06-03,Kayla Thornton,0.9,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,0.8,0,GS,0.8,
NO_ACTUAL,2026-06-03,OVER,0.9,WNBA,,,,POR@GS,2026-06-03,Kiah Stokes,1,NO_ACTUAL,BENCH,live_roster_api,BLK,ACTIVE,0.9,0,GS,0.8,
NO_ACTUAL,2026-06-03,OVER,0.9,WNBA,,,,POR@GS,2026-06-03,Cecilia Zandalasini,1,NO_ACTUAL,BENCH,live_roster_api,3PM,ACTIVE,0.9,0,GS,0.8,
NO_ACTUAL,2026-06-03,OVER,0.9,WNBA,,,,POR@GS,2026-06-03,Iliana Rupert,1.1,NO_ACTUAL,BENCH,live_roster_api,3PM,ACTIVE,0.9,0,GS,0.8,
NO_ACTUAL,2026-06-03,OVER,0.9,WNBA,,,,POR@GS,2026-06-03,Juste Jocyte,1,NO_ACTUAL,BENCH,live_roster_api,3PM,ACTIVE,0.9,0,GS,0.8,
NO_ACTUAL,2026-06-03,OVER,0.9,WNBA,,,,POR@GS,2026-06-03,Ashten Prechtel,1,NO_ACTUAL,BENCH,live_roster_api,3PM,ACTIVE,0.9,0,GS,0.8,
NO_ACTUAL,2026-06-03,OVER,1.1,WNBA,,,,LV@LA,2026-06-03,A'ja Wilson,1.3,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,1.1,0,LV,0.8,
NO_ACTUAL,2026-06-03,OVER,1,WNBA,,,,LV@LA,2026-06-03,Jewell Loyd,1.2,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,1,0,LV,0.8,
NO_ACTUAL,2026-06-03,OVER,1.1,WNBA,,,,LV@LA,2026-06-03,Jackie Young,1.3,NO_ACTUAL,START,live_roster_api,3PM,ACTIVE,1.1,0,LV,0.8,
NO_ACTUAL,2026-06-03,OVER,0.9,WNBA,,,,LV@LA,2026-06-03,Jackie Young,1.1,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,0.9,0,LV,0.8,
