matchup,status,home,away,book,player,stat,line,over_price,fetched_at
FRA @ NOR,Full Time,France,Norway,self-edge,Ismaël Koné,shots,1,-110,2026-06-27T01:01:20.367950+00:00
FRA @ NOR,Full Time,France,Norway,self-edge,Ismaël Koné,fouls,1,-110,2026-06-27T01:01:20.367950+00:00
FRA @ NOR,Full Time,France,Norway,self-edge,Guela Doué,fouls,4,-110,2026-06-27T01:01:20.367950+00:00
FRA @ NOR,Full Time,France,Norway,self-edge,Guela Doué,cards,1.0,-110,2026-06-27T01:01:20.367950+00:00
FRA @ NOR,Full Time,France,Norway,self-edge,Dayot Upamecano,fouls,1,-110,2026-06-27T01:01:20.367950+00:00
FRA @ NOR,Full Time,France,Norway,self-edge,Theo Hernández,shots,1,-110,2026-06-27T01:01:20.367950+00:00
FRA @ NOR,Full Time,France,Norway,self-edge,Jules Koundé,fouls,1,-110,2026-06-27T01:01:20.367950+00:00
FRA @ NOR,Full Time,France,Norway,self-edge,Ousmane Dembélé,shots,1,-110,2026-06-27T01:01:20.367950+00:00
FRA @ NOR,Full Time,France,Norway,self-edge,Adrien Rabiot,assists,0.5,-110,2026-06-27T01:01:20.367950+00:00
FRA @ NOR,Full Time,France,Norway,self-edge,Adrien Rabiot,fouls,1,-110,2026-06-27T01:01:20.367950+00:00
FRA @ NOR,Full Time,France,Norway,self-edge,Kylian Mbappé,goals,1.5,-110,2026-06-27T01:01:20.367950+00:00
FRA @ NOR,Full Time,France,Norway,self-edge,Kylian Mbappé,shots_on_target,3,-110,2026-06-27T01:01:20.367950+00:00
FRA @ NOR,Full Time,France,Norway,self-edge,Kylian Mbappé,shots,3,-110,2026-06-27T01:01:20.367950+00:00
FRA @ NOR,Full Time,France,Norway,self-edge,Kylian Mbappé,fouls,1,-110,2026-06-27T01:01:20.367950+00:00
FRA @ NOR,Full Time,France,Norway,self-edge,Désiré Doué,shots_on_target,1,-110,2026-06-27T01:01:20.367950+00:00
FRA @ NOR,Full Time,France,Norway,self-edge,Désiré Doué,shots,1,-110,2026-06-27T01:01:20.367950+00:00
FRA @ NOR,Full Time,France,Norway,self-edge,Michael Olise,assists,0.5,-110,2026-06-27T01:01:20.367950+00:00
FRA @ NOR,Full Time,France,Norway,self-edge,Michael Olise,shots_on_target,1,-110,2026-06-27T01:01:20.367950+00:00
FRA @ NOR,Full Time,France,Norway,self-edge,Michael Olise,shots,1,-110,2026-06-27T01:01:20.367950+00:00
FRA @ NOR,Full Time,France,Norway,self-edge,Bradley Barcola,goals,0.5,-110,2026-06-27T01:01:20.367950+00:00
FRA @ NOR,Full Time,France,Norway,self-edge,Bradley Barcola,shots_on_target,1,-110,2026-06-27T01:01:20.367950+00:00
FRA @ NOR,Full Time,France,Norway,self-edge,Bradley Barcola,shots,1,-110,2026-06-27T01:01:20.367950+00:00
FRA @ NOR,Full Time,France,Norway,self-edge,Aurélien Tchouaméni,shots_on_target,1,-110,2026-06-27T01:01:20.367950+00:00
FRA @ NOR,Full Time,France,Norway,self-edge,Aurélien Tchouaméni,shots,1,-110,2026-06-27T01:01:20.367950+00:00
FRA @ NOR,Full Time,France,Norway,self-edge,Aurélien Tchouaméni,fouls,1,-110,2026-06-27T01:01:20.367950+00:00
FRA @ NOR,Full Time,France,Norway,self-edge,Aurélien Tchouaméni,tackles,2,-110,2026-06-27T01:01:20.367950+00:00
FRA @ NOR,Full Time,France,Norway,self-edge,Aurélien Tchouaméni,cards,0.5,-110,2026-06-27T01:01:20.367950+00:00
FRA @ NOR,Full Time,France,Norway,self-edge,Aurélien Tchouaméni,passes,35,-110,2026-06-27T01:01:20.367950+00:00
