date,matchup,player,category,stat,direction,line,proj,actual,edge,result
2026-06-18,WSH@CON,Charlisse Leger-Walker,bench,ast,OVER,1.0,1.8,5.0,0.8,HIT
2026-06-18,WSH@CON,Charlisse Leger-Walker,bench,stl,OVER,0.0,0.6,3.0,0.6,HIT
2026-06-18,WSH@CON,Charlisse Leger-Walker,bench,blk,OVER,0.0,0.2,0.0,0.2,MISS
2026-06-18,WSH@CON,Diamond Miller,bench,pts,OVER,5.0,6.0,4.0,1.0,MISS
2026-06-18,WSH@CON,Diamond Miller,bench,reb,OVER,1.0,2.1,4.0,1.1,HIT
2026-06-18,WSH@CON,Diamond Miller,bench,ast,OVER,1.0,1.3,1.0,0.3,MISS
2026-06-18,WSH@CON,Diamond Miller,bench,stl,OVER,0.0,0.4,1.0,0.4,HIT
2026-06-18,WSH@CON,Diamond Miller,bench,blk,OVER,0.0,0.2,0.0,0.2,MISS
2026-06-18,WSH@CON,Olivia Nelson-Ododa,bench,pts,OVER,4.0,5.4,12.0,1.4,HIT
2026-06-18,WSH@CON,Olivia Nelson-Ododa,bench,reb,OVER,2.0,2.7,9.0,0.7,HIT
2026-06-18,WSH@CON,Olivia Nelson-Ododa,bench,ast,OVER,0.0,1.0,3.0,1.0,HIT
2026-06-18,WSH@CON,Olivia Nelson-Ododa,bench,stl,OVER,0.0,0.4,2.0,0.4,HIT
2026-06-18,WSH@CON,Olivia Nelson-Ododa,bench,blk,OVER,0.0,0.4,3.0,0.4,HIT
2026-06-18,WSH@CON,Kennedy Burke,bench,pts,OVER,4.0,5.4,11.0,1.4,HIT
2026-06-18,WSH@CON,Kennedy Burke,bench,reb,OVER,1.0,2.0,3.0,1.0,HIT
2026-06-18,WSH@CON,Kennedy Burke,bench,ast,OVER,0.0,1.1,2.0,1.1,HIT
2026-06-18,WSH@CON,Kennedy Burke,bench,stl,OVER,0.0,0.5,1.0,0.5,HIT
2026-06-18,WSH@CON,Kennedy Burke,bench,blk,OVER,0.0,0.3,2.0,0.3,HIT
2026-06-18,WSH@CON,Nell Angloma,bench,pts,OVER,4.0,5.2,0.0,1.2,MISS
2026-06-18,WSH@CON,Nell Angloma,bench,reb,OVER,1.0,1.8,0.0,0.8,MISS
2026-06-18,WSH@CON,Nell Angloma,bench,ast,OVER,0.0,0.9,0.0,0.9,MISS
2026-06-18,WSH@CON,Nell Angloma,bench,stl,OVER,0.0,0.5,0.0,0.5,MISS
2026-06-18,WSH@CON,Nell Angloma,bench,blk,OVER,0.0,0.3,0.0,0.3,MISS
2026-06-18,WSH@CON,Raegan Beers,bench,pts,OVER,4.0,4.8,3.0,0.8,MISS
2026-06-18,WSH@CON,Raegan Beers,bench,reb,OVER,2.0,2.7,1.0,0.7,MISS
2026-06-18,WSH@CON,Raegan Beers,bench,ast,OVER,0.0,1.1,0.0,1.1,MISS
2026-06-18,WSH@CON,Raegan Beers,bench,stl,OVER,0.0,0.4,0.0,0.4,MISS
2026-06-18,WSH@CON,Raegan Beers,bench,blk,OVER,0.0,0.2,0.0,0.2,MISS
