date,league,matchup,team,player,role,stat,season_avg,minutes_proj,tc_projection,market_line,edge,side
2026-06-03,WNBA,TOR @ NY,NY,Jonquel Jones,START,REB,8.4,22,6.37,8.0,-1.63,UNDER
2026-06-03,WNBA,TOR @ NY,NY,Jonquel Jones,START,AST,2.7,22,2.05,2.6,-0.55,UNDER
2026-06-03,WNBA,TOR @ NY,NY,Marine Johannes,START,PTS,11.9,22,9.42,11.3,-1.88,UNDER
2026-06-03,WNBA,TOR @ NY,NY,Marine Johannes,START,REB,2.9,22,2.29,2.8,-0.51,UNDER
2026-06-03,WNBA,TOR @ NY,NY,Marine Johannes,START,AST,4.2,22,3.32,4.0,-0.68,UNDER
2026-06-03,WNBA,TOR @ NY,NY,Pauline Astier,START,PTS,12.0,22,10.08,11.4,-1.32,UNDER
2026-06-03,WNBA,TOR @ NY,NY,Betnijah Laney-Hamilton,START,PTS,8.8,22,9.44,8.4,1.04,OVER
2026-06-03,WNBA,TOR @ NY,NY,Rebekah Gardner,BENCH,PTS,7.6,14,5.48,7.2,-1.72,UNDER
2026-06-03,WNBA,TOR @ NY,NY,Rebekah Gardner,BENCH,REB,2.2,14,1.59,2.1,-0.51,UNDER
2026-06-03,WNBA,TOR @ NY,NY,Satou Sabally,START,PTS,7.8,22,12.26,7.4,4.86,OVER
2026-06-03,WNBA,TOR @ NY,NY,Satou Sabally,START,REB,2.3,22,3.61,2.2,1.41,OVER
2026-06-03,WNBA,TOR @ NY,NY,Satou Sabally,START,AST,1.3,22,2.04,1.2,0.84,OVER
2026-06-03,WNBA,TOR @ NY,NY,Satou Sabally,START,3PM,1.0,22,1.57,0.9,0.67,OVER
2026-06-03,WNBA,TOR @ NY,NY,Anneli Maley,BENCH,PTS,0.5,14,2.33,0.5,1.83,OVER
2026-06-03,WNBA,TOR @ NY,NY,Anneli Maley,BENCH,REB,1.0,14,4.67,0.9,3.77,OVER
2026-06-03,WNBA,TOR @ NY,TOR,Brittney Sykes,START,PTS,19.9,22,13.77,18.9,-5.13,UNDER
2026-06-03,WNBA,TOR @ NY,TOR,Brittney Sykes,START,REB,3.9,22,2.7,3.7,-1.0,UNDER
2026-06-03,WNBA,TOR @ NY,TOR,Brittney Sykes,START,AST,4.1,22,2.84,3.9,-1.06,UNDER
2026-06-03,WNBA,TOR @ NY,TOR,Marina Mabrey,START,PTS,18.7,22,15.24,17.8,-2.56,UNDER
2026-06-03,WNBA,TOR @ NY,TOR,Marina Mabrey,START,REB,3.9,22,3.18,3.7,-0.52,UNDER
2026-06-03,WNBA,TOR @ NY,TOR,Kiki Rice,START,PTS,13.1,22,10.67,12.4,-1.73,UNDER
2026-06-03,WNBA,TOR @ NY,TOR,Kiki Rice,START,REB,4.7,22,3.83,4.5,-0.67,UNDER
2026-06-03,WNBA,TOR @ NY,TOR,Nyara Sabally,START,PTS,11.9,22,10.43,11.3,-0.87,UNDER
