player,stat,proj,actual,direction,hit,edge,matchup
Dearica Hamby,P+A,16.2,19.0,UNDER,False,-0.9000000000000021,LA@DAL
Dearica Hamby,P+R,18.0,21.0,OVER,True,18.0,LA@DAL
Dearica Hamby,P+R,18.0,21.0,UNDER,False,-1.0,LA@DAL
Dearica Hamby,P+R+A,20.7,24.0,OVER,True,20.7,LA@DAL
Dearica Hamby,P+R+A,20.7,24.0,UNDER,False,-1.1000000000000014,LA@DAL
Dearica Hamby,PTS,13.5,16.0,OVER,True,13.5,LA@DAL
Dearica Hamby,PTS,13.5,16.0,UNDER,False,-0.6999999999999993,LA@DAL
Dearica Hamby,REB,4.5,5.0,OVER,True,4.5,LA@DAL
Dearica Hamby,REB,4.5,5.0,UNDER,False,-0.2999999999999998,LA@DAL
Dearica Hamby,STL,0.9,1.0,OVER,True,0.9,LA@DAL
Dearica Hamby,STL,0.9,1.0,UNDER,False,0.0,LA@DAL
Jordin Canada,AST,2.7,9.0,OVER,True,2.7,LA@DAL
Jordin Canada,AST,2.7,9.0,UNDER,False,-0.09999999999999964,LA@DAL
Jordin Canada,BLK,0.5,0.0,OVER,False,0.5,LA@DAL
Jordin Canada,BLK,0.5,0.0,UNDER,True,0.0,LA@DAL
Jordin Canada,P+A,16.2,19.0,OVER,True,16.2,LA@DAL
Jordin Canada,P+A,16.2,19.0,UNDER,False,-0.9000000000000021,LA@DAL
Jordin Canada,P+R,18.0,13.0,OVER,False,18.0,LA@DAL
Jordin Canada,P+R,18.0,13.0,UNDER,True,-1.0,LA@DAL
Jordin Canada,P+R+A,20.7,22.0,OVER,True,20.7,LA@DAL
Jordin Canada,P+R+A,20.7,22.0,UNDER,False,-1.1000000000000014,LA@DAL
Jordin Canada,PTS,13.5,10.0,OVER,False,13.5,LA@DAL
Jordin Canada,PTS,13.5,10.0,UNDER,True,-0.6999999999999993,LA@DAL
Jordin Canada,REB,4.5,3.0,OVER,False,4.5,LA@DAL
Jordin Canada,REB,4.5,3.0,UNDER,True,-0.2999999999999998,LA@DAL
Jordin Canada,STL,0.9,3.0,OVER,True,0.9,LA@DAL
Jordin Canada,STL,0.9,3.0,UNDER,False,0.0,LA@DAL
Rhyne Howard,AST,2.7,6.0,OVER,True,2.7,CHI@ATL
Rhyne Howard,AST,2.7,6.0,UNDER,False,-0.09999999999999964,CHI@ATL
Rhyne Howard,BLK,0.5,3.0,OVER,True,0.5,CHI@ATL
Rhyne Howard,BLK,0.5,3.0,UNDER,False,0.0,CHI@ATL
Rhyne Howard,P+A,16.2,17.0,OVER,True,16.2,CHI@ATL
Rhyne Howard,P+A,16.2,17.0,UNDER,False,-0.9000000000000021,CHI@ATL
Rhyne Howard,P+R,18.0,17.0,OVER,False,18.0,CHI@ATL
Rhyne Howard,P+R,18.0,17.0,UNDER,True,-1.0,CHI@ATL
Rhyne Howard,P+R+A,20.7,23.0,OVER,True,20.7,CHI@ATL
Rhyne Howard,P+R+A,20.7,23.0,UNDER,False,-1.1000000000000014,CHI@ATL
Rhyne Howard,PTS,13.5,11.0,OVER,False,13.5,CHI@ATL
Rhyne Howard,PTS,13.5,11.0,UNDER,True,-0.6999999999999993,CHI@ATL
Rhyne Howard,REB,4.5,6.0,OVER,True,4.5,CHI@ATL
Rhyne Howard,REB,4.5,6.0,UNDER,False,-0.2999999999999998,CHI@ATL
Rhyne Howard,STL,0.9,0.0,OVER,False,0.9,CHI@ATL
Rhyne Howard,STL,0.9,0.0,UNDER,True,0.0,CHI@ATL
