matchup,status,home,away,book,player,stat,line,over_price,fetched_at
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Mattias Svanberg,goals,1.0,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Mattias Svanberg,shots_on_target,0.7,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Mattias Svanberg,shots,0.7,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Lucas Bergvall,assists,1.0,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Lucas Bergvall,shots,0.7,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Lucas Bergvall,fouls,0.7,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Isak Hien,fouls,0.7,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Victor Lindelöf,shots,0.7,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Victor Lindelöf,fouls,1.5,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Jesper Karlström,fouls,0.7,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Yasin Ayari,goals,1.5,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Yasin Ayari,shots_on_target,1.5,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Yasin Ayari,shots,1.5,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Yasin Ayari,fouls,0.7,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Benjamin Nygren,fouls,0.7,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Gabriel Gudmundsson,fouls,1.5,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Alexander Isak,goals,1.0,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Alexander Isak,assists,1.5,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Alexander Isak,shots_on_target,1.5,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Alexander Isak,shots,2.2,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Alexander Isak,fouls,0.7,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Viktor Gyökeres,goals,1.0,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Viktor Gyökeres,assists,1.0,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Viktor Gyökeres,shots_on_target,1.5,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Viktor Gyökeres,shots,3.7,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Virgil van Dijk,goals,1.0,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Virgil van Dijk,shots_on_target,0.7,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Virgil van Dijk,shots,0.7,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Jan Paul van Hecke,shots_on_target,0.7,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Jan Paul van Hecke,shots,0.7,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Micky van de Ven,shots,0.7,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Micky van de Ven,fouls,1.5,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Frenkie de Jong,fouls,1.5,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Ryan Gravenberch,assists,1.5,-110,2026-06-20T21:59:36.366839+00:00
SWE @ NED,Full Time,Sweden,Netherlands,self-edge,Donyell Malen,shots_on_target,1.5,-110,2026-06-20T21:59:36.366839+00:00
