date,league,matchup,team,player,role,status,stat,direction,market_line,tc_projection,tc_target,edge,threshold,raw_average,source,actual,result
2026-06-29,WORLD CUP,PAR@GER,,Omar Alderete,,ACTIVE,FOULS,OVER,2,2.2,,0.2,,,dk-derived,,PENDING
2026-06-29,WORLD CUP,PAR@GER,,Gustavo Gómez,,ACTIVE,FOULS,OVER,3,3.4,,0.4,,,dk-derived,,PENDING
2026-06-29,WORLD CUP,PAR@GER,,Júnior Alonso,,ACTIVE,FOULS,OVER,2,2.2,,0.2,,,dk-derived,,PENDING
2026-06-29,WORLD CUP,PAR@GER,,Júnior Alonso,,ACTIVE,CARDS,OVER,1.5,1.7,,0.2,,,dk-derived,,PENDING
2026-06-29,WORLD CUP,PAR@GER,,Juan Jose Cáceres,,ACTIVE,FOULS,OVER,5,5.6,,0.6,,,dk-derived,,PENDING
2026-06-29,WORLD CUP,PAR@GER,,Juan Jose Cáceres,,ACTIVE,CARDS,OVER,1.5,1.7,,0.2,,,dk-derived,,PENDING
2026-06-29,WORLD CUP,PAR@GER,,Andrés Cubas,,ACTIVE,FOULS,OVER,8,9,,1,,,dk-derived,,PENDING
2026-06-29,WORLD CUP,PAR@GER,,Miguel Almirón,,ACTIVE,SHOTS,OVER,3,3.4,,0.4,,,dk-derived,,PENDING
2026-06-29,WORLD CUP,PAR@GER,,Miguel Almirón,,ACTIVE,FOULS,OVER,2,2.2,,0.2,,,dk-derived,,PENDING
2026-06-29,WORLD CUP,PAR@GER,,Miguel Almirón,,ACTIVE,CARDS,OVER,1.5,1.7,,0.2,,,dk-derived,,PENDING
2026-06-29,WORLD CUP,PAR@GER,,Diego Gómez,,ACTIVE,SHOTS,OVER,6,6.7,,0.7,,,dk-derived,,PENDING
2026-06-29,WORLD CUP,PAR@GER,,Diego Gómez,,ACTIVE,FOULS,OVER,2,2.2,,0.2,,,dk-derived,,PENDING
2026-06-29,WORLD CUP,PAR@GER,,Diego Gómez,,ACTIVE,CARDS,OVER,1.5,1.7,,0.2,,,dk-derived,,PENDING
2026-06-29,WORLD CUP,PAR@GER,,Julio Enciso,,ACTIVE,ASSISTS,OVER,1.5,1.7,,0.2,,,dk-derived,,PENDING
2026-06-29,WORLD CUP,PAR@GER,,Julio Enciso,,ACTIVE,SHOTS,OVER,3,3.4,,0.4,,,dk-derived,,PENDING
2026-06-29,WORLD CUP,PAR@GER,,Antonio Sanabria,,ACTIVE,FOULS,OVER,2,2.2,,0.2,,,dk-derived,,PENDING
2026-06-29,WORLD CUP,PAR@GER,,Alex Arce,,ACTIVE,FOULS,OVER,2,2.2,,0.2,,,dk-derived,,PENDING
2026-06-29,WORLD CUP,PAR@GER,,Alex Arce,,ACTIVE,CARDS,OVER,1.5,1.7,,0.2,,,dk-derived,,PENDING
2026-06-29,WORLD CUP,PAR@GER,,Alejandro Romero Gamarra,,ACTIVE,FOULS,OVER,2,2.2,,0.2,,,dk-derived,,PENDING
2026-06-29,WORLD CUP,PAR@GER,,Maurício,,ACTIVE,GOALS,OVER,1.5,1.7,,0.2,,,dk-derived,,PENDING
2026-06-29,WORLD CUP,PAR@GER,,Maurício,,ACTIVE,SHOTS_ON_TARGET,OVER,2,2.2,,0.2,,,dk-derived,,PENDING
2026-06-29,WORLD CUP,PAR@GER,,Maurício,,ACTIVE,SHOTS,OVER,2,2.2,,0.2,,,dk-derived,,PENDING
2026-06-29,WORLD CUP,PAR@GER,,Nico Schlotterbeck,,ACTIVE,GOALS,OVER,0.5,0.6,,0.1,,,dk-derived,,PENDING
2026-06-29,WORLD CUP,PAR@GER,,Nico Schlotterbeck,,ACTIVE,SHOTS_ON_TARGET,OVER,1,1.1,,0.1,,,dk-derived,,PENDING
2026-06-29,WORLD CUP,PAR@GER,,Nico Schlotterbeck,,ACTIVE,SHOTS,OVER,1,1.1,,0.1,,,dk-derived,,PENDING
2026-06-29,WORLD CUP,PAR@GER,,Nico Schlotterbeck,,ACTIVE,FOULS,OVER,1,1.1,,0.1,,,dk-derived,,PENDING
2026-06-29,WORLD CUP,PAR@GER,,Jonathan Tah,,ACTIVE,FOULS,OVER,1,1.1,,0.1,,,dk-derived,,PENDING
2026-06-29,WORLD CUP,PAR@GER,,Nathaniel Brown,,ACTIVE,GOALS,OVER,0.5,0.6,,0.1,,,dk-derived,,PENDING
2026-06-29,WORLD CUP,PAR@GER,,Nathaniel Brown,,ACTIVE,ASSISTS,OVER,0.5,0.6,,0.1,,,dk-derived,,PENDING
2026-06-29,WORLD CUP,PAR@GER,,Nathaniel Brown,,ACTIVE,SHOTS_ON_TARGET,OVER,1,1.1,,0.1,,,dk-derived,,PENDING
2026-06-29,WORLD CUP,PAR@GER,,Nathaniel Brown,,ACTIVE,SHOTS,OVER,1,1.1,,0.1,,,dk-derived,,PENDING
