2026-06-16,MLB,MIA@PHI,MIA,Otto Lopez,,ACTIVE,walks,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,MIA,Kyle Stowers,,ACTIVE,doubles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,MIA,Joe Mack,,ACTIVE,doubles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,MIA,Joe Mack,,ACTIVE,rbi,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,MIA,Joe Mack,,ACTIVE,walks,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,MIA,Tyler Phillips,,ACTIVE,strikeouts,UNDER,3.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,MIA,Tyler Phillips,,ACTIVE,walks,UNDER,1.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,MIA,Connor Norby,,ACTIVE,doubles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,MIA,Connor Norby,,ACTIVE,rbi,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,MIA,Connor Norby,,ACTIVE,walks,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,MIA,Heriberto Hernandez,,ACTIVE,doubles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,MIA,Heriberto Hernandez,,ACTIVE,hits,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,MIA,Heriberto Hernandez,,ACTIVE,rbi,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,MIA,Heriberto Hernandez,,ACTIVE,singles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,MIA,Heriberto Hernandez,,ACTIVE,walks,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,PHI,Bryson Stott,,ACTIVE,doubles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,PHI,Bryson Stott,,ACTIVE,walks,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,PHI,Alec Bohm,,ACTIVE,doubles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,PHI,Alec Bohm,,ACTIVE,rbi,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,PHI,Alec Bohm,,ACTIVE,walks,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,PHI,Kyle Schwarber,,ACTIVE,doubles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,PHI,Kyle Schwarber,,ACTIVE,hits,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,PHI,Kyle Schwarber,,ACTIVE,rbi,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,PHI,Kyle Schwarber,,ACTIVE,singles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,PHI,Kyle Schwarber,,ACTIVE,walks,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,PHI,Brandon Marsh,,ACTIVE,doubles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,PHI,Brandon Marsh,,ACTIVE,rbi,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,PHI,Brandon Marsh,,ACTIVE,walks,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,PHI,J.T. Realmuto,,ACTIVE,doubles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,PHI,J.T. Realmuto,,ACTIVE,rbi,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,PHI,J.T. Realmuto,,ACTIVE,walks,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,PHI,Justin Crawford,,ACTIVE,doubles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,PHI,Justin Crawford,,ACTIVE,hits,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,PHI,Justin Crawford,,ACTIVE,singles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,PHI,Justin Crawford,,ACTIVE,walks,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,PHI,Bryce Harper,,ACTIVE,doubles,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,MIA@PHI,PHI,Bryce Harper,,ACTIVE,walks,UNDER,0.5,0,,0,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Salvador Perez,,ACTIVE,hits,OVER,0.5,1.7,,1.2,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Salvador Perez,,ACTIVE,rbi,OVER,0.5,1.7,,1.2,,,,,PENDING
2026-06-16,MLB,KC@WSH,KC,Salvador Perez,,ACTIVE,singles,OVER,0.5,1.7,,1.2,,,,,PENDING
2026-06-16,MLB,KC@WSH,WSH,Luis Garcia Jr.,,ACTIVE,singles,OVER,0.5,1.7,,1.2,,,,,PENDING
