Sport,Strategy,Picks,Wins,Losses,Hit Rate,ROI,Profit,Avg Edge,Max DD,Win Streak,Loss Streak
WNBA,v1,312,191,121,61.2%,16.9%,$5263.64,21.47%,$-518.18,11,5
WNBA,v2,312,191,121,61.2%,16.9%,$5263.64,15.03%,$-518.18,11,5
WNBA,hybrid,312,191,121,61.2%,16.9%,$5263.64,20.74%,$-518.18,11,5
WNBA,ensemble,312,191,121,61.2%,16.9%,$5263.64,18.04%,$-518.18,11,5
MLB,v1,3347,2429,918,72.6%,38.5%,$129018.18,152.35%,$-4700.00,58,10
MLB,v2,5836,3878,1958,66.4%,26.9%,$156745.45,83.19%,$-11536.36,56,15
MLB,hybrid,5836,3878,1958,66.4%,26.9%,$156745.45,84.89%,$-11536.36,56,15
MLB,ensemble,5866,3903,1963,66.5%,27.0%,$158518.18,84.03%,$-11536.36,56,15
