date,matchup,home_team,away_team,h2h_home_win_prob,h2h_draw_prob,h2h_away_win_prob,h2h_tc_signal,h2h_dk_home,h2h_dk_draw,h2h_dk_away,totals_tc_expected,totals_tc_over_prob,totals_tc_signal,totals_bm_over,totals_bm_under,totals_bm_line,btts_tc_prob,btts_tc_signal,btts_dk_yes,btts_dk_no
2026-07-03,Egypt@Australia,Australia,Egypt,0.574,0.248,0.177,HOME,,,,2.53,0.509,PASS,,,2.5,0.511,PASS,,
2026-07-03,Cape Verde@Argentina,Argentina,Cape Verde,0.802,0.066,0.131,HOME,,,,2.8,0.572,OVER,,,2.5,0.52,PASS,,
2026-07-03,Ghana@Colombia,Colombia,Ghana,0.726,0.11,0.163,HOME,,,,2.58,0.519,PASS,,,2.5,0.497,PASS,,
2026-07-03,Morocco@Canada,Canada,Morocco,0.305,0.082,0.613,AWAY,,,,2.42,0.478,PASS,,,2.5,0.482,PASS,,
2026-07-03,France@Paraguay,Paraguay,France,0.236,0.054,0.71,AWAY,,,,2.62,0.53,PASS,,,2.5,0.513,PASS,,
2026-07-03,Norway@Brazil,Brazil,Norway,0.794,0.07,0.135,HOME,,,,2.94,0.601,OVER,,,2.5,0.549,YES,,
2026-07-03,England@Mexico,Mexico,England,0.45,0.173,0.377,PASS,,,,3.12,0.637,OVER,,,2.5,0.623,YES,,
2026-07-03,Spain@Portugal,Portugal,Spain,0.531,0.256,0.213,HOME,,,,3.26,0.662,OVER,,,2.5,0.643,YES,,
2026-07-03,Belgium@USA,USA,Belgium,0.5,0.22,0.28,HOME,,,,2.99,0.611,OVER,,,2.5,0.601,YES,,
