actual,date,direction,edge,league,market_line,matched_player,matchup,player,raw_average,result,role,source,stat,status,tc_projection,tc_target,team,threshold,threshold_used
,2026-06-03,OVER,0.9,WNBA,,,POR@GS,Teja Oblak,1,NO_ACTUAL,BENCH,live_roster_api,3PM,ACTIVE,0.9,0,POR,0.8,
,2026-06-03,OVER,0.8,WNBA,,,POR@GS,Emily Engstler,0.9,NO_ACTUAL,BENCH,live_roster_api,BLK,ACTIVE,0.8,0,POR,0.8,
,2026-06-03,OVER,1,WNBA,,,POR@GS,Tiffany Hayes,1.2,NO_ACTUAL,START,live_roster_api,3PM,ACTIVE,1,0,GS,0.8,
,2026-06-03,OVER,0.9,WNBA,,,POR@GS,Tiffany Hayes,1,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,0.9,0,GS,0.8,
,2026-06-03,OVER,0.8,WNBA,,,POR@GS,Kayla Thornton,0.9,NO_ACTUAL,START,live_roster_api,3PM,ACTIVE,0.8,0,GS,0.8,
,2026-06-03,OVER,0.8,WNBA,,,POR@GS,Kayla Thornton,0.9,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,0.8,0,GS,0.8,
,2026-06-03,OVER,0.9,WNBA,,,POR@GS,Kiah Stokes,1,NO_ACTUAL,BENCH,live_roster_api,BLK,ACTIVE,0.9,0,GS,0.8,
,2026-06-03,OVER,0.9,WNBA,,,POR@GS,Cecilia Zandalasini,1,NO_ACTUAL,BENCH,live_roster_api,3PM,ACTIVE,0.9,0,GS,0.8,
,2026-06-03,OVER,0.9,WNBA,,,POR@GS,Iliana Rupert,1.1,NO_ACTUAL,BENCH,live_roster_api,3PM,ACTIVE,0.9,0,GS,0.8,
,2026-06-03,OVER,0.9,WNBA,,,POR@GS,Juste Jocyte,1,NO_ACTUAL,BENCH,live_roster_api,3PM,ACTIVE,0.9,0,GS,0.8,
,2026-06-03,OVER,0.9,WNBA,,,POR@GS,Ashten Prechtel,1,NO_ACTUAL,BENCH,live_roster_api,3PM,ACTIVE,0.9,0,GS,0.8,
,2026-06-03,OVER,1.1,WNBA,,,LV@LA,A'ja Wilson,1.3,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,1.1,0,LV,0.8,
,2026-06-03,OVER,1,WNBA,,,LV@LA,Jewell Loyd,1.2,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,1,0,LV,0.8,
,2026-06-03,OVER,1.1,WNBA,,,LV@LA,Jackie Young,1.3,NO_ACTUAL,START,live_roster_api,3PM,ACTIVE,1.1,0,LV,0.8,
,2026-06-03,OVER,0.9,WNBA,,,LV@LA,Jackie Young,1.1,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,0.9,0,LV,0.8,
,2026-06-03,OVER,0.9,WNBA,,,LV@LA,Chelsea Gray,1.1,NO_ACTUAL,START,live_roster_api,3PM,ACTIVE,0.9,0,LV,0.8,
,2026-06-03,OVER,1,WNBA,,,LV@LA,Chelsea Gray,1.2,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,1,0,LV,0.8,
,2026-06-03,OVER,0.8,WNBA,,,LV@LA,Chennedy Carter,0.9,NO_ACTUAL,BENCH,live_roster_api,STL,ACTIVE,0.8,0,LV,0.8,
,2026-06-03,OVER,0.9,WNBA,,,LV@LA,Brianna Turner,1.1,NO_ACTUAL,BENCH,live_roster_api,BLK,ACTIVE,0.9,0,LV,0.8,
,2026-06-03,OVER,0.8,WNBA,,,LV@LA,Cheyenne Parker-Tyus,0.9,NO_ACTUAL,BENCH,live_roster_api,BLK,ACTIVE,0.8,0,LV,0.8,
,2026-06-03,OVER,0.8,WNBA,,,LV@LA,Dana Evans,0.9,NO_ACTUAL,BENCH,live_roster_api,3PM,ACTIVE,0.8,0,LV,0.8,
,2026-06-03,OVER,0.8,WNBA,,,LV@LA,Kelsey Plum,2.1,NO_ACTUAL,START,live_roster_api,3PM,ACTIVE,1.8,1,LA,0.8,
,2026-06-03,OVER,0.8,WNBA,,,LV@LA,Kelsey Plum,0.9,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,0.8,0,LA,0.8,
,2026-06-03,OVER,0.9,WNBA,,,LV@LA,Dearica Hamby,1.1,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,0.9,0,LA,0.8,
,2026-06-03,OVER,0.8,WNBA,,,LV@LA,Erica Wheeler,0.9,NO_ACTUAL,START,live_roster_api,3PM,ACTIVE,0.8,0,LA,0.8,
,2026-06-03,OVER,0.9,WNBA,,,LV@LA,Erica Wheeler,1,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,0.9,0,LA,0.8,
,2026-06-03,OVER,0.9,WNBA,,,LV@LA,Kate Martin,1,NO_ACTUAL,BENCH,live_roster_api,3PM,ACTIVE,0.9,0,LA,0.8,
,2026-06-03,OVER,1,WNBA,,,CON@ATL,Brittney Griner,2.4,NO_ACTUAL,START,live_roster_api,BLK,ACTIVE,2,1,CON,0.8,
,2026-06-03,OVER,0.9,WNBA,,,CON@ATL,Leila Lacan,2.2,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,1.9,1,CON,0.8,
,2026-06-03,OVER,0.8,WNBA,,,CON@ATL,Saniya Rivers,0.9,NO_ACTUAL,START,live_roster_api,3PM,ACTIVE,0.8,0,CON,0.8,
,2026-06-03,OVER,1,WNBA,,,CON@ATL,Allisha Gray,1.2,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,1,0,ATL,0.8,
,2026-06-03,OVER,0.9,WNBA,,,CON@ATL,Brionna Jones,1,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,0.9,0,ATL,0.8,
,2026-06-03,OVER,1.1,WNBA,,,CON@ATL,Amy Okonkwo,1.3,NO_ACTUAL,BENCH,live_roster_api,3PM,ACTIVE,1.1,0,ATL,0.8,
,2026-06-03,OVER,1,WNBA,,,CON@ATL,Te-Hina Paopao,1.2,NO_ACTUAL,BENCH,live_roster_api,3PM,ACTIVE,1,0,ATL,0.8,
,2026-06-03,OVER,1.1,WNBA,,,CHI@WSH,Skylar Diggins,1.3,NO_ACTUAL,START,live_roster_api,3PM,ACTIVE,1.1,0,CHI,0.8,
,2026-06-03,OVER,1.1,WNBA,,,CHI@WSH,Skylar Diggins,1.3,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,1.1,0,CHI,0.8,
,2026-06-03,OVER,1.1,WNBA,,,CHI@WSH,Kamilla Cardoso,1.3,NO_ACTUAL,START,live_roster_api,BLK,ACTIVE,1.1,0,CHI,0.8,
,2026-06-03,OVER,0.8,WNBA,,,CHI@WSH,Courtney Vandersloot,0.9,NO_ACTUAL,START,live_roster_api,3PM,ACTIVE,0.8,0,CHI,0.8,
,2026-06-03,OVER,1,WNBA,,,CHI@WSH,Courtney Vandersloot,1.2,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,1,0,CHI,0.8,
,2026-06-03,OVER,1,WNBA,,,CHI@WSH,Gabriela Jaquez,1.2,NO_ACTUAL,START,live_roster_api,STL,ACTIVE,1,0,CHI,0.8,
,2026-06-03,OVER,0.9,WNBA,,,CHI@WSH,Natasha Cloud,1,NO_ACTUAL,BENCH,live_roster_api,3PM,ACTIVE,0.9,0,CHI,0.8,
,2026-06-03,OVER,0.9,WNBA,,,CHI@WSH,Natasha Cloud,1,NO_ACTUAL,BENCH,live_roster_api,STL,ACTIVE,0.9,0,CHI,0.8,
,2026-06-03,OVER,0.8,WNBA,,,CHI@WSH,Elizabeth Williams,0.9,NO_ACTUAL,BENCH,live_roster_api,STL,ACTIVE,0.8,0,CHI,0.8,
,2026-06-03,OVER,0.9,WNBA,,,CHI@WSH,Azura Stevens,1.1,NO_ACTUAL,BENCH,live_roster_api,3PM,ACTIVE,0.9,0,CHI,0.8,
,2026-06-03,OVER,0.8,WNBA,,,CHI@WSH,Azura Stevens,0.9,NO_ACTUAL,BENCH,live_roster_api,STL,ACTIVE,0.8,0,CHI,0.8,
,2026-06-03,OVER,0.9,WNBA,,,CHI@WSH,Azura Stevens,1,NO_ACTUAL,BENCH,live_roster_api,BLK,ACTIVE,0.9,0,CHI,0.8,
,2026-06-03,OVER,0.8,WNBA,,,CHI@WSH,Jacy Sheldon,0.9,NO_ACTUAL,BENCH,live_roster_api,3PM,ACTIVE,0.8,0,CHI,0.8,
,2026-06-03,OVER,0.9,WNBA,,,CHI@WSH,DiJonai Carrington,1,NO_ACTUAL,BENCH,live_roster_api,STL,ACTIVE,0.9,0,CHI,0.8,
,2026-06-03,OVER,1,WNBA,,,CHI@WSH,Rachel Banham,1.2,NO_ACTUAL,BENCH,live_roster_api,3PM,ACTIVE,1,0,CHI,0.8,
,2026-06-03,OVER,1,WNBA,,,CHI@WSH,Sydney Taylor,1.2,NO_ACTUAL,BENCH,live_roster_api,3PM,ACTIVE,1,0,CHI,0.8,
,2026-06-03,OVER,1,WNBA,,,CHI@WSH,Aicha Coulibaly,1.2,NO_ACTUAL,BENCH,live_roster_api,STL,ACTIVE,1,0,CHI,0.8,
