date,league,matchup,team,player,role,status,stat,direction,market_line,tc_projection,tc_target,edge,threshold,raw_average,source,actual,result
2026-06-03,NBA,NYK@SAS,NYK,Karl-Anthony Towns,START,ACTIVE,BLK,OVER,,0.9,0,0.9,0.8,1.1,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,NYK,Mikal Bridges,START,ACTIVE,STL,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,NYK,OG Anunoby,START,ACTIVE,STL,OVER,,1.1,0,1.1,0.8,1.3,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,NYK,Josh Hart,START,ACTIVE,3PM,OVER,,1.1,0,1.1,0.8,1.3,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,NYK,Josh Hart,START,ACTIVE,STL,OVER,,0.9,0,0.9,0.8,1.1,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,NYK,Mitchell Robinson,BENCH,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,0.9,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,NYK,Jose Alvarado,BENCH,ACTIVE,STL,OVER,,0.9,0,0.9,0.8,1.1,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,SAS,Victor Wembanyama,START,ACTIVE,3PM,OVER,,1.9,1,0.9,0.8,2.2,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,SAS,Victor Wembanyama,START,ACTIVE,STL,OVER,,0.9,0,0.9,0.8,1.1,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,SAS,Victor Wembanyama,START,ACTIVE,BLK,OVER,,3,2,1,0.8,3.5,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,SAS,Stephon Castle,START,ACTIVE,3PM,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,SAS,Stephon Castle,START,ACTIVE,STL,OVER,,0.9,0,0.9,0.8,1,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,SAS,Devin Vassell,BENCH,ACTIVE,3PM,OVER,,1.8,1,0.8,0.8,2.1,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,SAS,Devin Vassell,BENCH,ACTIVE,STL,OVER,,0.9,0,0.9,0.8,1,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,SAS,Dylan Harper,BENCH,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,0.9,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,SAS,Kelly Olynyk,BENCH,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,1.1,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,SAS,Bismack Biyombo,BENCH,ACTIVE,BLK,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,SAS,Luke Kornet,BENCH,ACTIVE,BLK,OVER,,0.8,0,0.8,0.8,0.9,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,SAS,Lindy Waters III,BENCH,ACTIVE,3PM,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-03,WNBA,CON@ATL,CON,Brittney Griner,START,ACTIVE,BLK,OVER,,2,1,1,0.8,2.4,live_roster_api,,PENDING
2026-06-03,WNBA,CON@ATL,CON,Leila Lacan,START,ACTIVE,STL,OVER,,1.9,1,0.9,0.8,2.2,live_roster_api,,PENDING
2026-06-03,WNBA,CON@ATL,CON,Saniya Rivers,START,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,0.9,live_roster_api,,PENDING
2026-06-03,WNBA,CON@ATL,ATL,Allisha Gray,START,ACTIVE,STL,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-03,WNBA,CON@ATL,ATL,Brionna Jones,START,ACTIVE,STL,OVER,,0.9,0,0.9,0.8,1,live_roster_api,,PENDING
2026-06-03,WNBA,CON@ATL,ATL,Amy Okonkwo,BENCH,ACTIVE,3PM,OVER,,1.1,0,1.1,0.8,1.3,live_roster_api,,PENDING
2026-06-03,WNBA,CON@ATL,ATL,Te-Hina Paopao,BENCH,ACTIVE,3PM,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-03,WNBA,CHI@WSH,CHI,Skylar Diggins,START,ACTIVE,3PM,OVER,,1.1,0,1.1,0.8,1.3,live_roster_api,,PENDING
2026-06-03,WNBA,CHI@WSH,CHI,Skylar Diggins,START,ACTIVE,STL,OVER,,1.1,0,1.1,0.8,1.3,live_roster_api,,PENDING
2026-06-03,WNBA,CHI@WSH,CHI,Kamilla Cardoso,START,ACTIVE,BLK,OVER,,1.1,0,1.1,0.8,1.3,live_roster_api,,PENDING
2026-06-03,WNBA,CHI@WSH,CHI,Courtney Vandersloot,START,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,0.9,live_roster_api,,PENDING
2026-06-03,WNBA,CHI@WSH,CHI,Courtney Vandersloot,START,ACTIVE,STL,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-03,WNBA,CHI@WSH,CHI,Gabriela Jaquez,START,ACTIVE,STL,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-03,WNBA,CHI@WSH,CHI,Natasha Cloud,BENCH,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,1,live_roster_api,,PENDING
2026-06-03,WNBA,CHI@WSH,CHI,Natasha Cloud,BENCH,ACTIVE,STL,OVER,,0.9,0,0.9,0.8,1,live_roster_api,,PENDING
2026-06-03,WNBA,CHI@WSH,CHI,Elizabeth Williams,BENCH,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,0.9,live_roster_api,,PENDING
2026-06-03,WNBA,CHI@WSH,CHI,Azura Stevens,BENCH,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,1.1,live_roster_api,,PENDING
2026-06-03,WNBA,CHI@WSH,CHI,Azura Stevens,BENCH,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,0.9,live_roster_api,,PENDING
2026-06-03,WNBA,CHI@WSH,CHI,Azura Stevens,BENCH,ACTIVE,BLK,OVER,,0.9,0,0.9,0.8,1,live_roster_api,,PENDING
2026-06-03,WNBA,CHI@WSH,CHI,Jacy Sheldon,BENCH,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,0.9,live_roster_api,,PENDING
2026-06-03,WNBA,CHI@WSH,CHI,DiJonai Carrington,BENCH,ACTIVE,STL,OVER,,0.9,0,0.9,0.8,1,live_roster_api,,PENDING
2026-06-03,WNBA,CHI@WSH,CHI,Rachel Banham,BENCH,ACTIVE,3PM,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-03,WNBA,CHI@WSH,CHI,Sydney Taylor,BENCH,ACTIVE,3PM,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-03,WNBA,CHI@WSH,CHI,Aicha Coulibaly,BENCH,ACTIVE,STL,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-03,WNBA,CHI@WSH,WSH,Sonia Citron,START,ACTIVE,STL,OVER,,1.1,0,1.1,0.8,1.3,live_roster_api,,PENDING
2026-06-03,WNBA,CHI@WSH,WSH,Alicia Florez Getino,START,ACTIVE,STL,OVER,,0.9,0,0.9,0.8,1,live_roster_api,,PENDING
2026-06-03,WNBA,CHI@WSH,WSH,Shakira Austin,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,0.9,live_roster_api,,PENDING
2026-06-03,WNBA,CHI@WSH,WSH,Shakira Austin,START,ACTIVE,BLK,OVER,,0.9,0,0.9,0.8,1,live_roster_api,,PENDING
2026-06-03,WNBA,CHI@WSH,WSH,Georgia Amoore,START,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,1,live_roster_api,,PENDING
2026-06-03,WNBA,CHI@WSH,WSH,Angela Dugalic,BENCH,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,0.9,live_roster_api,,PENDING
2026-06-03,WNBA,CHI@WSH,WSH,Rori Harmon,BENCH,ACTIVE,STL,OVER,,0.9,0,0.9,0.8,1,live_roster_api,,PENDING
2026-06-03,WNBA,POR@GS,POR,Luisa Geiselsoder,START,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,1,live_roster_api,,PENDING
2026-06-03,WNBA,POR@GS,POR,Bridget Carleton,START,ACTIVE,3PM,OVER,,1.1,0,1.1,0.8,1.3,live_roster_api,,PENDING
2026-06-03,WNBA,POR@GS,POR,Nyadiew Puoch,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,0.9,live_roster_api,,PENDING
2026-06-03,WNBA,POR@GS,POR,Karlie Samuelson,START,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,1.1,live_roster_api,,PENDING
2026-06-03,WNBA,POR@GS,POR,Teja Oblak,BENCH,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,1,live_roster_api,,PENDING
2026-06-03,WNBA,POR@GS,POR,Emily Engstler,BENCH,ACTIVE,BLK,OVER,,0.8,0,0.8,0.8,0.9,live_roster_api,,PENDING
2026-06-03,WNBA,POR@GS,GS,Tiffany Hayes,START,ACTIVE,3PM,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-03,WNBA,POR@GS,GS,Tiffany Hayes,START,ACTIVE,STL,OVER,,0.9,0,0.9,0.8,1,live_roster_api,,PENDING
2026-06-03,WNBA,POR@GS,GS,Kayla Thornton,START,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,0.9,live_roster_api,,PENDING
2026-06-03,WNBA,POR@GS,GS,Kayla Thornton,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,0.9,live_roster_api,,PENDING
2026-06-03,WNBA,POR@GS,GS,Kiah Stokes,BENCH,ACTIVE,BLK,OVER,,0.9,0,0.9,0.8,1,live_roster_api,,PENDING
2026-06-03,WNBA,POR@GS,GS,Cecilia Zandalasini,BENCH,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,1,live_roster_api,,PENDING
2026-06-03,WNBA,POR@GS,GS,Iliana Rupert,BENCH,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,1.1,live_roster_api,,PENDING
2026-06-03,WNBA,POR@GS,GS,Juste Jocyte,BENCH,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,1,live_roster_api,,PENDING
2026-06-03,WNBA,POR@GS,GS,Ashten Prechtel,BENCH,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,1,live_roster_api,,PENDING
2026-06-03,WNBA,LV@LA,LV,A'ja Wilson,START,ACTIVE,STL,OVER,,1.1,0,1.1,0.8,1.3,live_roster_api,,PENDING
2026-06-03,WNBA,LV@LA,LV,Jewell Loyd,START,ACTIVE,STL,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-03,WNBA,LV@LA,LV,Jackie Young,START,ACTIVE,3PM,OVER,,1.1,0,1.1,0.8,1.3,live_roster_api,,PENDING
2026-06-03,WNBA,LV@LA,LV,Jackie Young,START,ACTIVE,STL,OVER,,0.9,0,0.9,0.8,1.1,live_roster_api,,PENDING
2026-06-03,WNBA,LV@LA,LV,Chelsea Gray,START,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,1.1,live_roster_api,,PENDING
2026-06-03,WNBA,LV@LA,LV,Chelsea Gray,START,ACTIVE,STL,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-03,WNBA,LV@LA,LV,Chennedy Carter,BENCH,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,0.9,live_roster_api,,PENDING
2026-06-03,WNBA,LV@LA,LV,Brianna Turner,BENCH,ACTIVE,BLK,OVER,,0.9,0,0.9,0.8,1.1,live_roster_api,,PENDING
2026-06-03,WNBA,LV@LA,LV,Cheyenne Parker-Tyus,BENCH,ACTIVE,BLK,OVER,,0.8,0,0.8,0.8,0.9,live_roster_api,,PENDING
2026-06-03,WNBA,LV@LA,LV,Dana Evans,BENCH,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,0.9,live_roster_api,,PENDING
2026-06-03,WNBA,LV@LA,LA,Kelsey Plum,START,ACTIVE,3PM,OVER,,1.8,1,0.8,0.8,2.1,live_roster_api,,PENDING
2026-06-03,WNBA,LV@LA,LA,Kelsey Plum,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,0.9,live_roster_api,,PENDING
2026-06-03,WNBA,LV@LA,LA,Dearica Hamby,START,ACTIVE,STL,OVER,,0.9,0,0.9,0.8,1.1,live_roster_api,,PENDING
2026-06-03,WNBA,LV@LA,LA,Erica Wheeler,START,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,0.9,live_roster_api,,PENDING
2026-06-03,WNBA,LV@LA,LA,Erica Wheeler,START,ACTIVE,STL,OVER,,0.9,0,0.9,0.8,1,live_roster_api,,PENDING
2026-06-03,WNBA,LV@LA,LA,Kate Martin,BENCH,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,1,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,NYK,Karl-Anthony Towns,START,ACTIVE,BLK,OVER,,0.9,0,0.9,0.8,1.1,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,NYK,Mikal Bridges,START,ACTIVE,STL,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,NYK,OG Anunoby,START,ACTIVE,STL,OVER,,1.1,0,1.1,0.8,1.3,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,NYK,Josh Hart,START,ACTIVE,3PM,OVER,,1.1,0,1.1,0.8,1.3,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,NYK,Josh Hart,START,ACTIVE,STL,OVER,,0.9,0,0.9,0.8,1.1,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,NYK,Mitchell Robinson,BENCH,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,0.9,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,NYK,Jose Alvarado,BENCH,ACTIVE,STL,OVER,,0.9,0,0.9,0.8,1.1,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,SAS,Victor Wembanyama,START,ACTIVE,3PM,OVER,,1.9,1,0.9,0.8,2.2,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,SAS,Victor Wembanyama,START,ACTIVE,STL,OVER,,0.9,0,0.9,0.8,1.1,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,SAS,Victor Wembanyama,START,ACTIVE,BLK,OVER,,3,2,1,0.8,3.5,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,SAS,Stephon Castle,START,ACTIVE,3PM,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,SAS,Stephon Castle,START,ACTIVE,STL,OVER,,0.9,0,0.9,0.8,1,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,SAS,Devin Vassell,BENCH,ACTIVE,3PM,OVER,,1.8,1,0.8,0.8,2.1,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,SAS,Devin Vassell,BENCH,ACTIVE,STL,OVER,,0.9,0,0.9,0.8,1,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,SAS,Dylan Harper,BENCH,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,0.9,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,SAS,Kelly Olynyk,BENCH,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,1.1,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,SAS,Bismack Biyombo,BENCH,ACTIVE,BLK,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,SAS,Luke Kornet,BENCH,ACTIVE,BLK,OVER,,0.8,0,0.8,0.8,0.9,live_roster_api,,PENDING
2026-06-03,NBA,NYK@SAS,SAS,Lindy Waters III,BENCH,ACTIVE,3PM,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
2026-06-03,WNBA,CON@ATL,CON,Brittney Griner,START,ACTIVE,BLK,OVER,,2,1,1,0.8,2.4,live_roster_api,,PENDING
2026-06-03,WNBA,CON@ATL,CON,Leila Lacan,START,ACTIVE,STL,OVER,,1.9,1,0.9,0.8,2.2,live_roster_api,,PENDING
2026-06-03,WNBA,CON@ATL,CON,Saniya Rivers,START,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,0.9,live_roster_api,,PENDING
2026-06-03,WNBA,CON@ATL,ATL,Allisha Gray,START,ACTIVE,STL,OVER,,1,0,1,0.8,1.2,live_roster_api,,PENDING
