date,matchup,home_team,away_team,h2h_home_win_prob,h2h_draw_prob,h2h_away_win_prob,h2h_tc_signal,h2h_dk_home,h2h_dk_draw,h2h_dk_away,totals_tc_expected,totals_tc_over_prob,totals_tc_signal,totals_bm_over,totals_bm_under,totals_bm_line,btts_tc_prob,btts_tc_signal,btts_dk_yes,btts_dk_no
2026-06-15,Egypt@Belgium,Belgium,Egypt,0.685,0.14,0.175,HOME,140,110,500,2.82,0.575,OVER,-175,140,2.5,0.553,YES,-145,115
2026-06-15,Uruguay@Saudi Arabia,Saudi Arabia,Uruguay,0.227,0.051,0.722,AWAY,700,340,-225,2.21,0.422,UNDER,115,-135,2.5,0.416,NO,140,-175
2026-06-15,New Zealand@Iran,Iran,New Zealand,0.814,0.061,0.126,HOME,-125,250,400,1.97,0.352,UNDER,145,-175,2.5,0.323,NO,120,-155
2026-06-15,Senegal@France,France,Senegal,0.674,0.149,0.177,HOME,-210,350,600,3.17,0.647,OVER,-110,-110,2.5,0.617,YES,110,-140
2026-06-15,Norway@Iraq,Iraq,Norway,0.354,0.107,0.538,AWAY,1400,600,-525,1.78,0.295,UNDER,-165,140,2.5,0.338,NO,135,-175
2026-06-15,Algeria@Argentina,Argentina,Algeria,0.821,0.057,0.122,HOME,-245,360,800,2.74,0.558,OVER,-102,-115,2.5,0.499,PASS,130,-165
2026-06-15,Jordan@Austria,Austria,Jordan,0.55,0.28,0.17,HOME,-280,425,750,2.75,0.56,OVER,-140,120,2.5,0.555,YES,100,-130
2026-06-15,DR Congo@Portugal,Portugal,DR Congo,0.79,0.073,0.137,HOME,-360,475,1000,2.65,0.536,PASS,-135,115,2.5,0.493,PASS,120,-155
2026-06-15,Croatia@England,England,Croatia,0.611,0.207,0.182,HOME,-140,280,390,3.23,0.657,OVER,115,-140,2.5,0.634,YES,105,-130
2026-06-15,Panama@Ghana,Ghana,Panama,0.622,0.195,0.182,HOME,120,235,240,1.97,0.352,UNDER,130,-155,2.5,0.382,NO,-105,-120
2026-06-15,Colombia@Uzbekistan,Uzbekistan,Colombia,0.218,0.048,0.734,AWAY,850,380,-265,2.09,0.389,UNDER,-102,-115,2.5,0.385,NO,125,-160
2026-06-15,South Africa@Czech Republic,Czech Republic,South Africa,0.587,0.234,0.18,HOME,-130,275,390,2.1,0.39,UNDER,110,-130,2.5,0.416,NO,-105,-120
2026-06-15,Bosnia & Herzegovina@Switzerland,Switzerland,Bosnia & Herzegovina,0.562,0.264,0.174,HOME,-175,320,500,2.78,0.567,OVER,115,-135,2.5,0.56,YES,115,-150
2026-06-15,Qatar@Canada,Canada,Qatar,0.646,0.173,0.181,HOME,-360,475,1000,1.7,0.268,UNDER,-120,105,2.5,0.313,NO,145,-185
2026-06-15,South Korea@Mexico,Mexico,South Korea,0.574,0.248,0.177,HOME,100,235,310,2.86,0.585,OVER,145,-175,2.5,0.575,YES,105,-135
2026-06-15,Australia@USA,USA,Australia,0.617,0.201,0.182,HOME,-165,320,450,2.75,0.56,OVER,100,-120,2.5,0.549,YES,100,-125
2026-06-15,Morocco@Scotland,Scotland,Morocco,0.366,0.114,0.52,AWAY,400,265,-135,2.58,0.52,PASS,130,-155,2.5,0.522,PASS,105,-135
2026-06-15,Haiti@Brazil,Brazil,Haiti,0.917,0.02,0.063,HOME,-1000,1000,2200,2.41,0.476,PASS,-110,-110,3.5,0.338,NO,135,-175
2026-06-15,Paraguay@Turkey,Turkey,Paraguay,0.628,0.19,0.182,HOME,-105,240,320,2.12,0.396,UNDER,120,-140,2.5,0.416,NO,-120,-105
2026-06-15,Sweden@Netherlands,Netherlands,Sweden,0.695,0.132,0.172,HOME,-140,310,380,2.87,0.587,OVER,-110,-110,2.5,0.562,YES,-120,-110
2026-06-15,Ivory Coast@Germany,Germany,Ivory Coast,0.716,0.117,0.167,HOME,-185,360,475,2.88,0.588,OVER,-140,120,2.5,0.558,YES,-130,105
2026-06-15,Curaçao@Ecuador,Ecuador,Curaçao,0.842,0.048,0.11,HOME,-1000,1000,2500,1.92,0.338,UNDER,120,-145,3.5,0.291,NO,220,-295
2026-06-15,Japan@Tunisia,Tunisia,Japan,0.45,0.173,0.377,PASS,600,310,-190,2.59,0.523,PASS,115,-135,2.5,0.528,PASS,115,-150
2026-06-15,Saudi Arabia@Spain,Spain,Saudi Arabia,0.864,0.039,0.097,HOME,-1200,1100,2500,2.47,0.491,PASS,110,-150,3.5,0.412,NO,195,-250
2026-06-15,Iran@Belgium,Belgium,Iran,0.657,0.163,0.18,HOME,-255,390,750,2.88,0.589,OVER,-125,-110,2.5,0.569,YES,115,-145
2026-06-15,Cape Verde@Uruguay,Uruguay,Cape Verde,0.617,0.201,0.182,HOME,-220,350,650,2.91,0.596,OVER,-105,-130,2.5,0.58,YES,115,-145
