2026-06-15,WNBA,LV@DAL,LV,A'ja Wilson,START,ACTIVE,BLK,OVER,,0.8,0,0.8,0.8,2,live_roster_api,,PENDING
2026-06-15,WNBA,LV@DAL,LV,Jewell Loyd,START,ACTIVE,3PM,OVER,1.5,0.9,0,0.9,0.8,1.8,live_roster_api,,PENDING
2026-06-15,WNBA,LV@DAL,LV,Jackie Young,START,ACTIVE,3PM,OVER,1.5,0.8,0,0.8,0.8,1.3,live_roster_api,,PENDING
2026-06-15,WNBA,LV@DAL,LV,Chelsea Gray,START,ACTIVE,3PM,OVER,2.5,0.8,0,0.8,0.8,1.2,live_roster_api,,PENDING
2026-06-15,WNBA,LV@DAL,DAL,Arike Ogunbowale,START,ACTIVE,PTS,OVER,14.5,10.1,8,2.1,2,19.6,live_roster_api,,PENDING
2026-06-15,WNBA,LV@DAL,DAL,Arike Ogunbowale,START,ACTIVE,3PM,OVER,1.5,1.1,0,1.1,0.8,2.4,live_roster_api,,PENDING
2026-06-15,WNBA,LV@DAL,DAL,Arike Ogunbowale,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.5,live_roster_api,,PENDING
2026-06-15,WNBA,LV@DAL,DAL,Azzi Fudd,START,ACTIVE,3PM,OVER,1.5,0.9,0,0.9,0.8,1.8,live_roster_api,,PENDING
2026-06-15,WNBA,POR@MIN,POR,Bridget Carleton,START,ACTIVE,3PM,OVER,2.5,0.8,0,0.8,0.8,1.3,live_roster_api,,PENDING
2026-06-15,WNBA,POR@MIN,MIN,Olivia Miles,START,ACTIVE,3PM,OVER,1.5,0.8,0,0.8,0.8,1.2,live_roster_api,,PENDING
2026-06-15,WNBA,POR@MIN,MIN,Olivia Miles,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.4,live_roster_api,,PENDING
2026-06-15,WNBA,POR@MIN,MIN,Kayla McBride,START,ACTIVE,3PM,OVER,1.5,1,0,1,0.8,1.9,live_roster_api,,PENDING
2026-06-15,WNBA,LA@GS,LA,Nneka Ogwumike,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.5,live_roster_api,,PENDING
2026-06-15,WNBA,LA@GS,LA,Kelsey Plum,START,ACTIVE,3PM,OVER,,1,0,1,0.8,2.1,live_roster_api,,PENDING
2026-06-15,WNBA,LA@GS,LA,Ariel Atkins,START,ACTIVE,3PM,OVER,,0.9,0,0.9,0.8,1.7,live_roster_api,,PENDING
2026-06-15,WNBA,LA@GS,LA,Ariel Atkins,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.5,live_roster_api,,PENDING
2026-06-15,WNBA,LA@GS,GS,Tiffany Hayes,START,ACTIVE,3PM,OVER,,0.8,0,0.8,0.8,1.2,live_roster_api,,PENDING
2026-06-15,WNBA,LA@GS,GS,Janelle Salaun,START,ACTIVE,3PM,OVER,,1,0,1,0.8,2,live_roster_api,,PENDING
2026-06-15,WNBA,LA@GS,GS,Gabby Williams,START,ACTIVE,STL,OVER,,0.8,0,0.8,0.8,1.6,live_roster_api,,PENDING
