name,team,sport,stat,matchup,projection,line,edge,direction,reason,clean_name,augmented_projection,projection_delta,actual
C   Keibert Ruiz,Washington Nationals,mlb,BB,Arizona_Diamondbacks_at_Washington_Nationals,0.1,10.0,-9.9,UNDER,Targeting C   Keibert Ruiz UNDER 10.0 BB. Model projects 0.1 (9.90 edge). Recent trends and opponent weakness support this play.,Keibert Ruiz,0.1,0.0,
DH  José Tena,Washington Nationals,mlb,2B,Arizona_Diamondbacks_at_Washington_Nationals,0.11,10.0,-9.89,UNDER,"Strong +EV opportunity: DH  José Tena is projected for 0.1 2B vs a line of 10.0, giving a UNDER edge of 9.89. Based on recent form, opponent matchup, and game context.",José Tena,0.11,0.0,
CF  Jacob Young,Washington Nationals,mlb,2B,Arizona_Diamondbacks_at_Washington_Nationals,0.11,10.0,-9.89,UNDER,"Strong +EV opportunity: CF  Jacob Young is projected for 0.1 2B vs a line of 10.0, giving a UNDER edge of 9.89. Based on recent form, opponent matchup, and game context.",Jacob Young,0.11,0.0,
RF  James Wood,Washington Nationals,mlb,SB,Arizona_Diamondbacks_at_Washington_Nationals,0.13,10.0,-9.87,UNDER,Targeting RF  James Wood UNDER 10.0 SB. Model projects 0.1 (9.87 edge). Recent trends and opponent weakness support this play.,James Wood,0.13,0.0,
RF  Dylan Crews,Washington Nationals,mlb,HR,Arizona_Diamondbacks_at_Washington_Nationals,0.13,10.0,-9.87,UNDER,Targeting RF  Dylan Crews UNDER 10.0 HR. Model projects 0.1 (9.87 edge). Recent trends and opponent weakness support this play.,Dylan Crews,0.13,0.0,
SS  CJ Abrams,Washington Nationals,mlb,SB,Arizona_Diamondbacks_at_Washington_Nationals,0.14,10.0,-9.86,UNDER,SS  CJ Abrams shows UNDER value at 10.0 SB. TC projection: 0.1 — edge: 9.86. Strong conviction based on usage rate and defensive matchup.,CJ Abrams,0.14,0.0,
1B  Luis García Jr.,Washington Nationals,mlb,2B,Arizona_Diamondbacks_at_Washington_Nationals,0.14,10.0,-9.86,UNDER,"Strong +EV opportunity: 1B  Luis García Jr. is projected for 0.1 2B vs a line of 10.0, giving a UNDER edge of 9.86. Based on recent form, opponent matchup, and game context.",Luis García Jr.,0.14,0.0,
1B  Luis García Jr.,Washington Nationals,mlb,BB,Arizona_Diamondbacks_at_Washington_Nationals,0.14,10.0,-9.86,UNDER,"Strong +EV opportunity: 1B  Luis García Jr. is projected for 0.1 BB vs a line of 10.0, giving a UNDER edge of 9.86. Based on recent form, opponent matchup, and game context.",Luis García Jr.,0.14,0.0,
CF  Jacob Young,Washington Nationals,mlb,BB,Arizona_Diamondbacks_at_Washington_Nationals,0.16,10.0,-9.84,UNDER,CF  Jacob Young shows UNDER value at 10.0 BB. TC projection: 0.2 — edge: 9.84. Strong conviction based on usage rate and defensive matchup.,Jacob Young,0.16,0.0,
SS  CJ Abrams,Washington Nationals,mlb,2B,Arizona_Diamondbacks_at_Washington_Nationals,0.17,10.0,-9.83,UNDER,SS  CJ Abrams shows UNDER value at 10.0 2B. TC projection: 0.2 — edge: 9.83. Strong conviction based on usage rate and defensive matchup.,CJ Abrams,0.17,0.0,
