date,league,matchup,player,team,stat,direction,tc_projection,actual,result
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,betrivers,totals,Over,-114,175.5,2026-06-27T00:06:42.011584+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,betrivers,totals,Under,-127,175.5,2026-06-27T00:06:42.011584+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,bovada,h2h,Chicago Sky,-850,,2026-06-27T00:06:42.011584+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,bovada,h2h,Portland Fire,475,,2026-06-27T00:06:42.011584+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,bovada,spreads,Chicago Sky,-115,-12.0,2026-06-27T00:06:42.011584+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,bovada,spreads,Portland Fire,-115,12.0,2026-06-27T00:06:42.011584+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,bovada,totals,Over,-120,174.5,2026-06-27T00:06:42.011584+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,bovada,totals,Under,-110,174.5,2026-06-27T00:06:42.011584+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,fanduel,h2h,Connecticut Sun,152,,2026-06-27T00:06:42.011584+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,fanduel,h2h,Washington Mystics,-196,,2026-06-27T00:06:42.011584+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,fanduel,totals,Over,-125,148.5,2026-06-27T00:06:42.011584+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,fanduel,totals,Under,-106,148.5,2026-06-27T00:06:42.011584+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,draftkings,h2h,Connecticut Sun,160,,2026-06-27T00:06:42.011584+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,draftkings,h2h,Washington Mystics,-210,,2026-06-27T00:06:42.011584+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,draftkings,totals,Over,-120,148.5,2026-06-27T00:06:42.011584+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,draftkings,totals,Under,-110,148.5,2026-06-27T00:06:42.011584+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,williamhill_us,h2h,Connecticut Sun,145,,2026-06-27T00:06:42.011584+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,williamhill_us,h2h,Washington Mystics,-180,,2026-06-27T00:06:42.011584+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,williamhill_us,spreads,Connecticut Sun,-105,3.5,2026-06-27T00:06:42.011584+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,williamhill_us,spreads,Washington Mystics,-125,-3.5,2026-06-27T00:06:42.011584+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,williamhill_us,totals,Over,-115,150.5,2026-06-27T00:06:42.011584+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,williamhill_us,totals,Under,-115,150.5,2026-06-27T00:06:42.011584+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,bovada,spreads,Connecticut Sun,-115,4.0,2026-06-27T00:06:42.011584+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,bovada,spreads,Washington Mystics,-115,-4.0,2026-06-27T00:06:42.011584+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,fanduel,h2h,Chicago Sky,-620,,2026-06-27T00:04:39.168588+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,fanduel,h2h,Portland Fire,400,,2026-06-27T00:04:39.168588+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,fanduel,spreads,Chicago Sky,-122,-9.5,2026-06-27T00:04:39.168588+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,fanduel,spreads,Portland Fire,-108,9.5,2026-06-27T00:04:39.168588+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,fanduel,totals,Over,102,175.5,2026-06-27T00:04:39.168588+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,fanduel,totals,Under,-136,175.5,2026-06-27T00:04:39.168588+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,fanatics,h2h,Chicago Sky,-600,,2026-06-27T00:04:39.168588+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,fanatics,h2h,Portland Fire,390,,2026-06-27T00:04:39.168588+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,fanatics,spreads,Chicago Sky,-115,-10.5,2026-06-27T00:04:39.168588+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,fanatics,spreads,Portland Fire,-115,10.5,2026-06-27T00:04:39.168588+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,fanatics,totals,Over,-110,174.5,2026-06-27T00:04:39.168588+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,fanatics,totals,Under,-120,174.5,2026-06-27T00:04:39.168588+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,draftkings,h2h,Chicago Sky,-660,,2026-06-27T00:04:39.168588+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,draftkings,h2h,Portland Fire,420,,2026-06-27T00:04:39.168588+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,draftkings,spreads,Chicago Sky,-105,-10.5,2026-06-27T00:04:39.168588+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,draftkings,spreads,Portland Fire,-125,10.5,2026-06-27T00:04:39.168588+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,betmgm,h2h,Chicago Sky,-625,,2026-06-27T00:04:39.168588+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,betmgm,h2h,Portland Fire,400,,2026-06-27T00:04:39.168588+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,betmgm,spreads,Chicago Sky,-120,-10.5,2026-06-27T00:04:39.168588+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,betmgm,spreads,Portland Fire,-105,10.5,2026-06-27T00:04:39.168588+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,betmgm,totals,Over,-118,172.5,2026-06-27T00:04:39.168588+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,betmgm,totals,Under,-110,172.5,2026-06-27T00:04:39.168588+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,betrivers,h2h,Chicago Sky,-670,,2026-06-27T00:04:39.168588+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,betrivers,h2h,Portland Fire,350,,2026-06-27T00:04:39.168588+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,betrivers,spreads,Chicago Sky,-129,-9.5,2026-06-27T00:04:39.168588+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,betrivers,spreads,Portland Fire,-113,9.5,2026-06-27T00:04:39.168588+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,betrivers,totals,Over,-122,173.5,2026-06-27T00:04:39.168588+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,betrivers,totals,Under,-120,173.5,2026-06-27T00:04:39.168588+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,bovada,h2h,Chicago Sky,-725,,2026-06-27T00:04:39.168588+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,bovada,h2h,Portland Fire,430,,2026-06-27T00:04:39.168588+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,bovada,spreads,Chicago Sky,-115,-11.5,2026-06-27T00:04:39.168588+00:00
1456eb2d3d5295f1aebe9883f2b15604,basketball_wnba,Chicago Sky,Portland Fire,2026-06-26T23:33:08+00:00,bovada,spreads,Portland Fire,-115,11.5,2026-06-27T00:04:39.168588+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,fanduel,h2h,Connecticut Sun,154,,2026-06-27T00:04:39.168588+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,fanduel,h2h,Washington Mystics,-200,,2026-06-27T00:04:39.168588+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,fanduel,spreads,Connecticut Sun,-118,4.5,2026-06-27T00:04:39.168588+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,fanduel,spreads,Washington Mystics,-112,-4.5,2026-06-27T00:04:39.168588+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,fanduel,totals,Over,-108,150.5,2026-06-27T00:04:39.168588+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,fanduel,totals,Under,-122,150.5,2026-06-27T00:04:39.168588+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,draftkings,h2h,Connecticut Sun,170,,2026-06-27T00:04:39.168588+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,draftkings,h2h,Washington Mystics,-220,,2026-06-27T00:04:39.168588+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,draftkings,spreads,Connecticut Sun,-115,4.5,2026-06-27T00:04:39.168588+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,draftkings,spreads,Washington Mystics,-115,-4.5,2026-06-27T00:04:39.168588+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,draftkings,totals,Over,-115,150.5,2026-06-27T00:04:39.168588+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,draftkings,totals,Under,-115,150.5,2026-06-27T00:04:39.168588+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,betmgm,h2h,Connecticut Sun,150,,2026-06-27T00:04:39.168588+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,betmgm,h2h,Washington Mystics,-200,,2026-06-27T00:04:39.168588+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,betmgm,spreads,Connecticut Sun,-120,4.5,2026-06-27T00:04:39.168588+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,betmgm,spreads,Washington Mystics,-105,-4.5,2026-06-27T00:04:39.168588+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,betmgm,totals,Over,1350,177.5,2026-06-27T00:04:39.168588+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,betmgm,totals,Under,-10000,177.5,2026-06-27T00:04:39.168588+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,bovada,h2h,Connecticut Sun,150,,2026-06-27T00:04:39.168588+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,bovada,h2h,Washington Mystics,-200,,2026-06-27T00:04:39.168588+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,bovada,spreads,Connecticut Sun,-110,4.0,2026-06-27T00:04:39.168588+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,bovada,spreads,Washington Mystics,-120,-4.0,2026-06-27T00:04:39.168588+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,bovada,totals,Over,-115,148.5,2026-06-27T00:04:39.168588+00:00
72f392cc087c7a061b9939d13bd6ec6e,basketball_wnba,Connecticut Sun,Washington Mystics,2026-06-26T23:35:22+00:00,bovada,totals,Under,-115,148.5,2026-06-27T00:04:39.168588+00:00
2aa029b6f16580a4239f7e91f62f69fa,basketball_wnba,Golden State Valkyries,Atlanta Dream,2026-06-27T02:10:00+00:00,draftkings,player_double_double,Naz Hillmon Yes,1480,,2026-06-27T00:03:25.130985+00:00
2aa029b6f16580a4239f7e91f62f69fa,basketball_wnba,Golden State Valkyries,Atlanta Dream,2026-06-27T02:10:00+00:00,williamhill_us,player_double_double,Veronica Burton Yes,1100,,2026-06-27T00:03:25.130985+00:00
2aa029b6f16580a4239f7e91f62f69fa,basketball_wnba,Golden State Valkyries,Atlanta Dream,2026-06-27T02:10:00+00:00,williamhill_us,player_double_double,Naz Hillmon Yes,1500,,2026-06-27T00:03:25.130985+00:00
2aa029b6f16580a4239f7e91f62f69fa,basketball_wnba,Golden State Valkyries,Atlanta Dream,2026-06-27T02:10:00+00:00,williamhill_us,player_double_double,Rhyne Howard Yes,1900,,2026-06-27T00:03:25.130985+00:00
2aa029b6f16580a4239f7e91f62f69fa,basketball_wnba,Golden State Valkyries,Atlanta Dream,2026-06-27T02:10:00+00:00,williamhill_us,player_points,Jordin Canada Over,-127,10.5,2026-06-27T00:03:25.130985+00:00
2aa029b6f16580a4239f7e91f62f69fa,basketball_wnba,Golden State Valkyries,Atlanta Dream,2026-06-27T02:10:00+00:00,williamhill_us,player_points,Jordin Canada Under,-108,10.5,2026-06-27T00:03:25.130985+00:00
2aa029b6f16580a4239f7e91f62f69fa,basketball_wnba,Golden State Valkyries,Atlanta Dream,2026-06-27T02:10:00+00:00,betrivers,player_points,Cecilia Zandalasini Over,-130,8.5,2026-06-27T00:03:25.130985+00:00
2aa029b6f16580a4239f7e91f62f69fa,basketball_wnba,Golden State Valkyries,Atlanta Dream,2026-06-27T02:10:00+00:00,betrivers,player_points,Angel Reese Over,123,14.5,2026-06-27T00:03:25.130985+00:00
2aa029b6f16580a4239f7e91f62f69fa,basketball_wnba,Golden State Valkyries,Atlanta Dream,2026-06-27T02:10:00+00:00,betrivers,player_points,Cecilia Zandalasini Over,106,9.5,2026-06-27T00:03:25.130985+00:00
2aa029b6f16580a4239f7e91f62f69fa,basketball_wnba,Golden State Valkyries,Atlanta Dream,2026-06-27T02:10:00+00:00,betrivers,player_points,Rhyne Howard Over,115,19.5,2026-06-27T00:03:25.130985+00:00
2aa029b6f16580a4239f7e91f62f69fa,basketball_wnba,Golden State Valkyries,Atlanta Dream,2026-06-27T02:10:00+00:00,betrivers,player_points,Jordin Canada Over,-137,10.5,2026-06-27T00:03:25.130985+00:00
2aa029b6f16580a4239f7e91f62f69fa,basketball_wnba,Golden State Valkyries,Atlanta Dream,2026-06-27T02:10:00+00:00,betrivers,player_points,Naz Hillmon Over,102,8.5,2026-06-27T00:03:25.130985+00:00
2aa029b6f16580a4239f7e91f62f69fa,basketball_wnba,Golden State Valkyries,Atlanta Dream,2026-06-27T02:10:00+00:00,betrivers,player_points,Rhyne Howard Over,-143,17.5,2026-06-27T00:03:25.130985+00:00
2aa029b6f16580a4239f7e91f62f69fa,basketball_wnba,Golden State Valkyries,Atlanta Dream,2026-06-27T02:10:00+00:00,betrivers,player_points,Angel Reese Over,-150,12.5,2026-06-27T00:03:25.130985+00:00
