espn_event_id,date,match,player_id,player_name,jersey,position,starter,team,home_away,totalGoals,goalAssists,totalShots,shotsOnTarget,foulsCommitted,foulsSuffered,yellowCards,redCards,ownGoals,saves,shotsFaced,appearances,subIns
760415,2026-06-11,RSA@MEX,290899,Raúl Rangel,1,G,True,MEX,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0
760415,2026-06-11,RSA@MEX,259975,Johan Vásquez,5,CD-L,True,MEX,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0
760415,2026-06-11,RSA@MEX,224323,César Montes,3,CD-R,True,MEX,home,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0,0.0,1.0,0.0
760415,2026-06-11,RSA@MEX,276942,Érik Lira,6,DM,True,MEX,home,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,1.0,0.0
760415,2026-06-11,RSA@MEX,132098,Jesús Gallardo,23,LB,True,MEX,home,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0
760415,2026-06-11,RSA@MEX,290414,Israel Reyes,15,RB,True,MEX,home,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0
760415,2026-06-11,RSA@MEX,283827,Álvaro Fidalgo,8,CM-L,True,MEX,home,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,1.0,0.0
760415,2026-06-11,RSA@MEX,303577,Brian Gutiérrez,26,CM-R,True,MEX,home,0.0,0.0,4.0,0.0,2.0,1.0,1.0,0.0,0.0,0,0.0,1.0,0.0
760415,2026-06-11,RSA@MEX,233075,Julián Quiñones,16,LM,True,MEX,home,1.0,0.0,5.0,2.0,1.0,2.0,0.0,0.0,0.0,0,0.0,1.0,0.0
760415,2026-06-11,RSA@MEX,194308,Roberto Alvarado,25,RM,True,MEX,home,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0,0.0,1.0,0.0
760415,2026-06-11,RSA@MEX,167060,Raúl Jiménez,9,F,True,MEX,home,1.0,0.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0
760415,2026-06-11,RSA@MEX,242614,Luis Romo,7,SUB,False,MEX,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
760415,2026-06-11,RSA@MEX,265969,César Huerta,21,SUB,False,MEX,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
760415,2026-06-11,RSA@MEX,137038,Guillermo Ochoa,13,SUB,False,MEX,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
760415,2026-06-11,RSA@MEX,236368,Carlos Acevedo,12,SUB,False,MEX,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
760415,2026-06-11,RSA@MEX,104497,Luis Chávez,24,SUB,False,MEX,home,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0
760415,2026-06-11,RSA@MEX,379193,Mateo Chávez,20,SUB,False,MEX,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
760415,2026-06-11,RSA@MEX,260775,Santiago Gimenez,11,SUB,False,MEX,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
760415,2026-06-11,RSA@MEX,318554,Obed Vargas,18,SUB,False,MEX,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
760415,2026-06-11,RSA@MEX,229487,Alexis Vega,10,SUB,False,MEX,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0
760415,2026-06-11,RSA@MEX,193566,Guillermo Martínez,22,SUB,False,MEX,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
760415,2026-06-11,RSA@MEX,376110,Armando González,14,SUB,False,MEX,home,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0
760415,2026-06-11,RSA@MEX,389575,Gilberto Mora,19,SUB,False,MEX,home,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1.0,1.0
760415,2026-06-11,RSA@MEX,241627,Edson Álvarez,4,SUB,False,MEX,home,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1.0,1.0
760415,2026-06-11,RSA@MEX,178746,Jorge Sánchez,2,SUB,False,MEX,home,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
