espn_event_id,date,home_abbr,home_name,home_score,away_abbr,away_name,away_score,status,venue
760438,2026-06-18,CZE,Czechia,1,RSA,South Africa,1,STATUS_FULL_TIME,Mercedes-Benz Stadium
760446,2026-06-21,ECU,Ecuador,0,CUW,Curaçao,0,STATUS_FULL_TIME,GEHA Field at Arrowhead Stadium
760449,2026-06-21,TUN,Tunisia,0,JPN,Japan,4,STATUS_FULL_TIME,Estadio BBVA
760453,2026-06-21,ESP,Spain,4,KSA,Saudi Arabia,0,STATUS_FULL_TIME,Mercedes-Benz Stadium
760451,2026-06-21,BEL,Belgium,0,IRN,Iran,0,STATUS_FULL_TIME,SoFi Stadium
760450,2026-06-21,URU,Uruguay,2,CPV,Cape Verde,2,STATUS_FULL_TIME,Hard Rock Stadium
760452,2026-06-22,NZL,New Zealand,1,EGY,Egypt,3,STATUS_FULL_TIME,BC Place
760456,2026-06-22,ARG,Argentina,2,AUT,Austria,0,STATUS_FULL_TIME,AT&T Stadium
760457,2026-06-22,FRA,France,3,IRQ,Iraq,0,STATUS_FULL_TIME,Lincoln Financial Field
760454,2026-06-23,NOR,Norway,3,SEN,Senegal,2,STATUS_FULL_TIME,MetLife Stadium
760455,2026-06-23,JOR,Jordan,1,ALG,Algeria,2,STATUS_FULL_TIME,Levi's Stadium
760461,2026-06-23,POR,Portugal,5,UZB,Uzbekistan,0,STATUS_FULL_TIME,NRG Stadium
760458,2026-06-23,ENG,England,0,GHA,Ghana,0,STATUS_FULL_TIME,Gillette Stadium
760460,2026-06-23,PAN,Panama,0,CRO,Croatia,1,STATUS_FULL_TIME,BMO Field
760459,2026-06-24,COL,Colombia,1,COD,Congo DR,0,STATUS_FULL_TIME,Estadio Akron
760462,2026-06-24,BIH,Bosnia-Herzegovina,3,QAT,Qatar,1,STATUS_FULL_TIME,Lumen Field
760463,2026-06-24,SUI,Switzerland,2,CAN,Canada,1,STATUS_FULL_TIME,BC Place
760464,2026-06-24,MAR,Morocco,4,HAI,Haiti,2,STATUS_FULL_TIME,Mercedes-Benz Stadium
760465,2026-06-24,SCO,Scotland,0,BRA,Brazil,3,STATUS_FULL_TIME,Hard Rock Stadium
760467,2026-06-25,CZE,Czechia,0,MEX,Mexico,3,STATUS_FULL_TIME,Estadio Banorte
760466,2026-06-25,RSA,South Africa,1,KOR,South Korea,0,STATUS_FULL_TIME,Estadio BBVA
760473,2026-06-25,CUW,Curaçao,0,CIV,Ivory Coast,2,STATUS_FULL_TIME,Lincoln Financial Field
760468,2026-06-25,ECU,Ecuador,2,GER,Germany,1,STATUS_FULL_TIME,MetLife Stadium
760471,2026-06-25,JPN,Japan,1,SWE,Sweden,1,STATUS_FULL_TIME,AT&T Stadium
760472,2026-06-25,TUN,Tunisia,1,NED,Netherlands,3,STATUS_FULL_TIME,GEHA Field at Arrowhead Stadium
760469,2026-06-26,PAR,Paraguay,0,AUS,Australia,0,STATUS_FULL_TIME,Levi's Stadium
760470,2026-06-26,TUR,Türkiye,3,USA,United States,2,STATUS_FULL_TIME,SoFi Stadium
760475,2026-06-26,NOR,Norway,1,FRA,France,4,STATUS_FULL_TIME,Gillette Stadium
760474,2026-06-26,SEN,Senegal,5,IRQ,Iraq,0,STATUS_FULL_TIME,BMO Field
760478,2026-06-27,CPV,Cape Verde,0,KSA,Saudi Arabia,0,STATUS_FULL_TIME,NRG Stadium
760479,2026-06-27,URU,Uruguay,0,ESP,Spain,1,STATUS_FULL_TIME,Estadio Akron
760476,2026-06-27,EGY,Egypt,1,IRN,Iran,1,STATUS_FULL_TIME,Lumen Field
760477,2026-06-27,NZL,New Zealand,1,BEL,Belgium,5,STATUS_FULL_TIME,BC Place
