name,team,sport,stat,matchup,projection,line,edge,direction,reason
Caitlin Clark,IND,wnba,PTS,SPO_at_COOP,19.8,19.4,0.6,OVER,Caitlin Clark shows OVER value at 19.4 PTS. TC projection: 19.8 — edge: 0.40. Marginal conviction based on usage rate and defensive matchup. [WT:1.5]
Caitlin Clark,IND,wnba,PRA,SPO_at_COOP,29.9,29.3,0.6,OVER,Targeting Caitlin Clark OVER 29.3 PRA. Model projects 29.9 (0.60 edge). Recent trends and opponent weakness support this play. [WT:1.0]
Caitlin Clark,IND,wnba,PR,SPO_at_COOP,22.9,23.36,0.46,UNDER,"Marginal +EV opportunity: Caitlin Clark is projected for 22.9 PR vs a line of 23.4, giving a UNDER edge of 0.46. Based on recent form, opponent matchup, and game context. [WT:1.0]"
Caitlin Clark,IND,wnba,PA,SPO_at_COOP,26.8,27.34,0.54,UNDER,Caitlin Clark shows UNDER value at 27.3 PA. TC projection: 26.8 — edge: 0.54. Marginal conviction based on usage rate and defensive matchup. [WT:1.0]
A'ja Wilson,LV,wnba,PTS,SPO_at_COOP,26.8,26.26,0.81,OVER,Targeting A'ja Wilson OVER 26.3 PTS. Model projects 26.8 (0.54 edge). Recent trends and opponent weakness support this play. [WT:1.5]
A'ja Wilson,LV,wnba,PRA,SPO_at_COOP,39.5,40.29,0.79,UNDER,A'ja Wilson shows UNDER value at 40.3 PRA. TC projection: 39.5 — edge: 0.79. Marginal conviction based on usage rate and defensive matchup. [WT:1.0]
A'ja Wilson,LV,wnba,PR,SPO_at_COOP,36.3,35.57,0.73,OVER,A'ja Wilson shows OVER value at 35.6 PR. TC projection: 36.3 — edge: 0.73. Marginal conviction based on usage rate and defensive matchup. [WT:1.0]
A'ja Wilson,LV,wnba,PA,SPO_at_COOP,30.1,30.7,0.6,UNDER,A'ja Wilson shows UNDER value at 30.7 PA. TC projection: 30.1 — edge: 0.60. Marginal conviction based on usage rate and defensive matchup. [WT:1.0]
Olivia Miles,MIN,wnba,PTS,SPO_at_COOP,18.1,17.74,0.54,OVER,"Marginal +EV opportunity: Olivia Miles is projected for 18.1 PTS vs a line of 17.7, giving a OVER edge of 0.36. Based on recent form, opponent matchup, and game context. [WT:1.5]"
Olivia Miles,MIN,wnba,PRA,SPO_at_COOP,27.1,26.56,0.54,OVER,Olivia Miles shows OVER value at 26.6 PRA. TC projection: 27.1 — edge: 0.54. Marginal conviction based on usage rate and defensive matchup. [WT:1.0]
Olivia Miles,MIN,wnba,PR,SPO_at_COOP,22.1,21.66,0.44,OVER,"Marginal +EV opportunity: Olivia Miles is projected for 22.1 PR vs a line of 21.7, giving a OVER edge of 0.44. Based on recent form, opponent matchup, and game context. [WT:1.0]"
Olivia Miles,MIN,wnba,PA,SPO_at_COOP,23.1,23.56,0.46,UNDER,Olivia Miles shows UNDER value at 23.6 PA. TC projection: 23.1 — edge: 0.46. Marginal conviction based on usage rate and defensive matchup. [WT:1.0]
Aliyah Boston,IND,wnba,PTS,SPO_at_COOP,19.9,19.5,0.6,OVER,"Marginal +EV opportunity: Aliyah Boston is projected for 19.9 PTS vs a line of 19.5, giving a OVER edge of 0.40. Based on recent form, opponent matchup, and game context. [WT:1.5]"
Aliyah Boston,IND,wnba,PRA,SPO_at_COOP,32.9,32.24,0.66,OVER,Targeting Aliyah Boston OVER 32.2 PRA. Model projects 32.9 (0.66 edge). Recent trends and opponent weakness support this play. [WT:1.0]
Aliyah Boston,IND,wnba,PR,SPO_at_COOP,29.4,29.99,0.59,UNDER,Aliyah Boston shows UNDER value at 30.0 PR. TC projection: 29.4 — edge: 0.59. Marginal conviction based on usage rate and defensive matchup. [WT:1.0]
Aliyah Boston,IND,wnba,PA,SPO_at_COOP,23.4,22.93,0.47,OVER,Targeting Aliyah Boston OVER 22.9 PA. Model projects 23.4 (0.47 edge). Recent trends and opponent weakness support this play. [WT:1.0]
Jessica Shepard,DAL,wnba,PTS,SPO_at_COOP,15.5,15.81,0.47,UNDER,"Marginal +EV opportunity: Jessica Shepard is projected for 15.5 PTS vs a line of 15.8, giving a UNDER edge of 0.31. Based on recent form, opponent matchup, and game context. [WT:1.5]"
Jessica Shepard,DAL,wnba,PRA,SPO_at_COOP,32.6,31.95,0.65,OVER,"Marginal +EV opportunity: Jessica Shepard is projected for 32.6 PRA vs a line of 31.9, giving a OVER edge of 0.65. Based on recent form, opponent matchup, and game context. [WT:1.0]"
Jessica Shepard,DAL,wnba,PR,SPO_at_COOP,27.2,26.66,0.54,OVER,Jessica Shepard shows OVER value at 26.7 PR. TC projection: 27.2 — edge: 0.54. Marginal conviction based on usage rate and defensive matchup. [WT:1.0]
