name,team,sport,stat,matchup,projection,line,edge,direction,reason
Breanna Stewart,NY,wnba,PTS,NY@IND,20.4,0.0,20.4,OVER,Targeting Breanna Stewart OVER 0.0 PTS. Model projects 20.4 (20.40 edge). Recent trends and opponent weakness support this play.
Breanna Stewart,NY,wnba,REB,NY@IND,8.4,0.0,8.4,OVER,Breanna Stewart shows OVER value at 0.0 REB. TC projection: 8.4 — edge: 8.40. Strong conviction based on usage rate and defensive matchup.
Breanna Stewart,NY,wnba,AST,NY@IND,2.7,0.0,2.7,OVER,"Strong +EV opportunity: Breanna Stewart is projected for 2.7 AST vs a line of 0.0, giving a OVER edge of 2.70. Based on recent form, opponent matchup, and game context."
Breanna Stewart,NY,wnba,PRA,NY@IND,31.5,0.0,31.5,OVER,Targeting Breanna Stewart OVER 0.0 PRA. Model projects 31.5 (31.50 edge). Recent trends and opponent weakness support this play.
Breanna Stewart,NY,wnba,PR,NY@IND,28.8,0.0,28.8,OVER,Targeting Breanna Stewart OVER 0.0 PR. Model projects 28.8 (28.80 edge). Recent trends and opponent weakness support this play.
Breanna Stewart,NY,wnba,PA,NY@IND,23.1,0.0,23.1,OVER,Breanna Stewart shows OVER value at 0.0 PA. TC projection: 23.1 — edge: 23.10. Strong conviction based on usage rate and defensive matchup.
Breanna Stewart,NY,wnba,RA,NY@IND,11.1,0.0,11.1,OVER,Breanna Stewart shows OVER value at 0.0 RA. TC projection: 11.1 — edge: 11.10. Strong conviction based on usage rate and defensive matchup.
Jonquel Jones,NY,wnba,PTS,NY@IND,15.0,0.0,15.0,OVER,Jonquel Jones shows OVER value at 0.0 PTS. TC projection: 15.0 — edge: 15.00. Strong conviction based on usage rate and defensive matchup.
Jonquel Jones,NY,wnba,REB,NY@IND,9.3,0.0,9.3,OVER,"Strong +EV opportunity: Jonquel Jones is projected for 9.3 REB vs a line of 0.0, giving a OVER edge of 9.30. Based on recent form, opponent matchup, and game context."
Jonquel Jones,NY,wnba,AST,NY@IND,2.6,0.0,2.6,OVER,Targeting Jonquel Jones OVER 0.0 AST. Model projects 2.6 (2.60 edge). Recent trends and opponent weakness support this play.
Jonquel Jones,NY,wnba,PRA,NY@IND,26.8,0.0,26.8,OVER,"Strong +EV opportunity: Jonquel Jones is projected for 26.8 PRA vs a line of 0.0, giving a OVER edge of 26.80. Based on recent form, opponent matchup, and game context."
Jonquel Jones,NY,wnba,PR,NY@IND,24.3,0.0,24.3,OVER,Jonquel Jones shows OVER value at 0.0 PR. TC projection: 24.3 — edge: 24.30. Strong conviction based on usage rate and defensive matchup.
Jonquel Jones,NY,wnba,PA,NY@IND,17.5,0.0,17.5,OVER,Targeting Jonquel Jones OVER 0.0 PA. Model projects 17.5 (17.50 edge). Recent trends and opponent weakness support this play.
Jonquel Jones,NY,wnba,RA,NY@IND,11.9,0.0,11.9,OVER,Targeting Jonquel Jones OVER 0.0 RA. Model projects 11.9 (11.90 edge). Recent trends and opponent weakness support this play.
Sabrina Ionescu,NY,wnba,PTS,NY@IND,13.3,0.0,13.3,OVER,Targeting Sabrina Ionescu OVER 0.0 PTS. Model projects 13.3 (13.30 edge). Recent trends and opponent weakness support this play.
Sabrina Ionescu,NY,wnba,REB,NY@IND,3.9,0.0,3.9,OVER,Sabrina Ionescu shows OVER value at 0.0 REB. TC projection: 3.9 — edge: 3.90. Strong conviction based on usage rate and defensive matchup.
Sabrina Ionescu,NY,wnba,AST,NY@IND,4.2,0.0,4.2,OVER,"Strong +EV opportunity: Sabrina Ionescu is projected for 4.2 AST vs a line of 0.0, giving a OVER edge of 4.20. Based on recent form, opponent matchup, and game context."
Sabrina Ionescu,NY,wnba,PRA,NY@IND,21.5,0.0,21.5,OVER,Targeting Sabrina Ionescu OVER 0.0 PRA. Model projects 21.5 (21.50 edge). Recent trends and opponent weakness support this play.
Sabrina Ionescu,NY,wnba,PR,NY@IND,17.2,0.0,17.2,OVER,"Strong +EV opportunity: Sabrina Ionescu is projected for 17.2 PR vs a line of 0.0, giving a OVER edge of 17.20. Based on recent form, opponent matchup, and game context."
Sabrina Ionescu,NY,wnba,PA,NY@IND,17.6,0.0,17.6,OVER,Sabrina Ionescu shows OVER value at 0.0 PA. TC projection: 17.6 — edge: 17.60. Strong conviction based on usage rate and defensive matchup.
Sabrina Ionescu,NY,wnba,RA,NY@IND,8.2,0.0,8.2,OVER,"Strong +EV opportunity: Sabrina Ionescu is projected for 8.2 RA vs a line of 0.0, giving a OVER edge of 8.20. Based on recent form, opponent matchup, and game context."
Pauline Astier,NY,wnba,PTS,NY@IND,9.9,0.0,9.9,OVER,Targeting Pauline Astier OVER 0.0 PTS. Model projects 9.9 (9.90 edge). Recent trends and opponent weakness support this play.
Pauline Astier,NY,wnba,REB,NY@IND,2.8,0.0,2.8,OVER,Pauline Astier shows OVER value at 0.0 REB. TC projection: 2.8 — edge: 2.80. Strong conviction based on usage rate and defensive matchup.
Pauline Astier,NY,wnba,AST,NY@IND,3.6,0.0,3.6,OVER,"Strong +EV opportunity: Pauline Astier is projected for 3.6 AST vs a line of 0.0, giving a OVER edge of 3.60. Based on recent form, opponent matchup, and game context."
Pauline Astier,NY,wnba,PRA,NY@IND,16.3,0.0,16.3,OVER,Targeting Pauline Astier OVER 0.0 PRA. Model projects 16.3 (16.30 edge). Recent trends and opponent weakness support this play.
Pauline Astier,NY,wnba,PR,NY@IND,12.7,0.0,12.7,OVER,Targeting Pauline Astier OVER 0.0 PR. Model projects 12.7 (12.70 edge). Recent trends and opponent weakness support this play.
Pauline Astier,NY,wnba,PA,NY@IND,13.5,0.0,13.5,OVER,Targeting Pauline Astier OVER 0.0 PA. Model projects 13.5 (13.50 edge). Recent trends and opponent weakness support this play.
Pauline Astier,NY,wnba,RA,NY@IND,6.5,0.0,6.5,OVER,"Strong +EV opportunity: Pauline Astier is projected for 6.5 RA vs a line of 0.0, giving a OVER edge of 6.50. Based on recent form, opponent matchup, and game context."
Satou Sabally,NY,wnba,PTS,NY@IND,10.4,0.0,10.4,OVER,"Strong +EV opportunity: Satou Sabally is projected for 10.4 PTS vs a line of 0.0, giving a OVER edge of 10.40. Based on recent form, opponent matchup, and game context."
Satou Sabally,NY,wnba,REB,NY@IND,2.8,0.0,2.8,OVER,Targeting Satou Sabally OVER 0.0 REB. Model projects 2.8 (2.80 edge). Recent trends and opponent weakness support this play.
Satou Sabally,NY,wnba,AST,NY@IND,1.9,0.0,1.9,OVER,Targeting Satou Sabally OVER 0.0 AST. Model projects 1.9 (1.90 edge). Recent trends and opponent weakness support this play.
Satou Sabally,NY,wnba,PRA,NY@IND,15.1,0.0,15.1,OVER,Targeting Satou Sabally OVER 0.0 PRA. Model projects 15.1 (15.10 edge). Recent trends and opponent weakness support this play.
Satou Sabally,NY,wnba,PR,NY@IND,13.2,0.0,13.2,OVER,Satou Sabally shows OVER value at 0.0 PR. TC projection: 13.2 — edge: 13.20. Strong conviction based on usage rate and defensive matchup.
Satou Sabally,NY,wnba,PA,NY@IND,12.3,0.0,12.3,OVER,Satou Sabally shows OVER value at 0.0 PA. TC projection: 12.3 — edge: 12.30. Strong conviction based on usage rate and defensive matchup.
Satou Sabally,NY,wnba,RA,NY@IND,4.7,0.0,4.7,OVER,"Strong +EV opportunity: Satou Sabally is projected for 4.7 RA vs a line of 0.0, giving a OVER edge of 4.70. Based on recent form, opponent matchup, and game context."
Marine Johannes,NY,wnba,PTS,NY@IND,9.2,0.0,9.2,OVER,Targeting Marine Johannes OVER 0.0 PTS. Model projects 9.2 (9.20 edge). Recent trends and opponent weakness support this play.
Marine Johannes,NY,wnba,REB,NY@IND,2.6,0.0,2.6,OVER,Marine Johannes shows OVER value at 0.0 REB. TC projection: 2.6 — edge: 2.60. Strong conviction based on usage rate and defensive matchup.
Marine Johannes,NY,wnba,AST,NY@IND,2.8,0.0,2.8,OVER,"Strong +EV opportunity: Marine Johannes is projected for 2.8 AST vs a line of 0.0, giving a OVER edge of 2.80. Based on recent form, opponent matchup, and game context."
Marine Johannes,NY,wnba,PRA,NY@IND,14.7,0.0,14.7,OVER,"Strong +EV opportunity: Marine Johannes is projected for 14.7 PRA vs a line of 0.0, giving a OVER edge of 14.70. Based on recent form, opponent matchup, and game context."
Marine Johannes,NY,wnba,PR,NY@IND,11.9,0.0,11.9,OVER,Targeting Marine Johannes OVER 0.0 PR. Model projects 11.9 (11.90 edge). Recent trends and opponent weakness support this play.
Marine Johannes,NY,wnba,PA,NY@IND,12.1,0.0,12.1,OVER,Marine Johannes shows OVER value at 0.0 PA. TC projection: 12.1 — edge: 12.10. Strong conviction based on usage rate and defensive matchup.
Marine Johannes,NY,wnba,RA,NY@IND,5.5,0.0,5.5,OVER,Targeting Marine Johannes OVER 0.0 RA. Model projects 5.5 (5.50 edge). Recent trends and opponent weakness support this play.
Leonie Fiebich,NY,wnba,PTS,NY@IND,10.0,0.0,10.0,OVER,Targeting Leonie Fiebich OVER 0.0 PTS. Model projects 10.0 (10.00 edge). Recent trends and opponent weakness support this play.
Leonie Fiebich,NY,wnba,REB,NY@IND,2.6,0.0,2.6,OVER,"Strong +EV opportunity: Leonie Fiebich is projected for 2.6 REB vs a line of 0.0, giving a OVER edge of 2.60. Based on recent form, opponent matchup, and game context."
Leonie Fiebich,NY,wnba,AST,NY@IND,1.9,0.0,1.9,OVER,"Moderate +EV opportunity: Leonie Fiebich is projected for 1.9 AST vs a line of 0.0, giving a OVER edge of 1.90. Based on recent form, opponent matchup, and game context."
Leonie Fiebich,NY,wnba,PRA,NY@IND,14.4,0.0,14.4,OVER,Leonie Fiebich shows OVER value at 0.0 PRA. TC projection: 14.4 — edge: 14.40. Strong conviction based on usage rate and defensive matchup.
Leonie Fiebich,NY,wnba,PR,NY@IND,12.6,0.0,12.6,OVER,Leonie Fiebich shows OVER value at 0.0 PR. TC projection: 12.6 — edge: 12.60. Strong conviction based on usage rate and defensive matchup.
Leonie Fiebich,NY,wnba,PA,NY@IND,11.9,0.0,11.9,OVER,Leonie Fiebich shows OVER value at 0.0 PA. TC projection: 11.9 — edge: 11.90. Strong conviction based on usage rate and defensive matchup.
Leonie Fiebich,NY,wnba,RA,NY@IND,4.4,0.0,4.4,OVER,"Strong +EV opportunity: Leonie Fiebich is projected for 4.4 RA vs a line of 0.0, giving a OVER edge of 4.40. Based on recent form, opponent matchup, and game context."
Han Xu,NY,wnba,PTS,NY@IND,5.4,0.0,5.4,OVER,Targeting Han Xu OVER 0.0 PTS. Model projects 5.4 (5.40 edge). Recent trends and opponent weakness support this play.
Han Xu,NY,wnba,REB,NY@IND,2.0,0.0,2.0,OVER,Targeting Han Xu OVER 0.0 REB. Model projects 2.0 (2.00 edge). Recent trends and opponent weakness support this play.
Han Xu,NY,wnba,AST,NY@IND,0.8,0.0,0.8,OVER,Han Xu shows OVER value at 0.0 AST. TC projection: 0.8 — edge: 0.80. Marginal conviction based on usage rate and defensive matchup.
Han Xu,NY,wnba,PRA,NY@IND,8.2,0.0,8.2,OVER,Targeting Han Xu OVER 0.0 PRA. Model projects 8.2 (8.20 edge). Recent trends and opponent weakness support this play.
Han Xu,NY,wnba,PR,NY@IND,7.4,0.0,7.4,OVER,Targeting Han Xu OVER 0.0 PR. Model projects 7.4 (7.40 edge). Recent trends and opponent weakness support this play.
Han Xu,NY,wnba,PA,NY@IND,6.2,0.0,6.2,OVER,Han Xu shows OVER value at 0.0 PA. TC projection: 6.2 — edge: 6.20. Strong conviction based on usage rate and defensive matchup.
Han Xu,NY,wnba,RA,NY@IND,2.8,0.0,2.8,OVER,"Strong +EV opportunity: Han Xu is projected for 2.8 RA vs a line of 0.0, giving a OVER edge of 2.80. Based on recent form, opponent matchup, and game context."
Betnijah Laney-Hamilton,NY,wnba,PTS,NY@IND,4.7,0.0,4.7,OVER,Targeting Betnijah Laney-Hamilton OVER 0.0 PTS. Model projects 4.7 (4.70 edge). Recent trends and opponent weakness support this play.
Betnijah Laney-Hamilton,NY,wnba,REB,NY@IND,1.9,0.0,1.9,OVER,Betnijah Laney-Hamilton shows OVER value at 0.0 REB. TC projection: 1.9 — edge: 1.90. Moderate conviction based on usage rate and defensive matchup.
Betnijah Laney-Hamilton,NY,wnba,AST,NY@IND,1.5,0.0,1.5,OVER,Betnijah Laney-Hamilton shows OVER value at 0.0 AST. TC projection: 1.5 — edge: 1.50. Moderate conviction based on usage rate and defensive matchup.
Betnijah Laney-Hamilton,NY,wnba,PRA,NY@IND,8.1,0.0,8.1,OVER,"Strong +EV opportunity: Betnijah Laney-Hamilton is projected for 8.1 PRA vs a line of 0.0, giving a OVER edge of 8.10. Based on recent form, opponent matchup, and game context."
Betnijah Laney-Hamilton,NY,wnba,PR,NY@IND,6.6,0.0,6.6,OVER,Betnijah Laney-Hamilton shows OVER value at 0.0 PR. TC projection: 6.6 — edge: 6.60. Strong conviction based on usage rate and defensive matchup.
Betnijah Laney-Hamilton,NY,wnba,PA,NY@IND,6.2,0.0,6.2,OVER,Betnijah Laney-Hamilton shows OVER value at 0.0 PA. TC projection: 6.2 — edge: 6.20. Strong conviction based on usage rate and defensive matchup.
Betnijah Laney-Hamilton,NY,wnba,RA,NY@IND,3.4,0.0,3.4,OVER,Betnijah Laney-Hamilton shows OVER value at 0.0 RA. TC projection: 3.4 — edge: 3.40. Strong conviction based on usage rate and defensive matchup.
Rebekah Gardner,NY,wnba,PTS,NY@IND,4.8,0.0,4.8,OVER,"Strong +EV opportunity: Rebekah Gardner is projected for 4.8 PTS vs a line of 0.0, giving a OVER edge of 4.80. Based on recent form, opponent matchup, and game context."
Rebekah Gardner,NY,wnba,REB,NY@IND,2.0,0.0,2.0,OVER,"Moderate +EV opportunity: Rebekah Gardner is projected for 2.0 REB vs a line of 0.0, giving a OVER edge of 2.00. Based on recent form, opponent matchup, and game context."
Rebekah Gardner,NY,wnba,AST,NY@IND,1.2,0.0,1.2,OVER,"Moderate +EV opportunity: Rebekah Gardner is projected for 1.2 AST vs a line of 0.0, giving a OVER edge of 1.20. Based on recent form, opponent matchup, and game context."
Rebekah Gardner,NY,wnba,PRA,NY@IND,8.0,0.0,8.0,OVER,Targeting Rebekah Gardner OVER 0.0 PRA. Model projects 8.0 (8.00 edge). Recent trends and opponent weakness support this play.
Rebekah Gardner,NY,wnba,PR,NY@IND,6.8,0.0,6.8,OVER,Rebekah Gardner shows OVER value at 0.0 PR. TC projection: 6.8 — edge: 6.80. Strong conviction based on usage rate and defensive matchup.
Rebekah Gardner,NY,wnba,PA,NY@IND,6.0,0.0,6.0,OVER,"Strong +EV opportunity: Rebekah Gardner is projected for 6.0 PA vs a line of 0.0, giving a OVER edge of 6.00. Based on recent form, opponent matchup, and game context."
Rebekah Gardner,NY,wnba,RA,NY@IND,3.3,0.0,3.3,OVER,Rebekah Gardner shows OVER value at 0.0 RA. TC projection: 3.3 — edge: 3.30. Strong conviction based on usage rate and defensive matchup.
Rebecca Allen,NY,wnba,PTS,NY@IND,1.7,0.0,1.7,OVER,Rebecca Allen shows OVER value at 0.0 PTS. TC projection: 1.7 — edge: 1.70. Moderate conviction based on usage rate and defensive matchup.
Rebecca Allen,NY,wnba,REB,NY@IND,1.2,0.0,1.2,OVER,Targeting Rebecca Allen OVER 0.0 REB. Model projects 1.2 (1.20 edge). Recent trends and opponent weakness support this play.
Rebecca Allen,NY,wnba,AST,NY@IND,0.7,0.0,0.7,OVER,Targeting Rebecca Allen OVER 0.0 AST. Model projects 0.7 (0.70 edge). Recent trends and opponent weakness support this play.
Rebecca Allen,NY,wnba,PRA,NY@IND,3.6,0.0,3.6,OVER,"Strong +EV opportunity: Rebecca Allen is projected for 3.6 PRA vs a line of 0.0, giving a OVER edge of 3.60. Based on recent form, opponent matchup, and game context."
Rebecca Allen,NY,wnba,PR,NY@IND,2.9,0.0,2.9,OVER,Targeting Rebecca Allen OVER 0.0 PR. Model projects 2.9 (2.90 edge). Recent trends and opponent weakness support this play.
Rebecca Allen,NY,wnba,PA,NY@IND,2.3,0.0,2.3,OVER,Rebecca Allen shows OVER value at 0.0 PA. TC projection: 2.3 — edge: 2.30. Strong conviction based on usage rate and defensive matchup.
Rebecca Allen,NY,wnba,RA,NY@IND,1.9,0.0,1.9,OVER,Targeting Rebecca Allen OVER 0.0 RA. Model projects 1.9 (1.90 edge). Recent trends and opponent weakness support this play.
Raquel Carrera,NY,wnba,PTS,NY@IND,1.9,0.0,1.9,OVER,Raquel Carrera shows OVER value at 0.0 PTS. TC projection: 1.9 — edge: 1.90. Moderate conviction based on usage rate and defensive matchup.
Raquel Carrera,NY,wnba,REB,NY@IND,1.2,0.0,1.2,OVER,Targeting Raquel Carrera OVER 0.0 REB. Model projects 1.2 (1.20 edge). Recent trends and opponent weakness support this play.
Raquel Carrera,NY,wnba,AST,NY@IND,0.2,0.0,0.2,OVER,Targeting Raquel Carrera OVER 0.0 AST. Model projects 0.2 (0.20 edge). Recent trends and opponent weakness support this play.
Raquel Carrera,NY,wnba,PRA,NY@IND,3.4,0.0,3.4,OVER,"Strong +EV opportunity: Raquel Carrera is projected for 3.4 PRA vs a line of 0.0, giving a OVER edge of 3.40. Based on recent form, opponent matchup, and game context."
Raquel Carrera,NY,wnba,PR,NY@IND,3.2,0.0,3.2,OVER,"Strong +EV opportunity: Raquel Carrera is projected for 3.2 PR vs a line of 0.0, giving a OVER edge of 3.20. Based on recent form, opponent matchup, and game context."
Raquel Carrera,NY,wnba,PA,NY@IND,2.2,0.0,2.2,OVER,Targeting Raquel Carrera OVER 0.0 PA. Model projects 2.2 (2.20 edge). Recent trends and opponent weakness support this play.
Raquel Carrera,NY,wnba,RA,NY@IND,1.5,0.0,1.5,OVER,Raquel Carrera shows OVER value at 0.0 RA. TC projection: 1.5 — edge: 1.50. Moderate conviction based on usage rate and defensive matchup.
Marine Fauthoux,NY,wnba,PTS,NY@IND,0.0,0.0,0.0,UNDER,Targeting Marine Fauthoux UNDER 0.0 PTS. Model projects 0.0 (0.00 edge). Recent trends and opponent weakness support this play.
Marine Fauthoux,NY,wnba,REB,NY@IND,0.7,0.0,0.7,OVER,"Marginal +EV opportunity: Marine Fauthoux is projected for 0.7 REB vs a line of 0.0, giving a OVER edge of 0.70. Based on recent form, opponent matchup, and game context."
Marine Fauthoux,NY,wnba,AST,NY@IND,0.7,0.0,0.7,OVER,Targeting Marine Fauthoux OVER 0.0 AST. Model projects 0.7 (0.70 edge). Recent trends and opponent weakness support this play.
Marine Fauthoux,NY,wnba,PRA,NY@IND,1.3,0.0,1.3,OVER,"Moderate +EV opportunity: Marine Fauthoux is projected for 1.3 PRA vs a line of 0.0, giving a OVER edge of 1.30. Based on recent form, opponent matchup, and game context."
Marine Fauthoux,NY,wnba,PR,NY@IND,0.7,0.0,0.7,OVER,Targeting Marine Fauthoux OVER 0.0 PR. Model projects 0.7 (0.70 edge). Recent trends and opponent weakness support this play.
Marine Fauthoux,NY,wnba,PA,NY@IND,0.7,0.0,0.7,OVER,Targeting Marine Fauthoux OVER 0.0 PA. Model projects 0.7 (0.70 edge). Recent trends and opponent weakness support this play.
Marine Fauthoux,NY,wnba,RA,NY@IND,1.3,0.0,1.3,OVER,"Moderate +EV opportunity: Marine Fauthoux is projected for 1.3 RA vs a line of 0.0, giving a OVER edge of 1.30. Based on recent form, opponent matchup, and game context."
Anneli Maley,NY,wnba,PTS,NY@IND,0.2,0.0,0.2,OVER,Anneli Maley shows OVER value at 0.0 PTS. TC projection: 0.2 — edge: 0.20. Marginal conviction based on usage rate and defensive matchup.
Anneli Maley,NY,wnba,REB,NY@IND,1.0,0.0,1.0,OVER,Anneli Maley shows OVER value at 0.0 REB. TC projection: 1.0 — edge: 1.00. Marginal conviction based on usage rate and defensive matchup.
Anneli Maley,NY,wnba,AST,NY@IND,0.0,0.0,0.0,UNDER,Anneli Maley shows UNDER value at 0.0 AST. TC projection: 0.0 — edge: 0.00. Marginal conviction based on usage rate and defensive matchup.
Anneli Maley,NY,wnba,PRA,NY@IND,1.2,0.0,1.2,OVER,Targeting Anneli Maley OVER 0.0 PRA. Model projects 1.2 (1.20 edge). Recent trends and opponent weakness support this play.
Anneli Maley,NY,wnba,PR,NY@IND,1.2,0.0,1.2,OVER,Targeting Anneli Maley OVER 0.0 PR. Model projects 1.2 (1.20 edge). Recent trends and opponent weakness support this play.
Anneli Maley,NY,wnba,PA,NY@IND,0.2,0.0,0.2,OVER,Targeting Anneli Maley OVER 0.0 PA. Model projects 0.2 (0.20 edge). Recent trends and opponent weakness support this play.
Anneli Maley,NY,wnba,RA,NY@IND,1.0,0.0,1.0,OVER,Anneli Maley shows OVER value at 0.0 RA. TC projection: 1.0 — edge: 1.00. Marginal conviction based on usage rate and defensive matchup.
Caitlin Clark,IND,wnba,PTS,NY@IND,20.9,0.0,20.9,OVER,Targeting Caitlin Clark OVER 0.0 PTS. Model projects 20.9 (20.90 edge). Recent trends and opponent weakness support this play.
Caitlin Clark,IND,wnba,REB,NY@IND,4.0,0.0,4.0,OVER,Targeting Caitlin Clark OVER 0.0 REB. Model projects 4.0 (4.00 edge). Recent trends and opponent weakness support this play.
Caitlin Clark,IND,wnba,AST,NY@IND,7.8,0.0,7.8,OVER,"Strong +EV opportunity: Caitlin Clark is projected for 7.8 AST vs a line of 0.0, giving a OVER edge of 7.80. Based on recent form, opponent matchup, and game context."
Caitlin Clark,IND,wnba,PRA,NY@IND,32.7,0.0,32.7,OVER,Caitlin Clark shows OVER value at 0.0 PRA. TC projection: 32.7 — edge: 32.70. Strong conviction based on usage rate and defensive matchup.
Caitlin Clark,IND,wnba,PR,NY@IND,24.9,0.0,24.9,OVER,Caitlin Clark shows OVER value at 0.0 PR. TC projection: 24.9 — edge: 24.90. Strong conviction based on usage rate and defensive matchup.
Caitlin Clark,IND,wnba,PA,NY@IND,28.7,0.0,28.7,OVER,Targeting Caitlin Clark OVER 0.0 PA. Model projects 28.7 (28.70 edge). Recent trends and opponent weakness support this play.
Caitlin Clark,IND,wnba,RA,NY@IND,11.8,0.0,11.8,OVER,"Strong +EV opportunity: Caitlin Clark is projected for 11.8 RA vs a line of 0.0, giving a OVER edge of 11.80. Based on recent form, opponent matchup, and game context."
Aliyah Boston,IND,wnba,PTS,NY@IND,17.2,0.0,17.2,OVER,Targeting Aliyah Boston OVER 0.0 PTS. Model projects 17.2 (17.20 edge). Recent trends and opponent weakness support this play.
Aliyah Boston,IND,wnba,REB,NY@IND,8.7,0.0,8.7,OVER,Targeting Aliyah Boston OVER 0.0 REB. Model projects 8.7 (8.70 edge). Recent trends and opponent weakness support this play.
Aliyah Boston,IND,wnba,AST,NY@IND,2.7,0.0,2.7,OVER,Targeting Aliyah Boston OVER 0.0 AST. Model projects 2.7 (2.70 edge). Recent trends and opponent weakness support this play.
Aliyah Boston,IND,wnba,PRA,NY@IND,28.6,0.0,28.6,OVER,"Strong +EV opportunity: Aliyah Boston is projected for 28.6 PRA vs a line of 0.0, giving a OVER edge of 28.60. Based on recent form, opponent matchup, and game context."
Aliyah Boston,IND,wnba,PR,NY@IND,25.9,0.0,25.9,OVER,Targeting Aliyah Boston OVER 0.0 PR. Model projects 25.9 (25.90 edge). Recent trends and opponent weakness support this play.
Aliyah Boston,IND,wnba,PA,NY@IND,19.9,0.0,19.9,OVER,Aliyah Boston shows OVER value at 0.0 PA. TC projection: 19.9 — edge: 19.90. Strong conviction based on usage rate and defensive matchup.
Aliyah Boston,IND,wnba,RA,NY@IND,11.4,0.0,11.4,OVER,"Strong +EV opportunity: Aliyah Boston is projected for 11.4 RA vs a line of 0.0, giving a OVER edge of 11.40. Based on recent form, opponent matchup, and game context."
Kelsey Mitchell,IND,wnba,PTS,NY@IND,22.9,0.0,22.9,OVER,Kelsey Mitchell shows OVER value at 0.0 PTS. TC projection: 22.9 — edge: 22.90. Strong conviction based on usage rate and defensive matchup.
Kelsey Mitchell,IND,wnba,REB,NY@IND,1.6,0.0,1.6,OVER,Targeting Kelsey Mitchell OVER 0.0 REB. Model projects 1.6 (1.60 edge). Recent trends and opponent weakness support this play.
Kelsey Mitchell,IND,wnba,AST,NY@IND,2.8,0.0,2.8,OVER,"Strong +EV opportunity: Kelsey Mitchell is projected for 2.8 AST vs a line of 0.0, giving a OVER edge of 2.80. Based on recent form, opponent matchup, and game context."
