name,team,sport,stat,matchup,projection,line,edge,direction,reason
SS  Otto Lopez,Miami Marlins,mlb,H,San_Diego_Padres_at_Miami_Marlins,1.15,0.0,1.15,OVER,Targeting SS  Otto Lopez OVER 0.0 H. Model projects 1.1 (1.15 edge). Recent trends and opponent weakness support this play.
2B  Luis Arraez,San Francisco Giants,mlb,H,Los_Angeles_Angels_at_San_Francisco_Giants,1.1,0.0,1.1,OVER,2B  Luis Arraez shows OVER value at 0.0 H. TC projection: 1.1 — edge: 1.10. Moderate conviction based on usage rate and defensive matchup.
RF  Jung Hoo Lee,San Francisco Giants,mlb,H,Los_Angeles_Angels_at_San_Francisco_Giants,0.99,0.0,0.99,OVER,"Marginal +EV opportunity: RF  Jung Hoo Lee is projected for 1.0 H vs a line of 0.0, giving a OVER edge of 0.99. Based on recent form, opponent matchup, and game context."
LF  Wyatt Langford,Texas Rangers,mlb,H,Seattle_Mariners_at_Texas_Rangers,0.99,0.0,0.99,OVER,Targeting LF  Wyatt Langford OVER 0.0 H. Model projects 1.0 (0.99 edge). Recent trends and opponent weakness support this play.
3B  Josh Jung,Texas Rangers,mlb,H,Seattle_Mariners_at_Texas_Rangers,0.98,0.0,0.98,OVER,"Marginal +EV opportunity: 3B  Josh Jung is projected for 1.0 H vs a line of 0.0, giving a OVER edge of 0.98. Based on recent form, opponent matchup, and game context."
2B  Ernie Clement,Toronto Blue Jays,mlb,H,Toronto_Blue_Jays_at_Boston_Red_Sox,0.95,0.0,0.95,OVER,2B  Ernie Clement shows OVER value at 0.0 H. TC projection: 0.9 — edge: 0.95. Marginal conviction based on usage rate and defensive matchup.
LF  Casey Schmitt,San Francisco Giants,mlb,H,Los_Angeles_Angels_at_San_Francisco_Giants,0.94,0.0,0.94,OVER,LF  Casey Schmitt shows OVER value at 0.0 H. TC projection: 0.9 — edge: 0.94. Marginal conviction based on usage rate and defensive matchup.
LF  Brandon Marsh,Philadelphia Phillies,mlb,H,New_York_Yankees_at_Philadelphia_Phillies,0.93,0.0,0.93,OVER,LF  Brandon Marsh shows OVER value at 0.0 H. TC projection: 0.9 — edge: 0.93. Marginal conviction based on usage rate and defensive matchup.
RF  Fernando Tatis Jr.,San Diego Padres,mlb,H,San_Diego_Padres_at_Miami_Marlins,0.93,0.0,0.93,OVER,Targeting RF  Fernando Tatis Jr. OVER 0.0 H. Model projects 0.9 (0.93 edge). Recent trends and opponent weakness support this play.
CF  Ceddanne Rafaela,Boston Red Sox,mlb,H,Toronto_Blue_Jays_at_Boston_Red_Sox,0.93,0.0,0.93,OVER,"Marginal +EV opportunity: CF  Ceddanne Rafaela is projected for 0.9 H vs a line of 0.0, giving a OVER edge of 0.93. Based on recent form, opponent matchup, and game context."
SS  Kevin McGonigle,Detroit Tigers,mlb,H,Kansas_City_Royals_at_Detroit_Tigers,0.92,0.0,0.92,OVER,SS  Kevin McGonigle shows OVER value at 0.0 H. TC projection: 0.9 — edge: 0.92. Marginal conviction based on usage rate and defensive matchup.
LF  Tommy Edman,Los Angeles Dodgers,mlb,H,Los_Angeles_Dodgers_at_New_York_Mets,0.92,0.0,0.92,OVER,Targeting LF  Tommy Edman OVER 0.0 H. Model projects 0.9 (0.92 edge). Recent trends and opponent weakness support this play.
2B  Xavier Edwards,Miami Marlins,mlb,H,San_Diego_Padres_at_Miami_Marlins,0.92,0.0,0.92,OVER,Targeting 2B  Xavier Edwards OVER 0.0 H. Model projects 0.9 (0.92 edge). Recent trends and opponent weakness support this play.
1B  Freddie Freeman,Los Angeles Dodgers,mlb,H,Los_Angeles_Dodgers_at_New_York_Mets,0.91,0.0,0.91,OVER,1B  Freddie Freeman shows OVER value at 0.0 H. TC projection: 0.9 — edge: 0.91. Marginal conviction based on usage rate and defensive matchup.
C   Dillon Dingler,Detroit Tigers,mlb,H,Kansas_City_Royals_at_Detroit_Tigers,0.89,0.0,0.89,OVER,Targeting C   Dillon Dingler OVER 0.0 H. Model projects 0.9 (0.89 edge). Recent trends and opponent weakness support this play.
2B  Gleyber Torres,Detroit Tigers,mlb,H,Kansas_City_Royals_at_Detroit_Tigers,0.89,0.0,0.89,OVER,Targeting 2B  Gleyber Torres OVER 0.0 H. Model projects 0.9 (0.89 edge). Recent trends and opponent weakness support this play.
LF  Riley Greene,Detroit Tigers,mlb,H,Kansas_City_Royals_at_Detroit_Tigers,0.89,0.0,0.89,OVER,"Marginal +EV opportunity: LF  Riley Greene is projected for 0.9 H vs a line of 0.0, giving a OVER edge of 0.89. Based on recent form, opponent matchup, and game context."
LF  Heliot Ramos,San Francisco Giants,mlb,H,Los_Angeles_Angels_at_San_Francisco_Giants,0.89,0.0,0.89,OVER,LF  Heliot Ramos shows OVER value at 0.0 H. TC projection: 0.9 — edge: 0.89. Marginal conviction based on usage rate and defensive matchup.
RF  Brandon Nimmo,Texas Rangers,mlb,H,Seattle_Mariners_at_Texas_Rangers,0.89,0.0,0.89,OVER,RF  Brandon Nimmo shows OVER value at 0.0 H. TC projection: 0.9 — edge: 0.89. Marginal conviction based on usage rate and defensive matchup.
1B  Willson Contreras,Boston Red Sox,mlb,H,Toronto_Blue_Jays_at_Boston_Red_Sox,0.89,0.0,0.89,OVER,"Marginal +EV opportunity: 1B  Willson Contreras is projected for 0.9 H vs a line of 0.0, giving a OVER edge of 0.89. Based on recent form, opponent matchup, and game context."
3B  Bo Bichette,New York Mets,mlb,H,Los_Angeles_Dodgers_at_New_York_Mets,0.88,0.0,0.88,OVER,Targeting 3B  Bo Bichette OVER 0.0 H. Model projects 0.9 (0.88 edge). Recent trends and opponent weakness support this play.
TWP Shohei Ohtani,Los Angeles Dodgers,mlb,H,Los_Angeles_Dodgers_at_New_York_Mets,0.87,0.0,0.87,OVER,"Marginal +EV opportunity: TWP Shohei Ohtani is projected for 0.9 H vs a line of 0.0, giving a OVER edge of 0.87. Based on recent form, opponent matchup, and game context."
LF  Juan Soto,New York Mets,mlb,H,Los_Angeles_Dodgers_at_New_York_Mets,0.87,0.0,0.87,OVER,"Marginal +EV opportunity: LF  Juan Soto is projected for 0.9 H vs a line of 0.0, giving a OVER edge of 0.87. Based on recent form, opponent matchup, and game context."
SS  Trea Turner,Philadelphia Phillies,mlb,H,New_York_Yankees_at_Philadelphia_Phillies,0.87,0.0,0.87,OVER,Targeting SS  Trea Turner OVER 0.0 H. Model projects 0.9 (0.87 edge). Recent trends and opponent weakness support this play.
C   Liam Hicks,Miami Marlins,mlb,H,San_Diego_Padres_at_Miami_Marlins,0.87,0.0,0.87,OVER,"Marginal +EV opportunity: C   Liam Hicks is projected for 0.9 H vs a line of 0.0, giving a OVER edge of 0.87. Based on recent form, opponent matchup, and game context."
RF  Wilyer Abreu,Boston Red Sox,mlb,H,Toronto_Blue_Jays_at_Boston_Red_Sox,0.87,0.0,0.87,OVER,"Marginal +EV opportunity: RF  Wilyer Abreu is projected for 0.9 H vs a line of 0.0, giving a OVER edge of 0.87. Based on recent form, opponent matchup, and game context."
1B  Nolan Schanuel,Los Angeles Angels,mlb,H,Los_Angeles_Angels_at_San_Francisco_Giants,0.86,0.0,0.86,OVER,Targeting 1B  Nolan Schanuel OVER 0.0 H. Model projects 0.9 (0.86 edge). Recent trends and opponent weakness support this play.
CF  Andy Pages,Los Angeles Dodgers,mlb,H,Los_Angeles_Dodgers_at_New_York_Mets,0.86,0.0,0.86,OVER,Targeting CF  Andy Pages OVER 0.0 H. Model projects 0.9 (0.86 edge). Recent trends and opponent weakness support this play.
RF  Carson Benge,New York Mets,mlb,H,Los_Angeles_Dodgers_at_New_York_Mets,0.86,0.0,0.86,OVER,"Marginal +EV opportunity: RF  Carson Benge is projected for 0.9 H vs a line of 0.0, giving a OVER edge of 0.86. Based on recent form, opponent matchup, and game context."
1B  Ben Rice,New York Yankees,mlb,H,New_York_Yankees_at_Philadelphia_Phillies,0.86,0.0,0.86,OVER,"Marginal +EV opportunity: 1B  Ben Rice is projected for 0.9 H vs a line of 0.0, giving a OVER edge of 0.86. Based on recent form, opponent matchup, and game context."
LF  Sam Antonacci,Chicago White Sox,mlb,H,Houston_Astros_at_Chicago_White_Sox,0.85,0.0,0.85,OVER,Targeting LF  Sam Antonacci OVER 0.0 H. Model projects 0.8 (0.85 edge). Recent trends and opponent weakness support this play.
1B  Josh Naylor,Seattle Mariners,mlb,H,Seattle_Mariners_at_Texas_Rangers,0.85,0.0,0.85,OVER,"Marginal +EV opportunity: 1B  Josh Naylor is projected for 0.8 H vs a line of 0.0, giving a OVER edge of 0.85. Based on recent form, opponent matchup, and game context."
LF  Randy Arozarena,Seattle Mariners,mlb,H,Seattle_Mariners_at_Texas_Rangers,0.85,0.0,0.85,OVER,Targeting LF  Randy Arozarena OVER 0.0 H. Model projects 0.8 (0.85 edge). Recent trends and opponent weakness support this play.
CF  A.J. Ewing,New York Mets,mlb,H,Los_Angeles_Dodgers_at_New_York_Mets,0.84,0.0,0.84,OVER,"Marginal +EV opportunity: CF  A.J. Ewing is projected for 0.8 H vs a line of 0.0, giving a OVER edge of 0.84. Based on recent form, opponent matchup, and game context."
CF  Julio Rodríguez,Seattle Mariners,mlb,H,Seattle_Mariners_at_Texas_Rangers,0.84,0.0,0.84,OVER,Targeting CF  Julio Rodríguez OVER 0.0 H. Model projects 0.8 (0.84 edge). Recent trends and opponent weakness support this play.
DH  Bryce Eldridge,San Francisco Giants,mlb,H,Los_Angeles_Angels_at_San_Francisco_Giants,0.81,0.0,0.81,OVER,"Marginal +EV opportunity: DH  Bryce Eldridge is projected for 0.8 H vs a line of 0.0, giving a OVER edge of 0.81. Based on recent form, opponent matchup, and game context."
DH  Kyle Schwarber,Philadelphia Phillies,mlb,H,New_York_Yankees_at_Philadelphia_Phillies,0.81,0.0,0.81,OVER,"Marginal +EV opportunity: DH  Kyle Schwarber is projected for 0.8 H vs a line of 0.0, giving a OVER edge of 0.81. Based on recent form, opponent matchup, and game context."
1B  Rafael Devers,San Francisco Giants,mlb,H,Los_Angeles_Angels_at_San_Francisco_Giants,0.8,0.0,0.8,OVER,Targeting 1B  Rafael Devers OVER 0.0 H. Model projects 0.8 (0.80 edge). Recent trends and opponent weakness support this play.
