date,matchup,team,name,stat,raw_avg,tc_proj,actual,diff,result,minutes,source
2026-06-18,ATL@IND,ATL,Rhyne Howard,PTS,17.3,10.1,16,5.9,HIT,38,daily_pipeline_fallback
2026-06-18,ATL@IND,ATL,Rhyne Howard,REB,4.5,3,5,2,HIT,38,daily_pipeline_fallback
2026-06-18,ATL@IND,ATL,Rhyne Howard,AST,3.5,2.2,6,3.8,HIT,38,daily_pipeline_fallback
2026-06-18,ATL@IND,ATL,Rhyne Howard,3PM,2.8,1.6,1,-0.6,MISS,38,daily_pipeline_fallback
2026-06-18,ATL@IND,ATL,Rhyne Howard,STL,1.7,0.9,2,1.1,HIT,38,daily_pipeline_fallback
2026-06-18,ATL@IND,ATL,Angel Reese,PTS,14.2,8.9,21,12.1,HIT,29,daily_pipeline_fallback
2026-06-18,ATL@IND,ATL,Angel Reese,REB,12.8,6.4,11,4.6,HIT,29,daily_pipeline_fallback
2026-06-18,ATL@IND,ATL,Angel Reese,STL,1.4,0.8,0,-0.8,MISS,29,daily_pipeline_fallback
2026-06-18,ATL@IND,ATL,Allisha Gray,PTS,14.1,8.9,17,8.1,HIT,34,daily_pipeline_fallback
2026-06-18,ATL@IND,ATL,Allisha Gray,REB,4.5,3,0,-3,MISS,34,daily_pipeline_fallback
2026-06-18,ATL@IND,ATL,Allisha Gray,3PM,1.4,0.9,1,0.1,HIT,34,daily_pipeline_fallback
2026-06-18,ATL@IND,ATL,Allisha Gray,STL,1.2,0.7,3,2.3,HIT,34,daily_pipeline_fallback
2026-06-18,ATL@IND,ATL,Jordin Canada,3PM,0.5,0.5,1,0.5,HIT,29,daily_pipeline_fallback
2026-06-18,ATL@IND,ATL,Jordin Canada,STL,1.6,0.9,4,3.1,HIT,29,daily_pipeline_fallback
2026-06-18,ATL@IND,ATL,Naz Hillmon,REB,4.9,3.2,4,0.8,HIT,32,daily_pipeline_fallback
2026-06-18,ATL@IND,ATL,Naz Hillmon,3PM,0.4,0.5,3,2.5,HIT,32,daily_pipeline_fallback
2026-06-18,ATL@IND,ATL,Te-Hina Paopao,PTS,5.6,5.5,7,1.5,HIT,14,daily_pipeline_fallback
2026-06-18,ATL@IND,ATL,Te-Hina Paopao,3PM,1.2,0.8,1,0.2,HIT,14,daily_pipeline_fallback
2026-06-18,ATL@IND,ATL,Isobel Borlase,AST,0.7,1,0,-1,MISS,13,daily_pipeline_fallback
2026-06-18,ATL@IND,ATL,Isobel Borlase,3PM,0.5,0.5,0,-0.5,MISS,13,daily_pipeline_fallback
2026-06-18,ATL@IND,ATL,Sika Kone,REB,1.9,2,1,-1,MISS,5,daily_pipeline_fallback
2026-06-18,ATL@IND,IND,Caitlin Clark,PTS,18.9,10.7,26,15.3,HIT,31,daily_pipeline_fallback
2026-06-18,ATL@IND,IND,Caitlin Clark,REB,5.3,3.4,2,-1.4,MISS,31,daily_pipeline_fallback
2026-06-18,ATL@IND,IND,Caitlin Clark,AST,8.5,4.2,7,2.8,HIT,31,daily_pipeline_fallback
2026-06-18,ATL@IND,IND,Caitlin Clark,3PM,2.8,1.6,2,0.4,HIT,31,daily_pipeline_fallback
2026-06-18,ATL@IND,IND,Caitlin Clark,STL,1.3,0.8,0,-0.8,MISS,31,daily_pipeline_fallback
2026-06-18,ATL@IND,IND,Aliyah Boston,AST,3,2,3,1,HIT,34,daily_pipeline_fallback
2026-06-18,ATL@IND,IND,Aliyah Boston,STL,1.1,0.7,1,0.3,HIT,34,daily_pipeline_fallback
2026-06-18,ATL@IND,IND,Aliyah Boston,BLK,1.1,0.6,3,2.4,HIT,34,daily_pipeline_fallback
2026-06-18,ATL@IND,IND,Kelsey Mitchell,PTS,17.5,10.2,26,15.8,HIT,34,daily_pipeline_fallback
2026-06-18,ATL@IND,IND,Kelsey Mitchell,REB,2,2,1,-1,MISS,34,daily_pipeline_fallback
2026-06-18,ATL@IND,IND,Kelsey Mitchell,STL,0.8,0.6,1,0.4,HIT,34,daily_pipeline_fallback
2026-06-18,ATL@IND,IND,Sophie Cunningham,PTS,8,6.5,12,5.5,HIT,30,daily_pipeline_fallback
2026-06-18,ATL@IND,IND,Sophie Cunningham,3PM,1.5,1,2,1,HIT,30,daily_pipeline_fallback
2026-06-18,ATL@IND,IND,Sophie Cunningham,STL,0.7,0.5,0,-0.5,MISS,30,daily_pipeline_fallback
2026-06-18,ATL@IND,IND,Lexie Hull,PTS,5.6,5.5,2,-3.5,MISS,11,daily_pipeline_fallback
2026-06-18,ATL@IND,IND,Lexie Hull,3PM,0.8,0.7,0,-0.7,MISS,11,daily_pipeline_fallback
2026-06-18,ATL@IND,IND,Lexie Hull,STL,0.9,0.6,0,-0.6,MISS,11,daily_pipeline_fallback
2026-06-18,ATL@IND,IND,Monique Billings,AST,0.9,1.1,1,-0.1,MISS,13,daily_pipeline_fallback
2026-06-18,ATL@IND,IND,Monique Billings,STL,0.7,0.5,1,0.5,HIT,13,daily_pipeline_fallback
2026-06-18,ATL@IND,IND,Myisha Hines-Allen,REB,4.9,3.2,1,-2.2,MISS,9,daily_pipeline_fallback
2026-06-18,ATL@IND,IND,Myisha Hines-Allen,3PM,0.5,0.5,0,-0.5,MISS,9,daily_pipeline_fallback
2026-06-18,ATL@IND,IND,Myisha Hines-Allen,STL,0.8,0.6,0,-0.6,MISS,9,daily_pipeline_fallback
2026-06-18,ATL@IND,IND,Damiris Dantas,3PM,0.8,0.7,0.0,-0.7,MISS,0,daily_pipeline_fallback
2026-06-18,ATL@IND,IND,Tyasha Harris,3PM,0.9,0.7,0,-0.7,MISS,14,daily_pipeline_fallback
2026-06-18,ATL@IND,IND,Tyasha Harris,STL,0.6,0.5,1,0.5,HIT,14,daily_pipeline_fallback
2026-06-18,ATL@IND,IND,Raven Johnson,3PM,0.6,0.6,0,-0.6,MISS,3,daily_pipeline_fallback
2026-06-18,ATL@IND,IND,Makayla Timpson,REB,2.4,2.2,4,1.8,HIT,21,daily_pipeline_fallback
2026-06-18,ATL@IND,IND,Grace VanSlooten,STL,0.6,0.5,0.0,-0.5,MISS,0,daily_pipeline_fallback
