date,matchup,team,name,stat,raw_avg,tc_proj,actual,diff,result,minutes,source
2026-06-22,CHI@CON,CON,Diamond Miller,3PM,0.6,0.6,1,0.4,HIT,24,daily_pipeline_fallback
2026-06-22,CHI@CON,CON,Diamond Miller,STL,0.6,0.5,0,-0.5,MISS,24,daily_pipeline_fallback
2026-06-22,CHI@CON,CON,Olivia Nelson-Ododa,AST,0.6,1,3,2,HIT,27,daily_pipeline_fallback
2026-06-22,CHI@CON,CON,Kennedy Burke,PTS,5.5,5.5,8,2.5,HIT,24,daily_pipeline_fallback
2026-06-22,CHI@CON,CON,Kennedy Burke,REB,1.8,2,4,2,HIT,24,daily_pipeline_fallback
2026-06-22,CHI@CON,CON,Kennedy Burke,AST,0.9,1.1,3,1.9,HIT,24,daily_pipeline_fallback
2026-06-22,CHI@CON,CON,Kennedy Burke,3PM,0.7,0.6,1,0.4,HIT,24,daily_pipeline_fallback
2026-06-22,CHI@CON,CON,Kennedy Burke,STL,0.7,0.5,2,1.5,HIT,24,daily_pipeline_fallback
2026-06-22,CHI@CON,CON,Raegan Beers,AST,0.9,1.1,0,-1.1,MISS,5,daily_pipeline_fallback
2026-06-22,CHI@CON,CON,Nell Angloma,STL,0.6,0.5,0,-0.5,MISS,8,daily_pipeline_fallback
2026-06-22,CHI@CON,CON,Gianna Kneepkens,PTS,3,4.5,4,-0.5,MISS,5,daily_pipeline_fallback
2026-06-22,CHI@CON,CON,Gianna Kneepkens,AST,0.6,1,0,-1,MISS,5,daily_pipeline_fallback
2026-06-23,DAL@SEA,DAL,Arike Ogunbowale,PTS,19.6,11,4,-7,MISS,20,daily_pipeline_fallback
2026-06-23,DAL@SEA,DAL,Arike Ogunbowale,STL,1.5,0.9,0,-0.9,MISS,20,daily_pipeline_fallback
2026-06-23,DAL@SEA,DAL,Paige Bueckers,PTS,19.1,10.8,27,16.2,HIT,38,daily_pipeline_fallback
2026-06-23,DAL@SEA,DAL,Paige Bueckers,AST,5.6,3,5,2,HIT,38,daily_pipeline_fallback
2026-06-23,DAL@SEA,DAL,Paige Bueckers,3PM,1.3,0.9,3,2.1,HIT,38,daily_pipeline_fallback
2026-06-23,DAL@SEA,DAL,Paige Bueckers,STL,1.3,0.8,1,0.2,HIT,38,daily_pipeline_fallback
2026-06-23,DAL@SEA,DAL,Azzi Fudd,3PM,1.7,1.1,2,0.9,HIT,42,daily_pipeline_fallback
2026-06-23,DAL@SEA,DAL,Azzi Fudd,STL,1.5,0.9,4,3.1,HIT,42,daily_pipeline_fallback
2026-06-23,DAL@SEA,DAL,Azzi Fudd,BLK,1.2,0.6,0,-0.6,MISS,42,daily_pipeline_fallback
2026-06-23,DAL@SEA,DAL,Jessica Shepard,REB,7,4,9,5,HIT,36,daily_pipeline_fallback
2026-06-23,DAL@SEA,DAL,Jessica Shepard,AST,3,2,8,6,HIT,36,daily_pipeline_fallback
2026-06-23,DAL@SEA,DAL,Sug Sutton,AST,3.5,2.2,2,-0.2,MISS,10,daily_pipeline_fallback
2026-06-23,DAL@SEA,DAL,Sug Sutton,3PM,0.7,0.6,0,-0.6,MISS,10,daily_pipeline_fallback
2026-06-23,DAL@SEA,DAL,Sug Sutton,STL,0.6,0.5,1,0.5,HIT,10,daily_pipeline_fallback
2026-06-23,DAL@SEA,DAL,Maddy Siegrist,AST,0.6,1,1,0,PUSH,13,daily_pipeline_fallback
2026-06-23,DAL@SEA,DAL,Maddy Siegrist,3PM,0.5,0.5,1,0.5,HIT,13,daily_pipeline_fallback
2026-06-23,DAL@SEA,DAL,Aziaha James,3PM,0.7,0.6,1,0.4,HIT,24,daily_pipeline_fallback
2026-06-23,DAL@SEA,DAL,Aziaha James,STL,0.8,0.6,2,1.4,HIT,24,daily_pipeline_fallback
2026-06-23,DAL@SEA,DAL,Li Yueru,AST,0.6,1,2,1,HIT,18,daily_pipeline_fallback
2026-06-23,DAL@SEA,DAL,Awak Kuier,PTS,3,4.5,6,1.5,HIT,22,daily_pipeline_fallback
2026-06-23,DAL@SEA,DAL,Awak Kuier,AST,0.7,1,0,-1,MISS,22,daily_pipeline_fallback
2026-06-23,DAL@SEA,SEA,Awa Fam,REB,5.4,3.4,6,2.6,HIT,39,daily_pipeline_fallback
2026-06-23,DAL@SEA,SEA,Awa Fam,3PM,0.9,0.7,4,3.3,HIT,39,daily_pipeline_fallback
2026-06-23,DAL@SEA,SEA,Awa Fam,STL,0.7,0.5,0,-0.5,MISS,39,daily_pipeline_fallback
2026-06-23,DAL@SEA,SEA,Flau'jae Johnson,PTS,11.4,7.8,11,3.2,HIT,40,daily_pipeline_fallback
2026-06-23,DAL@SEA,SEA,Flau'jae Johnson,REB,4.9,3.2,5,1.8,HIT,40,daily_pipeline_fallback
2026-06-23,DAL@SEA,SEA,Flau'jae Johnson,3PM,1.1,0.8,2,1.2,HIT,40,daily_pipeline_fallback
2026-06-23,DAL@SEA,SEA,Flau'jae Johnson,STL,0.8,0.6,2,1.4,HIT,40,daily_pipeline_fallback
2026-06-23,DAL@SEA,SEA,Flau'jae Johnson,BLK,1,0.5,1,0.5,HIT,40,daily_pipeline_fallback
2026-06-23,DAL@SEA,SEA,Stefanie Dolson,PTS,8.2,6.5,0,-6.5,MISS,14,daily_pipeline_fallback
2026-06-23,DAL@SEA,SEA,Stefanie Dolson,REB,4.3,3,1,-2,MISS,14,daily_pipeline_fallback
2026-06-23,DAL@SEA,SEA,Stefanie Dolson,3PM,0.7,0.6,0,-0.6,MISS,14,daily_pipeline_fallback
2026-06-23,DAL@SEA,SEA,Natisha Hiedeman,REB,1.8,2,4,2,HIT,37,daily_pipeline_fallback
2026-06-23,DAL@SEA,SEA,Natisha Hiedeman,3PM,1.3,0.9,2,1.1,HIT,37,daily_pipeline_fallback
2026-06-23,DAL@SEA,SEA,Natisha Hiedeman,STL,0.8,0.6,1,0.4,HIT,37,daily_pipeline_fallback
2026-06-23,DAL@SEA,SEA,Katie Lou Samuelson,PTS,5.8,5.6,3,-2.6,MISS,21,daily_pipeline_fallback
2026-06-23,DAL@SEA,SEA,Katie Lou Samuelson,REB,2.5,2.2,2,-0.2,MISS,21,daily_pipeline_fallback
2026-06-23,DAL@SEA,SEA,Katie Lou Samuelson,3PM,1,0.8,1,0.2,HIT,21,daily_pipeline_fallback
2026-06-23,DAL@SEA,SEA,Katie Lou Samuelson,STL,0.6,0.5,2,1.5,HIT,21,daily_pipeline_fallback
2026-06-23,DAL@SEA,SEA,Dominique Malonga,PTS,9,6.8,37,30.2,HIT,38,daily_pipeline_fallback
2026-06-23,DAL@SEA,SEA,Dominique Malonga,REB,5,3.2,12,8.8,HIT,38,daily_pipeline_fallback
2026-06-23,DAL@SEA,SEA,Dominique Malonga,AST,0.9,1.1,1,-0.1,MISS,38,daily_pipeline_fallback
2026-06-23,DAL@SEA,SEA,Zia Cooke,AST,0.7,1,2,1,HIT,30,daily_pipeline_fallback
2026-06-23,DAL@SEA,SEA,Zia Cooke,3PM,0.5,0.5,2,1.5,HIT,30,daily_pipeline_fallback
2026-06-23,DAL@SEA,SEA,Mackenzie Holmes,STL,0.6,0.5,0.0,-0.5,MISS,0,daily_pipeline_fallback
2026-06-23,PHX@IND,PHX,Alyssa Thomas,REB,7.6,4.3,5,0.7,HIT,34,daily_pipeline_fallback
2026-06-23,PHX@IND,PHX,Alyssa Thomas,STL,1.6,0.9,1,0.1,HIT,34,daily_pipeline_fallback
2026-06-23,PHX@IND,PHX,DeWanna Bonner,PTS,14.4,9,7,-2,MISS,27,daily_pipeline_fallback
2026-06-23,PHX@IND,PHX,DeWanna Bonner,3PM,1.2,0.8,1,0.2,HIT,27,daily_pipeline_fallback
2026-06-23,PHX@IND,PHX,DeWanna Bonner,STL,1.2,0.7,0,-0.7,MISS,27,daily_pipeline_fallback
2026-06-23,PHX@IND,PHX,Kahleah Copper,PTS,13.1,8.5,20,11.5,HIT,31,daily_pipeline_fallback
2026-06-23,PHX@IND,PHX,Kahleah Copper,3PM,1.1,0.8,2,1.2,HIT,31,daily_pipeline_fallback
2026-06-23,PHX@IND,PHX,Kahleah Copper,STL,0.7,0.5,0,-0.5,MISS,31,daily_pipeline_fallback
2026-06-23,PHX@IND,PHX,Noemie Brochant,REB,2.4,2.2,2,-0.2,MISS,26,daily_pipeline_fallback
2026-06-23,PHX@IND,PHX,Noemie Brochant,3PM,1.1,0.8,1,0.2,HIT,26,daily_pipeline_fallback
2026-06-23,PHX@IND,PHX,Noemie Brochant,STL,0.8,0.6,1,0.4,HIT,26,daily_pipeline_fallback
2026-06-23,PHX@IND,PHX,Natasha Mack,STL,0.8,0.6,0,-0.6,MISS,21,daily_pipeline_fallback
2026-06-23,PHX@IND,PHX,Natasha Mack,BLK,1.3,0.6,0,-0.6,MISS,21,daily_pipeline_fallback
2026-06-23,PHX@IND,PHX,Lexi Held,3PM,0.8,0.7,0,-0.7,MISS,22,daily_pipeline_fallback
2026-06-23,PHX@IND,PHX,Lexi Held,STL,0.6,0.5,1,0.5,HIT,22,daily_pipeline_fallback
2026-06-23,PHX@IND,PHX,Valeriane Ayayi,REB,2.1,2.1,4,1.9,HIT,20,daily_pipeline_fallback
2026-06-23,PHX@IND,PHX,Valeriane Ayayi,AST,0.7,1,3,2,HIT,20,daily_pipeline_fallback
2026-06-23,PHX@IND,PHX,Kyara Linskens,PTS,3,4.5,4,-0.5,MISS,14,daily_pipeline_fallback
2026-06-23,PHX@IND,PHX,Kyara Linskens,REB,2.1,2.1,4,1.9,HIT,14,daily_pipeline_fallback
2026-06-23,PHX@IND,PHX,Kyara Linskens,3PM,0.4,0.5,0,-0.5,MISS,14,daily_pipeline_fallback
2026-06-23,PHX@IND,IND,Caitlin Clark,PTS,19.1,10.8,24,13.2,HIT,29,daily_pipeline_fallback
2026-06-23,PHX@IND,IND,Caitlin Clark,REB,5.3,3.4,3,-0.4,MISS,29,daily_pipeline_fallback
2026-06-23,PHX@IND,IND,Caitlin Clark,AST,8.4,4.1,9,4.9,HIT,29,daily_pipeline_fallback
2026-06-23,PHX@IND,IND,Caitlin Clark,3PM,2.8,1.6,3,1.4,HIT,29,daily_pipeline_fallback
2026-06-23,PHX@IND,IND,Caitlin Clark,STL,1.3,0.8,0,-0.8,MISS,29,daily_pipeline_fallback
2026-06-23,PHX@IND,IND,Aliyah Boston,AST,3,2,0,-2,MISS,29,daily_pipeline_fallback
2026-06-23,PHX@IND,IND,Aliyah Boston,STL,1.1,0.7,2,1.3,HIT,29,daily_pipeline_fallback
2026-06-23,PHX@IND,IND,Aliyah Boston,BLK,1.1,0.6,1,0.4,HIT,29,daily_pipeline_fallback
2026-06-23,PHX@IND,IND,Kelsey Mitchell,PTS,17.6,10.2,22,11.8,HIT,32,daily_pipeline_fallback
2026-06-23,PHX@IND,IND,Kelsey Mitchell,REB,2,2,1,-1,MISS,32,daily_pipeline_fallback
2026-06-23,PHX@IND,IND,Kelsey Mitchell,STL,0.8,0.6,1,0.4,HIT,32,daily_pipeline_fallback
2026-06-23,PHX@IND,IND,Sophie Cunningham,PTS,8,6.5,2,-4.5,MISS,26,daily_pipeline_fallback
2026-06-23,PHX@IND,IND,Sophie Cunningham,3PM,1.5,1,0,-1,MISS,26,daily_pipeline_fallback
2026-06-23,PHX@IND,IND,Sophie Cunningham,STL,0.7,0.5,0,-0.5,MISS,26,daily_pipeline_fallback
2026-06-23,PHX@IND,IND,Lexie Hull,PTS,5.5,5.5,8,2.5,HIT,17,daily_pipeline_fallback
2026-06-23,PHX@IND,IND,Lexie Hull,3PM,0.8,0.7,2,1.3,HIT,17,daily_pipeline_fallback
2026-06-23,PHX@IND,IND,Lexie Hull,STL,0.8,0.6,0,-0.6,MISS,17,daily_pipeline_fallback
2026-06-23,PHX@IND,IND,Monique Billings,AST,0.9,1.1,1,-0.1,MISS,28,daily_pipeline_fallback
2026-06-23,PHX@IND,IND,Monique Billings,STL,0.7,0.5,1,0.5,HIT,28,daily_pipeline_fallback
2026-06-23,PHX@IND,IND,Myisha Hines-Allen,REB,4.9,3.2,1,-2.2,MISS,14,daily_pipeline_fallback
2026-06-23,PHX@IND,IND,Myisha Hines-Allen,3PM,0.5,0.5,1,0.5,HIT,14,daily_pipeline_fallback
2026-06-23,PHX@IND,IND,Myisha Hines-Allen,STL,0.7,0.5,0,-0.5,MISS,14,daily_pipeline_fallback
2026-06-23,PHX@IND,IND,Damiris Dantas,3PM,0.8,0.7,0.0,-0.7,MISS,0,daily_pipeline_fallback
2026-06-23,PHX@IND,IND,Tyasha Harris,3PM,0.9,0.7,0.0,-0.7,MISS,0,daily_pipeline_fallback
2026-06-23,PHX@IND,IND,Tyasha Harris,STL,0.6,0.5,0.0,-0.5,MISS,0,daily_pipeline_fallback
2026-06-23,PHX@IND,IND,Raven Johnson,REB,1.8,2,5,3,HIT,18,daily_pipeline_fallback
2026-06-23,PHX@IND,IND,Raven Johnson,3PM,0.6,0.6,0,-0.6,MISS,18,daily_pipeline_fallback
2026-06-23,PHX@IND,IND,Makayla Timpson,REB,2.4,2.2,2,-0.2,MISS,5,daily_pipeline_fallback
2026-06-23,PHX@IND,IND,Grace VanSlooten,STL,0.6,0.5,0,-0.5,MISS,1,daily_pipeline_fallback
2026-06-22,TOR@ATL,TOR,Marina Mabrey,AST,3.2,2,4,2,HIT,31,daily_pipeline_fallback
2026-06-22,TOR@ATL,TOR,Marina Mabrey,STL,0.9,0.6,1,0.4,HIT,31,daily_pipeline_fallback
2026-06-22,TOR@ATL,TOR,Julie Allemand,PTS,5.5,5.5,4,-1.5,MISS,28,daily_pipeline_fallback
2026-06-22,TOR@ATL,TOR,Julie Allemand,3PM,1,0.8,1,0.2,HIT,28,daily_pipeline_fallback
2026-06-22,TOR@ATL,TOR,Julie Allemand,STL,1.1,0.7,2,1.3,HIT,28,daily_pipeline_fallback
2026-06-22,TOR@ATL,TOR,Maria Conde,PTS,8.1,6.5,8,1.5,HIT,29,daily_pipeline_fallback
2026-06-22,TOR@ATL,TOR,Maria Conde,REB,4.3,3,4,1,HIT,29,daily_pipeline_fallback
2026-06-22,TOR@ATL,TOR,Maria Conde,3PM,1.6,1,2,1,HIT,29,daily_pipeline_fallback
2026-06-22,TOR@ATL,TOR,Laura Juskaite,PTS,9,6.8,8,1.2,HIT,22,daily_pipeline_fallback
2026-06-22,TOR@ATL,TOR,Laura Juskaite,3PM,0.9,0.7,0,-0.7,MISS,22,daily_pipeline_fallback
2026-06-22,TOR@ATL,TOR,Laura Juskaite,STL,1.5,0.9,1,0.1,HIT,22,daily_pipeline_fallback
2026-06-22,TOR@ATL,TOR,Kia Nurse,PTS,8.6,6.7,4,-2.7,MISS,15,daily_pipeline_fallback
2026-06-22,TOR@ATL,TOR,Kia Nurse,REB,2.4,2.2,1,-1.2,MISS,15,daily_pipeline_fallback
2026-06-22,TOR@ATL,TOR,Kia Nurse,3PM,1.4,0.9,1,0.1,HIT,15,daily_pipeline_fallback
2026-06-22,TOR@ATL,TOR,Isabelle Harrison,REB,4.4,3,10,7,HIT,32,daily_pipeline_fallback
2026-06-22,TOR@ATL,TOR,Isabelle Harrison,AST,1,1.1,2,0.9,HIT,32,daily_pipeline_fallback
2026-06-22,TOR@ATL,TOR,Isabelle Harrison,STL,0.8,0.6,1,0.4,HIT,32,daily_pipeline_fallback
2026-06-22,TOR@ATL,TOR,Temi Fagbenle,AST,0.9,1.1,1,-0.1,MISS,14,daily_pipeline_fallback
2026-06-22,TOR@ATL,TOR,Nyara Sabally,AST,0.6,1,2,1,HIT,18,daily_pipeline_fallback
2026-06-22,TOR@ATL,TOR,Nyara Sabally,STL,0.6,0.5,1,0.5,HIT,18,daily_pipeline_fallback
2026-06-22,TOR@ATL,TOR,Teonni Key,REB,2.2,2.1,1,-1.1,MISS,2,daily_pipeline_fallback
2026-06-22,TOR@ATL,TOR,Tima Pouye,AST,1,1.1,1,-0.1,MISS,8,daily_pipeline_fallback
2026-06-22,TOR@ATL,ATL,Rhyne Howard,PTS,17.3,10.1,20,9.9,HIT,32,daily_pipeline_fallback
2026-06-22,TOR@ATL,ATL,Rhyne Howard,REB,4.5,3,7,4,HIT,32,daily_pipeline_fallback
2026-06-22,TOR@ATL,ATL,Rhyne Howard,AST,3.5,2.2,1,-1.2,MISS,32,daily_pipeline_fallback
2026-06-22,TOR@ATL,ATL,Rhyne Howard,3PM,2.8,1.6,5,3.4,HIT,32,daily_pipeline_fallback
2026-06-22,TOR@ATL,ATL,Rhyne Howard,STL,1.7,0.9,0,-0.9,MISS,32,daily_pipeline_fallback
