matchup,status,home,away,book,player,stat,line,over_price,fetched_at
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Chadi Riad,shots,1.0,230,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Chadi Riad,shots_on_target,1.0,700,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Issa Diop,assists,0.5,3500,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Issa Diop,shots,1.0,320,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Issa Diop,shots_on_target,1.0,950,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Brahim Diaz,shots,4.0,-310,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Brahim Diaz,shots_on_target,2.0,140,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Bruno Guimaraes,shots,3.0,800,2026-06-13T23:02:14.914397+00:00
MAR @ BRA,Halftime,Morocco,Brazil,fanduel,Bruno Guimaraes,shots_on_target,2.0,1300,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Ryan Christie,assists,0.5,200,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Ryan Christie,shots,5.0,2000,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Ryan Christie,shots_on_target,3.0,2700,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Che Adams,assists,0.5,210,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Che Adams,shots,5.0,280,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Che Adams,shots_on_target,3.0,600,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Kieran Tierney,assists,0.5,250,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Kieran Tierney,shots,2.0,440,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Kieran Tierney,shots_on_target,2.0,2200,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,John McGinn,assists,0.5,260,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,John McGinn,shots,5.0,900,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,John McGinn,shots_on_target,3.0,1100,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Andrew Robertson,assists,0.5,270,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Andrew Robertson,shots,2.0,430,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Andrew Robertson,shots_on_target,2.0,2200,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Lawrence Shankland,assists,0.5,300,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Lawrence Shankland,shots,5.0,210,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Lawrence Shankland,shots_on_target,3.0,500,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Kenny Mclean,assists,0.5,340,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Kenny Mclean,shots,2.0,200,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Kenny Mclean,shots_on_target,2.0,1400,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,George Hirst,assists,0.5,400,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,George Hirst,shots,5.0,280,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,George Hirst,shots_on_target,3.0,600,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Lewis Ferguson,assists,0.5,410,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Lewis Ferguson,shots,5.0,2700,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Lewis Ferguson,shots_on_target,2.0,800,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Scott McTominay,assists,0.5,420,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Scott McTominay,shots,5.0,330,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Scott McTominay,shots_on_target,3.0,600,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Josue Casimir,assists,0.5,490,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Josue Casimir,shots,4.0,1600,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Josue Casimir,shots_on_target,2.0,850,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Aaron Hickey,assists,0.5,500,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Aaron Hickey,shots,2.0,270,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Aaron Hickey,shots_on_target,2.0,2700,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Jeanricner Bellegarde,assists,0.5,500,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Jeanricner Bellegarde,shots,4.0,1400,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Jeanricner Bellegarde,shots_on_target,2.0,1000,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Louicius Don Deedson,assists,0.5,550,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Louicius Don Deedson,shots,5.0,2200,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Louicius Don Deedson,shots_on_target,3.0,3000,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Derrick Etienne,assists,0.5,600,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Derrick Etienne,shots,5.0,3300,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Derrick Etienne,shots_on_target,2.0,800,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Ruben Providence,assists,0.5,650,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Ruben Providence,shots,5.0,3300,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Ruben Providence,shots_on_target,2.0,900,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Carlens Arcus,assists,0.5,700,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Carlens Arcus,shots,1.0,190,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Carlens Arcus,shots_on_target,1.0,750,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Danley Jean Jacques,assists,0.5,750,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Danley Jean Jacques,shots,2.0,320,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Danley Jean Jacques,shots_on_target,2.0,2200,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Duckens Nazon,assists,0.5,750,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Duckens Nazon,shots,5.0,1200,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Duckens Nazon,shots_on_target,3.0,2000,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,John Souttar,assists,0.5,800,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,John Souttar,shots,2.0,550,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,John Souttar,shots_on_target,2.0,3000,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Scott McKenna,assists,0.5,850,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Scott McKenna,shots,2.0,550,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Scott McKenna,shots_on_target,1.0,340,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Martin Experience,assists,0.5,1000,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Martin Experience,shots,2.0,850,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Martin Experience,shots_on_target,1.0,650,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Wilson Isidor,assists,0.5,1100,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Wilson Isidor,shots,5.0,1000,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Wilson Isidor,shots_on_target,3.0,1700,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Hannes Delcroix,assists,0.5,1700,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Hannes Delcroix,shots,1.0,185,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Hannes Delcroix,shots_on_target,1.0,750,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Ricardo Ade,assists,0.5,1800,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Ricardo Ade,shots,1.0,220,2026-06-13T23:02:14.914397+00:00
SCO @ HAI,Scheduled,Scotland,Haiti,fanduel,Ricardo Ade,shots_on_target,1.0,750,2026-06-13T23:02:14.914397+00:00
